,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8551,299,VEN,NGDP_RPCH,Venezuela,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.947,-1.288,2.645,-9.856,5.223,0.867,6.08,4.801,6.51,-13.92,6.468,9.73,6.06,0.275,-2.349,3.952,-0.198,6.371,0.294,-5.97,3.687,3.394,-8.856,-7.755,18.287,10.318,9.872,8.754,5.278,-3.202,-1.489,4.176,5.626,1.343,-3.894,-6.221,-17.04,-15.671,-19.621,-35.0,-30.0,-5.0,-3.0,,,,,2018.0
8553,299,VEN,NGDPD,Venezuela,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,352.54,352.191,258.993,203.822,323.595,279.249,143.841,98.4,63.96,47.255,44.893,43.546,,,,,2018.0
8554,299,VEN,PPPGDP,Venezuela,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",118.828,128.394,139.933,131.082,142.906,148.703,160.92,172.818,190.559,170.467,188.284,213.592,231.698,237.843,237.216,251.761,255.863,276.857,280.797,267.752,283.914,300.164,277.846,261.357,317.449,361.186,409.088,456.921,490.261,477.603,476.148,506.34,544.83,561.817,550.033,520.974,436.529,375.106,308.707,204.249,144.698,142.416,141.946,,,,,2018.0
8555,299,VEN,NGDP_D,Venezuela,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.946,1.075,1.069,1.182,1.332,1.461,1.509,1.988,2.406,4.821,6.834,8.3,10.644,14.012,22.824,34.638,74.654,99.997,118.893,150.029,194.22,209.752,279.013,376.488,504.321,653.618,770.643,889.695,1157.78,1248.46,1822.04,2334.93,2663.21,3608.72,5068.1,14329.1,60369.35,511965.78,335204893.79,67061172557.64,1646450528981.4,46100614811479.2,968112911041061.0,,,,,2018.0
8556,299,VEN,NGDPRPC,Venezuela,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",0.021,0.02,0.02,0.018,0.018,0.018,0.019,0.019,0.02,0.017,0.017,0.018,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.015,0.014,0.016,0.018,0.019,0.02,0.021,0.02,0.02,0.02,0.021,0.021,0.02,0.018,0.015,0.013,0.011,0.007,0.005,0.005,0.005,,,,,2010.0
8557,299,VEN,NGDPRPPPPC,Venezuela,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",20269.45,19413.76,19352.15,16965.93,17364.69,17040.02,17859.47,18258.63,18972.24,15941.9,16424.64,17598.57,18235.91,17875.12,17071.45,17364.32,16965.03,17681.47,17385.75,16027.2,16072.08,16343.75,14654.61,13301.81,15485.93,16817.62,18193.57,19485.41,20205.67,19268.25,18702.9,19201.51,19990.75,19973.02,18928.27,17510.85,14482.67,12321.89,10431.45,7045.25,4908.07,4724.29,4696.45,,,,,2010.0
8559,299,VEN,NGDPDPC,Venezuela,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4671.08,5085.58,5041.59,4883.23,3447.45,3472.19,3488.56,2619.24,3292.79,2378.16,2492.94,2685.29,2968.5,2876.08,2741.98,3559.77,3174.63,3778.54,3970.43,4133.37,4820.65,4963.92,3778.26,3266.1,4312.0,5421.66,6646.8,8538.1,11079.07,9557.55,11158.18,12180.03,11993.39,8695.04,6747.67,10568.1,9092.02,4725.05,3404.43,2299.31,1690.66,1627.35,1617.76,,,,,2010.0
8560,299,VEN,PPPPC,Venezuela,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7947.41,8332.05,8818.81,8034.17,8519.78,8624.84,9221.62,9660.91,10392.47,9074.98,9699.68,10744.45,11387.29,11426.53,11145.9,11574.83,11515.74,12209.0,12139.93,11348.98,11638.6,12101.98,11020.35,10200.47,12194.14,13658.04,15231.41,16753.77,17706.21,16992.96,16692.63,17493.73,18553.42,18861.61,18209.23,17014.18,14212.89,12321.89,10680.64,7342.59,5176.85,5162.58,5273.41,,,,,2010.0
8562,299,VEN,PPPSH,Venezuela,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.888,0.862,0.883,0.777,0.783,0.763,0.782,0.789,0.805,0.668,0.683,0.732,0.699,0.687,0.652,0.654,0.628,0.643,0.627,0.57,0.564,0.57,0.505,0.448,0.503,0.53,0.553,0.57,0.583,0.567,0.53,0.531,0.543,0.534,0.504,0.468,0.378,0.308,0.239,0.151,0.11,0.098,0.091,,,,,2018.0
8566,299,VEN,PCPI,Venezuela,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: Central Bank Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. 2007M12 Primary domestic currency: Venezuelan bolÌvar soberano Data last updated: 08/2021,0.087,0.101,0.111,0.118,0.132,0.147,0.164,0.21,0.272,0.503,0.707,0.949,1.247,1.722,2.769,4.429,8.852,13.282,18.034,22.285,25.897,29.142,35.679,46.772,56.944,66.029,75.05,89.083,117.092,147.583,189.183,238.542,288.8,406.167,658.675,1460.53,5184.14,27896.76,18265146.45,3654129639.98,89714263101.08,2511999366830.33,52751986703437.0,,,,,2020.0
