,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8595,582,VNM,NGDP_R,Vietnam,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Country authorities revised their methodology for GDP calculation in 2019, and 'revised' GDP data is currently only available starting in 2010. 'Revised' and 'unrevised' GDP data are substantially different, leading to sharp breaks in national accounts variables in 2010. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Vietnamese dong Data last updated: 09/2021",385896.35,408267.68,441542.63,472861.46,512568.88,541372.68,559547.12,573809.29,603073.66,650114.0,682928.38,722599.58,785464.93,848915.04,923905.31,1012050.31,1106576.02,1196780.65,1265773.14,1326195.91,1416209.07,1513855.28,1621040.94,1740044.42,1875584.21,2017139.35,2157894.83,2311741.8,2442627.69,2574477.59,2739843.17,2915553.94,3076041.91,3246870.23,3455392.13,3696825.71,3944143.68,4217874.76,4521444.21,4844732.7,4987553.63,5176083.15,5519153.95,5894445.36,6305773.5,6755818.08,7224620.75,2020.0
8596,582,VNM,NGDP_RPCH,Vietnam,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.497,5.797,8.15,7.093,8.397,5.619,3.357,2.549,5.1,7.8,5.047,5.809,8.7,8.078,8.834,9.54,9.34,8.152,5.765,4.774,6.787,6.895,7.08,7.341,7.789,7.547,6.978,7.129,5.662,5.398,6.423,6.413,5.505,5.554,6.422,6.987,6.69,6.94,7.197,7.15,2.948,3.78,6.628,6.8,6.978,7.137,6.939,2020.0
8597,582,VNM,NGDP,Vietnam,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Country authorities revised their methodology for GDP calculation in 2019, and 'revised' GDP data is currently only available starting in 2010. 'Revised' and 'unrevised' GDP data are substantially different, leading to sharp breaks in national accounts variables in 2010. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Vietnamese dong Data last updated: 09/2021",7.254,10.184,22.028,35.266,63.028,127.562,774.16,3307.77,14160.43,35670.31,53271.2,97396.6,140344.96,178088.72,226688.62,290629.3,345410.2,398214.15,458390.1,507815.32,560767.82,611111.04,680269.01,778902.23,989542.5,1160527.34,1347892.25,1583050.89,2051931.24,2297116.94,2739843.17,3539881.31,4073762.29,4473655.6,4937031.68,5191323.73,5639401.0,6293904.55,6977294.13,7615567.53,7966321.55,8389837.74,9329244.81,10401113.6,11735973.76,13229692.24,14843802.13,2020.0
8598,582,VNM,NGDPD,Vietnam,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,303.091,327.873,343.114,368.002,415.493,461.023,512.99,570.036,630.465,2020.0
8599,582,VNM,PPPGDP,Vietnam,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",29.158,33.767,38.776,43.152,48.464,52.806,55.678,58.509,63.662,71.319,77.722,85.018,94.521,104.577,116.246,130.007,144.752,159.251,170.328,180.973,197.635,216.021,234.921,257.144,284.615,315.695,348.145,383.045,412.493,437.546,471.247,511.889,568.401,607.018,660.612,700.257,770.872,851.064,934.11,1018.81,1061.48,1141.3,1250.44,1367.25,1495.99,1637.58,1787.5,2020.0
8600,582,VNM,NGDP_D,Vietnam,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.002,0.002,0.005,0.007,0.012,0.024,0.138,0.576,2.348,5.487,7.8,13.479,17.868,20.978,24.536,28.717,31.214,33.274,36.214,38.291,39.596,40.368,41.965,44.763,52.759,57.533,62.463,68.479,84.005,89.227,100.0,121.414,132.435,137.784,142.879,140.427,142.982,149.22,154.316,157.193,159.724,162.089,169.034,176.456,186.115,195.827,205.461,2020.0
8601,582,VNM,NGDPRPC,Vietnam,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7122487.02,7381443.98,7828769.89,8227970.2,8751389.54,9066700.5,9184949.69,9210422.15,9497222.99,10036650.44,10115515.97,10508027.24,11220685.78,11919117.32,12755886.16,13745591.66,14790874.04,15748968.2,16403142.63,16930286.81,17837511.49,18812854.04,19881679.69,21142278.64,22580310.1,24061497.04,25501742.29,27063368.61,28322480.45,29560352.3,31146029.44,33183936.55,34636484.14,36172998.14,38084801.34,40308501.72,42549645.88,45028319.8,47762070.93,50212809.39,51203734.24,52644688.09,55623826.15,58883325.7,62461730.46,66385346.96,70457272.08,2019.0
8602,582,VNM,NGDPRPPPPC,Vietnam,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1437.14,1489.4,1579.65,1660.2,1765.82,1829.44,1853.3,1858.44,1916.31,2025.15,2041.06,2120.26,2264.06,2404.99,2573.83,2773.52,2984.44,3177.76,3309.75,3416.12,3599.17,3795.97,4011.64,4265.99,4556.15,4855.02,5145.63,5460.73,5714.78,5964.56,6284.51,6695.71,6988.79,7298.83,7684.58,8133.27,8585.48,9085.61,9637.22,10131.71,10331.66,10622.41,11223.53,11881.21,12603.25,13394.94,14216.55,2019.0
8603,582,VNM,NGDPPC,Vietnam,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",133.89,184.121,390.56,613.65,1076.11,2136.36,12707.82,53094.14,222998.9,550688.72,789051.56,1416339.16,2004884.75,2500439.13,3129773.35,3947305.43,4616871.04,5240276.85,5940273.14,6482797.04,7063012.53,7594347.33,8343336.81,9463992.84,11913182.18,13843379.28,15929228.93,18532644.88,23792321.08,26375675.7,31146029.44,40289838.34,45870897.38,49840469.24,54415204.83,56603826.6,60838178.11,67191171.65,73704330.3,78930885.18,81784666.81,85331007.59,94023159.35,103903272.02,116250485.34,130000201.16,144762450.65,2019.0
8604,582,VNM,NGDPDPC,Vietnam,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",652.593,318.521,414.347,612.565,1044.41,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.27,1446.56,1481.44,1628.01,1949.83,2197.62,2369.97,2566.85,2581.91,2720.17,2957.9,3201.69,3398.21,3522.51,3742.86,4187.47,4605.45,5081.41,5601.4,6148.54,2019.0
8605,582,VNM,PPPPC,Vietnam,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",538.174,610.507,687.514,750.868,827.458,884.377,913.951,939.154,1002.55,1101.04,1151.22,1236.33,1350.27,1468.31,1604.95,1765.74,1934.81,2095.66,2207.28,2310.32,2489.26,2684.52,2881.26,3124.41,3426.5,3765.77,4114.33,4484.27,4782.9,5023.93,5357.05,5826.16,6400.24,6762.71,7281.17,7635.28,8316.21,9085.61,9867.43,10559.32,10897.47,11607.89,12602.35,13658.27,14818.53,16091.5,17432.42,2019.0
8607,582,VNM,PPPSH,Vietnam,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.218,0.227,0.245,0.256,0.266,0.271,0.271,0.267,0.269,0.279,0.282,0.291,0.285,0.302,0.319,0.338,0.356,0.37,0.38,0.385,0.393,0.41,0.427,0.44,0.451,0.463,0.47,0.478,0.491,0.519,0.525,0.537,0.567,0.577,0.605,0.629,0.667,0.699,0.724,0.755,0.804,0.789,0.802,0.827,0.857,0.889,0.92,2020.0
8608,582,VNM,PPPEX,Vietnam,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.249,0.302,0.568,0.817,1.3,2.416,13.904,56.534,222.433,500.155,685.407,1145.6,1484.81,1702.94,1950.07,2235.49,2386.21,2500.54,2691.22,2806.02,2837.39,2828.94,2895.73,3029.05,3476.78,3676.11,3871.64,4132.81,4974.46,5250.01,5814.02,6915.34,7167.06,7369.9,7473.42,7413.46,7315.61,7395.34,7469.45,7475.0,7504.93,7351.12,7460.77,7607.35,7844.94,8078.81,8304.21,2020.0
