,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8730,754,ZMB,NGDP_R,Zambia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Zambian kwacha Data last updated: 08/2021,39.933,42.581,41.341,40.868,40.166,40.663,41.353,41.97,45.861,44.183,43.928,43.635,44.53,44.496,38.574,39.692,42.16,43.768,43.599,45.627,47.405,49.925,52.175,55.798,59.722,64.044,69.106,74.878,80.698,88.139,97.216,102.626,110.423,116.007,121.457,125.004,129.725,134.271,139.688,141.701,137.422,138.803,140.392,142.253,144.296,146.381,148.508,2020.0
8731,754,ZMB,NGDP_RPCH,Zambia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.854,6.631,-2.912,-1.145,-1.718,1.237,1.698,1.491,9.271,-3.658,-0.579,-0.666,2.052,-0.077,-13.309,2.898,6.219,3.814,-0.386,4.65,3.897,5.317,4.506,6.945,7.032,7.236,7.904,8.352,7.774,9.22,10.298,5.565,7.598,5.057,4.698,2.92,3.777,3.504,4.035,1.441,-3.02,1.005,1.145,1.325,1.437,1.445,1.453,2020.0
8732,754,ZMB,NGDP,Zambia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Zambian kwacha Data last updated: 08/2021,0.003,0.004,0.004,0.005,0.005,0.008,0.014,0.022,0.034,0.06,0.124,0.239,0.622,1.619,2.448,3.29,4.345,5.657,6.588,8.129,11.201,14.785,18.447,23.202,29.73,37.189,45.964,56.263,67.089,77.348,97.216,114.03,131.272,151.331,167.053,183.381,216.098,246.252,275.175,300.449,354.396,456.107,514.979,578.214,635.322,700.156,769.227,2020.0
8733,754,ZMB,NGDPD,Zambia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,19.319,21.699,23.967,24.499,25.245,26.543,28.024,2020.0
8734,754,ZMB,PPPGDP,Zambia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.806,9.111,9.392,9.648,9.825,10.261,10.645,11.071,12.524,12.539,12.933,13.281,13.863,14.18,12.556,13.19,14.267,15.067,15.177,16.107,17.114,18.43,19.561,21.332,23.445,25.93,28.842,32.096,35.255,38.752,43.256,46.612,49.509,53.42,54.506,54.473,55.712,58.735,62.565,64.602,63.406,66.351,68.958,71.534,74.216,76.923,79.658,2020.0
8735,754,ZMB,NGDP_D,Zambia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.008,0.009,0.01,0.011,0.013,0.019,0.035,0.051,0.073,0.136,0.282,0.547,1.398,3.64,6.346,8.288,10.306,12.924,15.109,17.817,23.628,29.614,35.356,41.582,49.78,58.069,66.513,75.14,83.135,87.757,100.0,111.112,118.881,130.449,137.54,146.701,166.582,183.4,196.992,212.029,257.889,328.6,366.814,406.47,440.29,478.311,517.971,2020.0
8736,754,ZMB,NGDPRPC,Zambia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6760.3,6978.98,6564.96,6292.37,5999.75,5895.46,5820.91,5735.86,6084.04,5687.12,5481.87,5283.53,5235.87,5084.38,4277.45,4289.15,4436.97,4482.59,4345.15,4425.9,4478.49,4596.75,4683.57,4883.47,5093.17,5317.48,5581.13,5877.82,6153.14,6524.96,6985.41,7154.6,7467.55,7609.03,7725.78,7710.56,7760.04,7789.22,7859.57,7734.38,7277.95,7134.21,7004.56,6891.08,6787.53,6686.5,6587.75,2019.0
8737,754,ZMB,NGDPRPPPPC,Zambia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2957.21,3052.88,2871.77,2752.53,2624.52,2578.9,2546.29,2509.08,2661.39,2487.76,2397.98,2311.22,2290.37,2224.1,1871.12,1876.24,1940.9,1960.86,1900.73,1936.06,1959.07,2010.8,2048.77,2136.22,2227.95,2326.07,2441.4,2571.19,2691.62,2854.27,3055.69,3129.7,3266.6,3328.48,3379.56,3372.89,3394.54,3407.31,3438.08,3383.31,3183.66,3120.78,3064.06,3014.43,2969.13,2924.93,2881.74,2019.0
8738,754,ZMB,NGDPPC,Zambia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",0.567,0.624,0.624,0.703,0.805,1.12,2.017,2.953,4.468,7.761,15.44,28.88,73.176,185.053,271.43,355.488,457.281,579.339,656.52,788.583,1058.2,1361.27,1655.93,2030.62,2535.38,3087.79,3712.18,4416.59,5115.42,5726.11,6985.41,7949.64,8877.52,9925.93,10626.07,11311.44,12926.85,14285.4,15482.73,16399.15,18769.0,23443.03,25693.71,28010.16,29884.84,31982.28,34122.65,2019.0
8739,754,ZMB,NGDPDPC,Zambia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,356.323,376.468,429.01,530.54,691.554,1030.69,1103.69,1365.93,1135.01,1456.05,1635.17,1724.63,1839.33,1726.65,1310.46,1254.12,1500.96,1480.42,1272.24,1023.16,1115.27,1195.78,1186.79,1187.48,1212.44,1243.12,2019.0
