,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
89,914,ALB,BCA_NGDPD,Albania,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.054,-0.455,-2.264,-1.583,-1.316,-1.158,0.057,0.265,-0.986,-2.691,-4.313,-12.368,-8.185,1.674,-3.706,-1.968,-7.894,-13.047,-6.944,-1.946,-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.758,-7.628,-8.888,-8.644,-8.309,-8.169,-8.183,-8.096,-7.923,2020.0
134,612,DZA,BCA_NGDPD,Algeria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.571,-0.472,-0.973,-0.179,0.144,1.66,-3.623,0.223,-3.678,-1.965,2.181,5.121,2.621,1.589,-4.334,-5.318,2.658,7.161,-1.888,0.041,16.699,12.896,7.68,12.979,13.027,20.526,24.738,22.671,20.146,0.299,7.541,9.9,5.879,0.398,-4.413,-16.442,-16.542,-13.12,-9.645,-9.911,-12.677,-7.626,-5.465,-5.277,-4.79,-5.612,-6.221,2019.0
224,614,AGO,BCA_NGDPD,Angola,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",1.051,-2.947,-7.958,-5.549,-2.488,2.306,-3.827,4.939,-4.777,-1.156,-1.873,-4.756,-7.821,-9.804,-6.843,-4.761,40.863,-9.412,-23.462,-22.728,7.125,-13.092,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.571,-8.84,-3.051,-0.519,7.304,6.079,1.494,7.34,5.691,4.464,2.949,2.237,1.61,2020.0
314,213,ARG,BCA_NGDPD,Argentina,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.101,-3.014,-3.095,-2.095,-1.911,-0.966,-2.411,-3.484,-1.104,1.199,2.952,-0.202,-2.529,-3.042,-3.815,-1.769,-2.352,-3.753,-4.38,-3.815,-2.878,-1.316,7.666,5.597,1.798,2.473,2.791,2.1,1.492,2.167,-0.382,-1.012,-0.369,-2.146,-1.628,-2.743,-2.713,-4.838,-5.165,-0.821,0.852,0.994,0.772,0.834,0.832,0.79,0.864,2020.0
449,193,AUS,BCA_NGDPD,Australia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.371,-4.064,-4.114,-3.153,-4.154,-4.871,-5.058,-3.396,-3.846,-6.023,-4.867,-3.295,-3.272,-3.039,-4.538,-5.005,-3.474,-2.923,-4.914,-5.484,-4.102,-2.253,-3.814,-5.354,-6.321,-5.948,-5.869,-6.718,-4.738,-4.662,-3.653,-3.077,-4.296,-3.383,-3.07,-4.618,-3.277,-2.583,-2.092,0.708,2.664,3.557,1.324,0.522,-0.046,-0.304,-0.508,2020.0
494,122,AUT,BCA_NGDPD,Austria,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.776,-4.338,1.003,0.389,-0.266,-0.23,0.21,-0.216,-0.181,0.186,0.699,0.035,-0.385,-0.532,-1.467,-2.86,-2.838,-2.546,-1.852,-2.261,-0.706,-0.796,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.724,1.374,1.258,2.842,2.499,1.609,2.0,1.782,1.828,1.962,2.0,2019.0
584,313,BHS,BCA_NGDPD,The Bahamas,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.585,-3.05,-2.151,-1.153,-1.33,-1.012,-0.764,-1.174,-1.37,-1.747,-0.77,-3.549,0.649,5.62,3.801,2.314,0.297,-5.358,-10.086,1.358,-1.515,-3.835,0.084,-0.173,1.606,-3.098,-10.141,-8.987,-8.282,-8.095,-7.884,-10.935,-14.289,-14.447,-19.677,-13.543,-8.833,-12.741,-8.685,3.993,-18.086,-20.913,-15.807,-11.945,-8.833,-8.009,-7.777,2019.0
629,419,BHR,BCA_NGDPD,Bahrain,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",5.131,10.591,9.981,2.35,4.816,0.908,-2.058,-5.552,4.285,-4.131,1.407,-11.564,-15.189,-5.645,-3.977,3.499,3.69,-0.424,-11.128,-0.295,9.336,2.46,-0.579,1.775,3.608,9.245,11.828,13.381,8.778,2.442,3.0,8.77,8.384,7.406,4.562,-2.422,-4.631,-4.088,-6.466,-2.065,-9.343,-2.904,-2.869,-3.151,-3.798,-4.063,-4.315,2020.0
674,513,BGD,BCA_NGDPD,Bangladesh,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.897,-2.095,-3.224,-2.621,-2.25,-2.8,-2.642,-1.953,-2.812,-3.769,-3.168,-1.792,-0.642,-0.348,-0.576,-1.402,-2.027,-1.698,-1.11,-0.659,-0.62,-1.868,0.282,0.293,0.268,-0.802,0.796,1.201,0.303,2.035,2.811,-1.731,-0.335,1.592,0.813,1.789,1.925,-0.533,-3.501,-1.687,-1.462,-1.071,-1.495,-1.923,-1.895,-1.905,-2.16,2020.0
719,316,BRB,BCA_NGDPD,Barbados,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.672,-11.255,-3.554,-4.152,0.827,0.332,-1.028,-3.127,0.129,-0.131,-1.856,-1.162,7.426,3.329,6.474,2.611,3.724,-1.411,-3.029,-4.586,-3.654,-3.732,-5.207,-3.711,-10.493,-10.509,-10.474,-4.839,-9.627,-6.025,-4.603,-11.817,-8.479,-8.365,-9.218,-6.12,-4.26,-3.788,-3.96,-3.05,-7.306,-12.71,-8.447,-6.878,-5.536,-4.18,-3.382,2019.0
