,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
659,513,BGD,GGR_NGDP,Bangladesh,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,5.955,6.02,5.814,5.699,5.678,5.998,6.149,5.999,6.104,6.238,10.593,10.97,10.791,11.986,11.885,11.891,9.169,9.355,8.924,8.466,8.489,8.649,9.562,9.804,9.124,9.355,9.559,9.299,9.793,9.459,10.024,10.362,11.247,11.229,10.92,9.794,10.085,10.22,9.661,9.973,9.799,10.133,10.226,10.258,10.29,10.445,10.496,2019.0
794,124,BEL,GGR_NGDP,Belgium,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,47.317,47.938,49.209,49.608,50.209,50.29,49.573,49.833,48.479,46.562,47.377,47.953,47.492,49.349,49.373,48.136,49.049,49.451,49.935,49.849,49.319,49.612,49.86,49.183,49.08,49.147,49.029,48.629,49.68,49.25,49.791,50.974,52.159,52.987,52.544,51.306,50.755,51.348,51.379,50.179,50.59,50.291,50.143,50.051,50.149,50.043,49.992,2020.0
1469,156,CAN,GGR_NGDP,Canada,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,36.907,38.94,39.501,38.972,38.819,38.712,39.485,39.682,40.251,40.535,42.179,43.078,43.308,42.543,42.076,42.245,42.811,43.502,43.549,43.429,43.197,41.632,40.16,40.149,39.902,40.074,40.488,40.339,38.96,39.539,38.326,38.267,38.402,38.466,38.545,39.957,40.3,40.343,41.142,41.495,41.948,40.584,41.119,41.426,41.697,41.83,41.847,2020.0
1694,233,COL,GGR_NGDP,Colombia,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,0.046,0.036,10.747,11.27,11.442,12.21,12.23,14.12,13.653,16.259,17.042,18.041,18.341,19.763,20.434,21.197,22.574,22.949,22.477,22.892,23.642,24.798,24.622,25.312,25.32,25.868,27.449,27.342,28.471,28.24,27.048,28.24,29.247,28.978,29.517,27.757,27.72,26.825,29.99,29.368,26.507,27.297,28.99,29.729,29.757,29.62,29.434,2020.0
2099,128,DNK,GGR_NGDP,Denmark,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,48.759,49.03,47.635,49.553,51.355,52.326,54.014,54.549,55.359,54.533,53.415,52.447,53.77,55.622,55.69,54.906,55.516,54.707,55.007,55.402,54.574,53.978,53.199,53.506,55.071,56.197,54.817,54.612,53.585,53.738,53.963,54.374,54.464,54.585,56.362,53.198,52.373,52.336,51.309,53.581,53.154,51.683,50.205,50.096,49.729,49.475,49.475,2020.0
2414,642,GNQ,GGR_NGDP,Equatorial Guinea,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,44.422,32.059,36.374,44.785,43.65,26.032,21.684,25.038,19.452,40.626,52.746,48.481,37.271,38.371,22.532,18.085,16.588,17.966,27.436,18.495,19.978,28.385,28.849,21.565,24.638,32.669,39.888,36.849,34.506,33.373,26.646,28.327,27.961,24.87,24.057,26.474,16.902,17.48,19.884,18.536,14.211,16.431,15.556,15.297,15.168,14.872,14.994,2019.0
2549,734,SWZ,GGR_NGDP,Eswatini,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,20.418,15.471,18.213,16.521,17.906,17.868,16.522,18.751,19.985,21.027,23.013,22.201,21.33,19.23,19.395,20.14,20.907,22.05,22.415,23.837,22.846,22.654,22.133,23.07,26.21,26.527,35.182,31.805,33.986,29.965,21.087,20.641,29.567,28.505,28.809,27.605,25.249,28.229,25.102,27.406,28.358,26.349,23.956,25.147,26.014,26.515,26.529,2020.0
2594,644,ETH,GGR_NGDP,Ethiopia,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,10.933,11.988,12.808,13.66,15.132,14.987,15.865,14.837,18.087,19.687,13.998,11.321,9.313,9.652,12.239,14.633,14.861,16.176,17.484,18.27,16.718,18.678,19.105,21.449,20.498,18.768,18.279,16.954,15.874,16.181,17.162,16.621,15.476,15.825,14.901,15.379,15.613,14.743,13.07,12.819,11.705,10.859,,,,,,2020.0
2684,172,FIN,GGR_NGDP,Finland,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,46.745,49.321,48.83,48.555,50.186,51.952,53.383,51.694,54.418,53.939,53.72,56.072,55.934,55.504,55.737,54.004,55.062,53.567,52.855,51.51,53.636,51.116,51.415,50.613,50.343,51.774,52.186,51.792,52.055,51.607,51.373,52.638,53.281,54.298,54.289,54.086,53.95,52.98,52.571,52.279,51.517,52.164,51.873,51.743,51.713,51.626,51.599,2020.0
2729,132,FRA,GGR_NGDP,France,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,See notes for:  General government revenue (National currency).,45.976,46.55,47.401,48.204,48.938,49.339,48.704,49.304,48.079,47.691,47.698,48.409,47.99,48.846,49.202,49.7,50.975,50.878,50.546,51.027,50.334,50.339,49.635,49.255,49.394,49.939,50.432,49.929,50.033,49.977,49.995,51.136,52.126,53.144,53.309,53.172,53.049,53.545,53.356,52.287,52.577,51.725,51.314,50.608,50.607,50.544,50.493,2020.0
