,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
663,513,BGD,GGXCNL_NGDP,Bangladesh,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-6.999,-6.114,-6.66,-6.802,-5.456,-4.996,-5.462,-5.188,-4.881,-5.083,-0.181,0.521,0.419,0.502,0.038,-0.444,-2.375,-2.284,-2.571,-1.564,-2.918,-4.08,-2.738,-2.343,-2.624,-2.853,-2.573,-2.233,-4.031,-3.21,-2.675,-3.589,-2.977,-3.381,-3.077,-3.975,-3.361,-3.34,-4.641,-5.433,-5.539,-5.944,-6.113,-5.655,-5.447,-5.001,-5.001,2019.0
798,124,BEL,GGXCNL_NGDP,Belgium,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-9.737,-16.028,-12.765,-15.028,-11.21,-10.395,-10.282,-8.137,-7.505,-7.818,-6.993,-7.672,-8.42,-7.709,-5.288,-4.509,-4.003,-2.151,-1.025,-0.648,-0.079,0.233,-0.044,-1.864,-0.239,-2.715,0.239,0.067,-1.095,-5.431,-4.088,-4.33,-4.319,-3.129,-3.056,-2.414,-2.363,-0.683,-0.822,-1.906,-9.379,-7.035,-4.405,-4.589,-4.802,-4.833,-5.03,2020.0
1473,156,CAN,GGXCNL_NGDP,Canada,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-4.044,-2.892,-6.898,-7.998,-7.94,-8.757,-7.322,-5.746,-4.511,-4.718,-5.911,-8.359,-9.199,-8.935,-6.936,-5.49,-3.053,0.039,0.143,1.656,2.64,0.529,-0.234,-0.127,0.768,1.553,1.828,1.82,0.184,-3.881,-4.738,-3.309,-2.525,-1.495,0.175,-0.062,-0.453,-0.112,0.276,0.539,-10.879,-7.489,-2.211,-0.478,-0.11,0.191,0.414,2020.0
2103,128,DNK,GGXCNL_NGDP,Denmark,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.592,-6.818,-9.526,-7.745,-4.445,-2.567,2.093,1.492,0.223,-0.667,-1.538,-2.931,-2.571,-3.672,-3.603,-3.62,-2.483,-1.2,-0.389,0.869,1.887,1.141,-0.015,-0.133,2.073,4.955,4.987,5.02,3.174,-2.798,-2.71,-2.056,-3.49,-1.236,1.144,-1.33,-0.106,1.786,0.76,4.064,-0.601,-1.881,0.065,-0.394,-0.334,-0.221,0.009,2020.0
2418,642,GNQ,GGXCNL_NGDP,Equatorial Guinea,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-204.115,-174.92,-184.922,-154.626,-114.382,-89.328,-97.301,-157.962,-208.495,-76.171,-160.185,-236.036,-557.499,-217.936,-487.312,-123.416,-6.355,3.214,-7.651,-0.191,-2.667,14.909,17.594,7.783,13.874,18.547,21.795,17.16,14.614,-6.475,-4.533,0.835,-7.239,-4.403,-7.541,-15.097,-10.917,-2.59,0.531,1.815,-1.748,-0.814,-1.017,-0.145,-0.068,-0.213,0.006,2019.0
2553,734,SWZ,GGXCNL_NGDP,Eswatini,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,5.112,-3.404,0.08,-0.442,0.953,-1.131,-2.282,2.0,3.424,5.651,5.307,3.186,-2.679,-3.062,-3.328,0.844,-0.937,1.995,1.019,-1.197,-1.158,-2.172,-3.583,-2.046,-3.856,-1.613,8.418,2.3,1.536,-2.915,-9.066,-3.763,3.295,0.557,-2.667,-6.039,-8.997,-6.848,-9.578,-6.982,-6.692,-7.99,-8.604,-5.05,-3.82,-2.977,-2.707,2020.0
2598,644,ETH,GGXCNL_NGDP,Ethiopia,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.563,-2.195,-3.599,-7.59,-3.692,-4.711,-3.983,-3.544,-3.483,-4.33,-6.861,-6.0,-4.922,-4.122,-5.386,-2.757,-3.928,-1.764,-3.645,-8.539,-8.88,-3.76,-5.764,-5.592,-2.651,-4.122,-3.788,-3.567,-2.882,-0.932,-1.321,-1.607,-1.172,-1.931,-2.582,-1.947,-2.3,-3.243,-3.029,-2.533,-2.764,-2.977,,,,,,2020.0
2688,172,FIN,GGXCNL_NGDP,Finland,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,2.88,4.779,2.401,0.359,2.668,2.553,3.345,0.719,4.872,7.138,6.634,0.301,-4.881,-8.083,-6.4,-5.971,-3.367,-1.325,1.536,1.596,6.727,4.891,3.973,2.339,2.157,2.589,3.924,5.115,4.18,-2.484,-2.534,-1.019,-2.16,-2.525,-2.987,-2.425,-1.698,-0.654,-0.853,-0.997,-5.472,-4.591,-2.575,-1.858,-1.751,-1.72,-1.563,2020.0
2733,132,FRA,GGXCNL_NGDP,France,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-0.429,-2.408,-2.837,-2.541,-2.736,-2.972,-3.197,-2.014,-2.564,-1.782,-2.434,-2.863,-4.601,-6.359,-5.423,-5.109,-3.906,-3.653,-2.379,-1.603,-1.318,-1.379,-3.16,-4.015,-3.591,-3.356,-2.444,-2.636,-3.264,-7.175,-6.887,-5.155,-4.981,-4.084,-3.905,-3.625,-3.637,-2.958,-2.289,-3.065,-9.206,-8.931,-4.729,-3.913,-3.622,-3.433,-3.432,2020.0
2958,652,GHA,GGXCNL_NGDP,Ghana,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-4.899,-3.851,-2.05,-1.182,-1.027,-1.246,-1.352,-0.997,-1.165,-0.875,-2.075,-1.588,-4.874,-5.866,-5.445,-4.856,-6.029,-6.62,-5.689,-6.089,-4.285,-3.898,-2.922,-2.137,-2.169,-2.01,-3.327,-5.262,-5.906,-5.324,-7.471,-5.473,-8.328,-9.117,-7.812,-4.007,-6.746,-3.966,-6.791,-7.195,-15.701,-14.503,-11.132,-10.297,-10.138,-9.037,-8.137,2018.0
