,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
802,124,BEL,GGXONLB_NGDP,Belgium,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-3.941,-8.441,-4.204,-5.998,-2.053,-0.759,-0.278,1.55,2.026,2.97,4.124,3.066,2.097,2.697,3.615,3.844,3.982,5.158,5.97,5.832,6.179,6.239,5.32,3.086,4.235,1.325,3.996,3.666,2.431,-1.992,-0.893,-1.19,-1.16,-0.191,-0.186,0.158,0.005,1.38,1.013,-0.205,-7.686,-5.643,-3.316,-3.688,-3.973,-4.023,-4.243,2020.0
1477,156,CAN,GGXONLB_NGDP,Canada,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-2.67,-2.208,-5.244,-6.243,-5.614,-5.722,-3.469,-1.661,-0.418,-0.218,-0.858,-3.166,-3.973,-3.726,-1.867,0.085,2.141,4.72,4.798,5.761,5.659,3.38,2.256,1.645,2.258,2.532,2.411,2.368,0.466,-2.776,-3.9,-2.701,-1.822,-0.994,0.451,0.587,0.125,0.078,0.347,0.565,-10.629,-7.116,-2.133,-0.279,0.306,0.704,0.872,2020.0
2107,128,DNK,GGXONLB_NGDP,Denmark,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-2.311,-4.278,-6.245,-2.665,1.931,4.115,7.907,6.644,4.687,3.312,2.618,1.428,0.641,-0.085,-0.237,0.13,0.689,1.999,2.615,3.738,4.368,3.163,1.939,1.512,3.44,6.044,5.812,5.568,3.35,-2.374,-2.115,-1.444,-2.972,-0.83,1.595,-0.592,0.407,1.692,0.393,3.758,-0.943,-2.181,-0.335,-0.694,-0.634,-0.421,-0.241,2020.0
2557,734,SWZ,GGXONLB_NGDP,Eswatini,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,5.158,-3.067,0.862,0.33,1.789,0.027,-0.887,3.123,4.461,6.526,5.924,3.73,-2.11,-2.639,-2.919,1.276,-0.446,2.457,1.521,-0.515,-0.648,-1.429,-2.502,-1.02,-2.946,-0.639,9.096,2.989,2.435,-2.242,-8.451,-3.034,4.145,1.318,-2.003,-5.359,-8.12,-5.685,-8.263,-4.911,-4.515,-5.709,-5.617,-1.623,0.061,0.868,1.141,2020.0
2602,644,ETH,GGXONLB_NGDP,Ethiopia,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-2.031,-1.55,-2.736,-6.737,-2.559,-3.332,-2.724,-2.526,-2.353,-3.288,-5.962,-5.06,-3.882,-2.723,-3.009,-1.015,-2.228,-0.119,-2.087,-6.8,-7.209,-2.185,-4.266,-3.945,-1.416,-3.18,-2.994,-2.871,-2.429,-0.551,-0.909,-1.236,-0.873,-1.592,-2.225,-1.536,-1.839,-2.793,-2.503,-2.031,-2.365,-2.389,,,,,,2020.0
2692,172,FIN,GGXONLB_NGDP,Finland,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,1.829,3.629,1.313,-0.654,1.677,1.582,2.183,-0.287,3.871,5.765,4.748,-1.718,-6.866,-8.524,-5.417,-5.198,-2.016,0.396,3.063,2.964,7.616,5.355,3.965,2.265,2.085,2.544,3.728,4.777,3.649,-2.852,-2.47,-0.997,-1.944,-2.424,-2.835,-2.285,-1.416,-0.395,-0.689,-0.844,-5.358,-4.603,-2.717,-2.059,-1.882,-1.726,-1.486,2020.0
2737,132,FRA,GGXONLB_NGDP,France,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,0.169,-1.479,-1.898,-1.14,-1.202,-1.259,-1.394,-0.155,-0.727,0.169,-0.259,-0.573,-2.139,-3.693,-2.633,-2.228,-0.837,-0.652,0.495,1.04,1.249,1.216,-0.546,-1.51,-1.08,-0.917,-0.062,-0.158,-0.615,-4.94,-4.606,-2.683,-2.548,-1.914,-1.85,-1.75,-1.892,-1.325,-0.68,-1.712,-8.02,-7.79,-3.884,-3.156,-2.934,-2.748,-2.75,2020.0
2962,652,GHA,GGXONLB_NGDP,Ghana,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-4.193,-3.238,-1.029,-0.654,-0.47,-0.632,-0.448,-0.412,-0.693,-0.33,-1.507,-0.882,-4.018,-4.31,-3.488,-2.979,-3.741,-3.883,-2.656,-3.661,-1.032,-1.262,-0.957,0.556,-0.267,-0.422,-1.841,-3.88,-4.245,-3.238,-5.15,-3.494,-5.723,-5.585,-3.35,0.938,-1.496,1.198,-1.351,-1.654,-9.287,-6.474,-2.058,-0.973,-0.548,0.314,0.776,2018.0
3457,176,ISL,GGXONLB_NGDP,Iceland,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,0.844,1.274,1.302,-2.533,2.12,-1.717,-3.511,-0.617,-0.807,-3.002,-0.988,1.104,0.013,-2.297,-2.333,-0.172,0.878,2.304,1.987,3.248,2.919,0.738,-1.345,-1.213,1.314,5.445,5.736,4.838,-13.462,-6.117,-4.185,-4.218,0.32,1.877,3.775,3.21,15.461,3.95,3.079,0.46,-6.399,-6.46,-2.539,0.34,1.86,2.817,2.478,2020.0
3862,158,JPN,GGXONLB_NGDP,Japan,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-3.252,-2.561,-2.276,-2.05,-0.582,0.678,0.638,1.559,2.183,2.653,3.154,2.688,1.67,-1.243,-2.727,-3.179,-3.739,-2.393,-8.784,-5.474,-6.022,-5.225,-6.53,-6.717,-4.762,-4.155,-2.892,-2.627,-3.656,-9.085,-8.39,-8.146,-7.294,-6.761,-4.774,-2.896,-2.775,-2.382,-1.903,-2.436,-9.548,-8.436,-3.561,-1.965,-1.939,-1.989,-2.063,2019.0
