,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
805,124,BEL,GGXWDG,Belgium,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Central Bank Latest actual data: 2020 Fiscal assumptions: Projections are based on the 2021-22 Stability Program, the Draft Budgetary Plan for 2020, the 2021 budget, and other available information on the authorities' fiscal plans, with adjustments for the IMF staff's assumptions. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Euro Data last updated: 09/2021",68.637,84.041,101.028,118.476,133.02,147.368,161.076,173.694,186.502,197.118,215.467,228.31,244.994,260.273,270.66,276.344,276.44,278.493,277.255,279.531,280.96,286.055,288.111,285.867,288.419,294.975,297.495,300.064,327.683,347.224,364.132,389.107,404.752,414.432,431.4,438.49,451.614,453.98,459.307,467.172,514.965,552.526,578.631,605.767,635.244,665.479,697.719,2020.0
1165,516,BRN,GGXWDG,Brunei Darussalam,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Value added from energy sector and expected fiscal policies. Start/end months of reporting year: January/December. Start beginning of month. GFS Manual used: Other Basis of recording: Cash General government includes: Central Government;. Budgetary central govt. Valuation of public debt: Face value. No liabilities Instruments included in gross and net debt: No liabilities Primary domestic currency: Brunei dollar Data last updated: 08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.213,0.192,0.208,0.496,0.5,0.5,0.7,0.525,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.473,2020.0
1480,156,CAN,GGXWDG,Canada,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Notes: Fiscal data are on a calendar year basis. Government financial assets (used for the calculation of net debt) include currency and deposits, accounts receivable, short-term and other bonds, investment fund shares, loans, and equity. Fiscal assumptions: Projections use the baseline forecasts from the Federal Budget 2021 and the latest provincial budgets. The IMF staff makes some adjustments to these forecasts, including for differences in macroeconomic projections. The IMF staff's forecast also incorporates the most recent data releases from Statistics Canada's National Economic Accounts, including quarterly federal, provincial, and territorial budgetary outturns. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001. Comment: Preliminary data: based on quarterly data. Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares; Loans; Other Accounts Receivable/Payable; Other;. Gross debt includes debt securities, loans, life insurance and pension, and other accounts payable but excludes unfunded pension liabilities. Net debt is estimated as gross debt minus financial assets which include currency and deposits, debt securities, loans, equity and investment fund shares, and accounts receivable. Primary domestic currency: Canadian dollar Data last updated: 09/2021",143.928,169.729,200.716,241.04,278.175,325.849,365.078,400.661,437.224,476.732,512.892,573.055,633.876,707.67,772.018,832.321,861.931,864.051,877.439,896.709,889.686,932.368,950.229,952.501,960.249,1004.22,1046.42,1054.85,1124.9,1245.63,1353.14,1450.79,1560.53,1638.39,1707.22,1815.13,1858.08,1901.77,1981.99,2006.17,2589.87,2771.09,2828.68,2839.99,2840.96,2833.72,2818.05,2020.0
2425,642,GNQ,GGXWDG,Equatorial Guinea,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Finance, Economy and Planning Latest actual data: 2019 Fiscal assumptions: Actual fiscal data and WEO projections Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Cash. Commitment basis from 2013 General government includes: Central Government;. State/local government and other public institution are not covered due to limited information. Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: CFA franc Data last updated: 08/2021",9.734,17.814,30.144,39.277,49.586,60.933,47.935,47.106,54.971,62.572,56.947,62.999,57.987,69.839,143.625,115.154,128.842,141.915,153.914,274.806,301.389,312.344,279.4,146.672,142.097,122.975,64.352,47.228,43.167,307.749,637.236,721.676,811.251,679.923,1349.8,2467.77,2740.45,2567.09,2997.71,2875.72,2818.67,2880.01,2915.51,2868.66,2870.92,2860.97,2840.68,2019.0
2695,172,FIN,GGXWDG,Finland,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Based on announced policies by the authorities, adjusted for the Staff macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;. Data reported are based on the Maastricht definition. It covers all general governments in the sense of the national accounts: the State, other government bodies (ODAC), local governments and social security administrations. It does not include all financial liabilities but only cash and deposits, securities other than shares as well as loans; excluded are derivative products and other accounts payable. Primary domestic currency: Euro Data last updated: 09/2021",3.669,4.398,5.933,7.35,8.121,9.231,10.316,11.958,12.691,12.262,12.603,19.025,33.309,46.397,50.937,54.351,56.458,57.858,56.414,55.857,57.892,59.142,59.567,64.778,67.587,65.652,65.696,63.425,63.254,75.482,88.248,95.576,107.801,114.888,123.778,134.529,137.419,138.422,139.564,142.874,164.266,179.006,187.944,198.078,207.389,216.367,225.038,2020.0
2740,132,FRA,GGXWDG,France,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Fiscal assumptions: Projections for 2021 onward are based on the measures of the 2018-21 budget laws and the draft amending budget law presented in June 2021, adjusted for differences in assumptions on macroeconomic and financial variables, and in revenue projections. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Euro Data last updated: 09/2021",94.1,112.4,148.6,173.6,205.7,232.6,255.0,288.3,311.2,343.4,374.9,398.2,454.9,531.7,588.6,683.5,751.3,794.1,829.4,847.6,870.6,897.4,956.8,1050.4,1123.6,1189.9,1194.1,1252.9,1370.3,1608.0,1701.1,1808.0,1892.5,1977.7,2039.9,2101.3,2188.5,2258.6,2314.9,2379.5,2650.1,2851.94,2950.13,3068.73,3179.3,3285.6,3393.22,2020.0
3010,174,GRC,GGXWDG,Greece,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Fiscal assumptions: Historical data since 2010 reflect adjustments in line with the primary balance definition under the enhanced surveillance framework for Greece. Start/end months of reporting year: January/December GFS Manual used: European System of Accounts (ESA) 2010 Basis of recording: Accrual. Data in line with ESA-2010. General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. General debt data, including historical data, are provisional and subject to revisions. Public debt includes the stock of deferred interest payments on EFSF loans Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Euro Data last updated: 09/2021",1.602,2.271,3.138,4.29,6.364,9.036,10.918,13.675,18.118,22.571,33.314,42.002,51.992,73.418,81.606,92.124,104.413,114.083,122.037,132.326,148.217,162.971,171.41,181.51,199.276,213.97,225.648,239.915,264.775,301.062,330.57,373.82,305.135,321.466,321.959,315.209,319.573,323.086,341.276,339.145,350.257,366.264,371.426,370.964,374.322,377.361,379.493,2020.0
3865,158,JPN,GGXWDG,Japan,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2019 Fiscal assumptions: The projections reflect fiscal measures announced by the government, with adjustments for IMF staff assumptions. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds;. Government in Japan consists of 3 layers: central, prefectural, and municipal. The latter two government levels are covered under local government. There is no government at the state level in Japan. Valuation of public debt: Current market value. Gross public debt is on unconsolidated basis. Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans; Insurance Technical Reserves; Other Accounts Receivable/Payable; Monetary Gold and SDRs; Other Primary domestic currency: Japanese yen Data last updated: 09/2021",122341.9,145038.3,166617.3,191704.6,209705.2,232523.5,264667.0,283065.9,288184.9,281739.7,291689.2,306569.4,336606.4,367463.7,431014.9,482626.0,525137.5,570564.6,622444.0,683856.8,726072.6,771554.9,808198.9,838458.7,897281.2,928138.7,931374.3,931927.5,953855.3,983455.3,1039841.6,1089883.0,1131537.4,1168109.1,1211567.9,1228848.8,1265756.0,1279900.0,1293192.1,1318186.7,1368968.63,1421696.68,1448989.59,1466958.15,1484663.49,1502229.62,1519811.88,2019.0
5575,138,NLD,GGXWDG,Netherlands,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2019 Notes: Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Fiscal assumptions: Fiscal projections for 2020-26 are based on the IMF staff forecast framework and are also informed by the authorities' draft budget plan and Bureau for Economic Policy Analysis projections. Historical data were revised following the June 2014 Central Bureau of Statistics release of revised macroeconomic data because of the adoption of the European System of National and Regional Accounts and revisions of data sources. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans Primary domestic currency: Euro Data last updated: 09/2021",76.148,85.935,100.032,115.733,128.299,145.286,154.124,161.805,174.524,184.94,199.046,209.709,220.605,230.174,232.017,237.973,242.902,239.335,243.135,241.323,230.08,232.073,238.213,249.821,259.947,267.038,257.602,259.884,348.131,348.864,379.679,402.122,433.758,448.018,456.748,445.967,438.372,420.297,405.773,385.656,419.987,489.793,498.741,504.428,506.533,505.984,502.752,2019.0
5845,142,NOR,GGXWDG,Norway,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",National currency,Billions,"Source: National Statistical Office and Ministry of Finance Latest actual data: 2020 Fiscal assumptions: The fiscal projections are based on the 2021 budget. And subsequent ad-hoc updates. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Current market value Instruments included in gross and net debt: Securities Other than Shares;. Treasury bills with maturity of up to one year, and bonds with maturity of up to 10 years. Gross debt follows the Maastricht definition of gross debt, and excludes other accounts payable. Primary domestic currency: Norwegian krone Data last updated: 09/2021",151.766,158.398,155.618,159.203,178.346,207.647,267.655,244.55,215.36,229.16,217.042,310.044,365.853,458.937,454.394,315.31,300.011,293.974,274.325,316.103,432.636,426.668,530.949,699.621,783.717,845.278,1169.99,1168.64,1246.69,1037.95,1119.04,832.044,922.021,971.205,937.814,1074.73,1181.19,1273.21,1409.4,1458.79,1413.17,1644.29,1717.34,1750.3,1764.36,1788.72,1821.58,2020.0
