,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
661,513,BGD,GGX_NGDP,Bangladesh,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,12.954,12.134,12.473,12.502,11.134,10.994,11.611,11.187,10.985,11.32,10.774,10.449,10.372,11.483,11.848,12.335,11.544,11.639,11.495,10.03,11.408,12.729,12.3,12.147,11.748,12.207,12.131,11.532,13.824,12.669,12.699,13.952,14.224,14.61,13.997,13.769,13.447,13.56,14.302,15.406,15.338,16.077,16.339,15.914,15.738,15.446,15.497,2019.0
796,124,BEL,GGX_NGDP,Belgium,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,57.053,63.966,61.974,64.636,61.419,60.686,59.855,57.97,55.984,54.38,54.369,55.625,55.912,57.058,54.66,52.645,53.052,51.602,50.959,50.497,49.398,49.379,49.904,51.047,49.319,51.862,48.789,48.563,50.775,54.681,53.878,55.304,56.478,56.116,55.6,53.72,53.118,52.032,52.201,52.085,59.97,57.326,54.548,54.64,54.952,54.875,55.022,2020.0
1066,616,BWA,GGX_NGDP,Botswana,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.636,38.688,38.118,35.76,35.893,32.657,36.86,37.329,33.29,35.357,40.422,42.687,43.945,43.589,39.053,37.89,37.541,40.255,42.992,40.864,39.926,43.707,46.716,44.253,41.042,34.835,33.714,37.532,49.318,53.67,43.882,38.01,37.405,33.425,36.176,37.718,34.12,34.76,35.831,36.976,36.965,34.307,33.495,32.315,31.26,30.375,29.165,2021.0
1471,156,CAN,GGX_NGDP,Canada,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.951,41.832,46.399,46.97,46.759,47.469,46.807,45.428,44.762,45.253,48.09,51.438,52.507,51.477,49.012,47.735,45.864,43.463,43.406,41.773,40.558,41.102,40.394,40.276,39.135,38.521,38.661,38.519,38.775,43.421,43.064,41.575,40.926,39.961,38.37,40.018,40.753,40.455,40.866,40.956,52.827,48.073,43.331,41.903,41.807,41.639,41.433,2020.0
2101,128,DNK,GGX_NGDP,Denmark,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,52.351,55.848,57.161,57.298,55.8,54.893,51.921,53.057,55.136,55.2,54.953,55.377,56.342,59.295,59.293,58.526,57.998,55.907,55.395,54.533,52.687,52.837,53.214,53.639,52.997,51.242,49.83,49.591,50.411,56.536,56.673,56.429,57.955,55.82,55.218,54.528,52.479,50.55,50.548,49.517,53.755,53.565,50.14,50.49,50.063,49.696,49.466,2020.0
2416,642,GNQ,GGX_NGDP,Equatorial Guinea,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,248.537,206.979,221.296,199.411,158.032,115.36,118.986,183.0,227.947,116.797,212.931,284.516,594.77,256.307,509.844,141.501,22.943,14.753,35.087,18.686,22.645,13.476,11.255,13.782,10.764,14.122,18.093,19.689,19.893,39.847,31.179,27.493,35.2,29.274,31.598,41.571,27.818,20.07,19.353,16.721,15.959,17.245,16.574,15.442,15.235,15.085,14.988,2019.0
2551,734,SWZ,GGX_NGDP,Eswatini,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.306,18.875,18.133,16.962,16.953,18.999,18.804,16.751,16.561,15.376,17.706,19.016,24.009,22.292,22.723,19.296,21.844,20.055,21.396,25.034,24.005,24.826,25.716,25.116,30.066,28.141,26.764,29.505,32.45,32.88,30.153,24.404,26.272,27.948,31.476,33.645,34.246,35.077,34.68,34.388,35.05,34.339,32.561,30.197,29.834,29.492,29.236,2020.0
2596,644,ETH,GGX_NGDP,Ethiopia,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.496,14.183,16.407,21.251,18.824,19.698,19.848,18.381,21.57,24.017,20.859,17.321,14.235,13.773,17.625,17.389,18.789,17.94,21.13,26.809,25.598,22.438,24.87,27.041,23.149,22.89,22.067,20.521,18.756,17.113,18.483,18.228,16.648,17.756,17.484,17.326,17.913,17.987,16.099,15.353,14.469,13.836,,,,,,2020.0
2686,172,FIN,GGX_NGDP,Finland,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,43.864,44.542,46.429,48.197,47.519,49.399,50.038,50.976,49.546,46.801,47.087,55.771,60.815,63.587,62.137,59.974,58.429,54.892,51.319,49.914,46.909,46.225,47.442,48.274,48.185,49.185,48.262,46.677,47.875,54.091,53.907,53.658,55.441,56.823,57.277,56.512,55.648,53.634,53.424,53.276,56.989,56.755,54.448,53.601,53.464,53.346,53.162,2020.0
2731,132,FRA,GGX_NGDP,France,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,46.405,48.957,50.237,50.744,51.674,52.312,51.901,51.319,50.644,49.473,50.132,51.272,52.591,55.204,54.625,54.809,54.881,54.531,52.924,52.63,51.652,51.718,52.795,53.271,52.985,53.294,52.876,52.566,53.296,57.152,56.882,56.291,57.107,57.228,57.214,56.798,56.686,56.503,55.645,55.352,61.783,60.656,56.043,54.521,54.229,53.978,53.925,2020.0
2956,652,GHA,GGX_NGDP,Ghana,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,7.774,5.817,4.765,3.635,4.881,6.361,7.817,7.894,7.832,7.805,7.096,7.639,9.968,13.171,13.851,13.93,13.356,12.899,12.722,11.98,12.901,14.775,11.422,12.997,14.729,13.819,15.385,17.988,17.676,17.483,19.881,19.526,21.977,21.564,20.966,18.623,19.891,17.582,20.895,20.661,28.169,28.854,25.427,24.512,24.485,23.361,22.627,2018.0
3001,174,GRC,GGX_NGDP,Greece,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.383,27.929,28.543,30.078,31.779,34.05,33.587,33.846,33.637,34.598,38.291,35.001,36.703,38.414,36.721,46.391,45.466,44.078,45.533,46.547,46.821,46.377,46.186,46.988,48.02,45.949,45.5,47.47,51.278,54.545,52.957,55.12,53.698,52.084,50.698,51.237,50.015,48.429,48.453,47.777,60.692,59.028,52.412,50.852,50.186,49.133,48.318,2020.0
3451,176,ISL,GGX_NGDP,Iceland,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.89,35.271,35.967,37.747,34.633,36.963,39.431,36.455,41.388,42.898,42.544,42.811,44.637,45.055,44.922,44.321,43.624,42.119,40.871,45.393,44.826,47.419,45.457,47.792,46.686,44.999,44.838,44.747,63.386,53.577,48.796,50.536,47.732,45.966,45.827,43.474,46.437,44.409,43.838,43.319,50.513,49.981,47.559,45.052,42.157,40.899,40.813,2020.0
3856,158,JPN,GGX_NGDP,Japan,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.78,31.546,31.762,31.896,31.215,30.398,30.38,30.597,29.814,29.118,29.361,29.224,30.235,32.082,32.821,33.458,33.876,33.143,38.684,35.621,36.02,35.518,35.886,35.574,34.226,34.065,33.558,33.556,34.499,39.091,38.135,38.989,38.959,39.059,38.657,37.56,37.473,36.904,36.991,37.311,45.035,43.539,38.315,36.696,36.63,36.634,36.7,2019.0
