,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
431,193,AUS,LE,Australia,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 09/2021,6.287,6.416,6.418,6.301,6.494,6.701,6.974,7.128,7.391,7.718,7.856,7.666,7.63,7.655,7.897,8.186,8.299,8.363,8.516,8.67,8.899,9.015,9.185,9.392,9.556,9.877,10.123,10.434,10.728,10.804,11.021,11.213,11.35,11.457,11.531,11.759,11.966,12.246,12.578,12.866,12.668,13.023,13.217,,,,,2020.0
476,122,AUT,LE,Austria,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,3.235,3.247,3.209,3.173,3.184,3.201,3.225,3.231,3.26,3.32,3.397,3.477,3.545,3.544,3.562,3.559,3.535,3.545,3.57,3.605,3.635,3.652,3.66,3.695,3.711,3.747,3.826,3.924,3.994,3.982,4.017,4.053,4.085,4.105,4.113,4.148,4.22,4.26,4.288,4.324,4.281,4.308,4.352,,,,,2019.0
791,124,BEL,LE,Belgium,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,3.795,3.736,3.687,3.64,3.637,3.655,3.679,3.707,3.779,3.837,3.879,3.891,3.885,3.86,3.845,3.928,3.939,3.967,4.037,4.092,4.173,4.231,4.243,4.241,4.284,4.346,4.397,4.47,4.549,4.543,4.574,4.634,4.653,4.639,4.658,4.698,4.756,4.83,4.901,4.978,4.977,4.951,4.992,,,,,2019.0
1466,156,CAN,LE,Canada,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 09/2021,10.98,11.304,10.951,11.024,11.302,11.657,12.004,12.332,12.711,12.995,13.084,12.855,12.73,12.797,13.061,13.297,13.419,13.705,14.047,14.408,14.766,14.938,15.284,15.654,15.923,16.128,16.379,16.72,16.952,16.69,16.913,17.175,17.366,17.578,17.67,17.797,17.916,18.285,18.569,18.979,18.005,18.769,19.427,,,,,2020.0
2096,128,DNK,LE,Denmark,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: Eurostat Latest actual data: 2020 Employment type: National definition Primary domestic currency: Danish krone Data last updated: 09/2021,2.495,2.456,2.473,2.414,2.481,2.55,2.639,2.643,2.672,2.633,2.65,2.636,2.623,2.564,2.545,2.598,2.634,2.673,2.681,2.689,2.713,2.741,2.71,2.706,2.733,2.755,2.807,2.795,2.811,2.728,2.664,2.657,2.64,2.636,2.671,2.707,2.756,2.789,2.822,2.88,2.856,2.87,2.885,,,,,2020.0
2681,172,FIN,LE,Finland,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2020 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,2.355,2.384,2.411,2.42,2.435,2.439,2.431,2.445,2.469,2.493,2.477,2.349,2.182,2.049,2.032,2.076,2.104,2.146,2.198,2.271,2.31,2.341,2.346,2.339,2.339,2.375,2.417,2.465,2.503,2.428,2.412,2.439,2.45,2.427,2.418,2.401,2.415,2.438,2.507,2.533,2.494,2.539,2.544,,,,,2020.0
2726,132,FRA,LE,France,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 09/2021,23.183,22.964,22.943,22.822,22.771,22.827,23.012,22.972,23.076,23.471,23.481,23.434,23.486,23.192,23.217,23.533,23.681,23.563,23.839,24.017,24.678,25.172,25.435,25.358,25.429,25.705,25.826,26.32,26.675,26.416,26.477,26.527,26.473,26.555,26.557,26.605,26.82,27.057,27.232,27.375,27.28,27.38,27.43,,,,,2020.0
2906,134,DEU,LE,Germany,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,34.528,34.491,34.08,33.595,33.649,33.899,34.369,34.617,34.887,35.395,36.446,37.078,36.564,36.172,35.905,35.762,35.523,35.302,35.551,35.932,36.065,36.186,35.873,35.506,35.428,35.673,36.378,37.172,37.644,37.487,37.756,38.653,39.039,39.406,39.766,40.076,41.065,41.486,41.76,42.192,41.742,41.411,41.919,,,,,2020.0
2996,174,GRC,LE,Greece,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2020 Notes: The historical data source for unit labor costs in manufacturing is Eurostat. Employment type: National definition Primary domestic currency: Euro Data last updated: 09/2021",3.88,3.825,3.757,3.705,3.698,3.735,3.748,3.744,3.806,3.821,3.871,3.78,3.835,3.872,3.944,4.062,4.114,3.788,4.018,4.031,4.088,4.202,4.265,4.353,4.39,4.444,4.528,4.564,4.611,4.556,4.39,4.054,3.695,3.513,3.536,3.611,3.674,3.753,3.828,3.911,3.875,3.899,3.961,,,,,2020.0
3356,532,HKG,LE,Hong Kong SAR,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 Employment type: National definition Primary domestic currency: Hong Kong dollar Data last updated: 09/2021,2.4,2.393,2.407,2.427,2.505,2.543,2.624,2.681,2.725,2.723,2.712,2.754,2.738,2.8,2.873,2.905,3.073,3.164,3.122,3.112,3.207,3.253,3.218,3.191,3.274,3.337,3.401,3.477,3.509,3.468,3.474,3.576,3.658,3.724,3.744,3.774,3.787,3.823,3.867,3.85,3.662,3.692,3.755,,,,,2020.0
