,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
70,914,ALB,LUR,Albania,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 08/2021,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15.0,14.4,14.1,13.8,13.4,13.1,13.8,14.0,14.0,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,12.0,12.5,12.5,12.0,11.0,10.0,2020.0
115,612,DZA,LUR,Algeria,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 09/2021,15.789,15.385,15.0,14.286,16.536,16.901,18.356,20.056,21.801,18.1,19.757,20.263,21.368,23.152,24.362,28.105,27.986,27.961,28.021,29.293,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,13.956,14.071,14.733,15.541,16.758,18.289,19.836,2019.0
295,213,ARG,LUR,Argentina,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,"Source: National Statistics Office. Since 1972 to 2002, the data are compiled two times a year for each district, in May and October.Since 2003 to the present, the survey is developed throughout all weeks of the year each of the 31 urban groups. The elaborated data base gathers quarterly information, that is to say 4 yearly estimations are issued; January-February-March /April-May-June / July-August-September / October-November-December.The data relate to the employment status of respondents during the reference week, which is the previous week before the date of the appointment. Latest actual data: 2020 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 09/2021",3.0,5.0,4.5,5.0,5.0,6.25,6.3,6.0,6.5,8.0,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,11.55,9.985,9.21,9.197,9.15,9.145,9.145,2020.0
430,193,AUS,LUR,Australia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 09/2021,6.133,5.783,7.183,9.967,8.967,8.258,8.117,8.108,7.208,6.133,6.942,9.617,10.742,10.883,9.717,8.483,8.525,8.367,7.692,6.867,6.292,6.775,6.367,5.942,5.392,5.042,4.792,4.375,4.258,5.575,5.208,5.083,5.233,5.658,6.058,6.058,5.717,5.592,5.3,5.158,6.492,5.227,4.808,4.683,4.74,4.679,4.71,2020.0
475,122,AUT,LUR,Austria,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,4.242,4.717,4.758,4.708,4.142,3.883,4.008,4.392,4.792,5.875,6.025,5.6,5.217,4.442,5.683,5.192,4.875,5.25,5.35,6.033,6.167,6.467,5.925,5.208,4.825,5.4,6.4,6.0,5.5,5.3,5.2,5.0,2019.0
790,124,BEL,LUR,Belgium,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,8.3,10.0,11.5,10.742,10.825,10.117,10.05,9.808,8.833,7.367,6.558,6.45,7.092,8.625,9.75,9.683,9.55,9.217,9.342,8.425,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.908,8.317,7.15,7.558,8.45,8.542,8.508,7.842,7.108,5.983,5.375,5.55,6.31,6.14,5.883,5.769,5.705,5.651,2019.0
1330,624,CPV,LUR,Cabo Verde,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2021,21.5,21.861,22.229,22.603,22.982,23.369,23.762,24.161,24.567,24.98,25.4,25.827,26.0,26.0,26.0,26.0,25.0,25.0,24.0,22.0,20.0,21.0,20.5,20.0,19.5,21.4,13.5,15.2,13.0,13.0,10.7,12.2,16.8,16.4,15.8,12.4,15.0,12.2,12.2,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,2018.0
1465,156,CAN,LUR,Canada,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 09/2021,7.517,7.617,11.1,12.0,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.667,7.583,7.15,6.767,6.325,6.075,6.2,8.375,8.075,7.55,7.375,7.133,6.967,6.942,7.05,6.383,5.908,5.733,9.6,7.723,5.668,4.925,4.966,5.028,5.02,2020.0
1600,228,CHL,LUR,Chile,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: Harmonized OECD definition Primary domestic currency: Chilean peso Data last updated: 09/2021,11.502,10.291,19.814,20.999,17.515,14.975,12.299,10.984,9.875,7.98,7.75,8.217,6.7,6.5,7.808,7.375,6.5,6.108,6.217,10.008,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223,10.77,9.052,7.365,6.798,6.746,6.858,6.951,2020.0
1645,924,CHN,LUR,China,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 Notes: Reported total employment data has a definitional change from 1990 onwards Employment type: National definition Primary domestic currency: Chinese yuan Data last updated: 09/2021,4.9,3.8,3.2,2.3,1.9,1.8,2.0,2.0,2.0,2.6,2.5,2.3,2.3,2.6,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.6,4.0,4.3,4.2,4.2,4.1,4.0,4.2,4.3,4.14,4.09,4.09,4.05,4.09,4.05,4.02,3.9,3.8,3.62,4.24,3.8,3.7,3.6,3.6,3.6,3.6,2020.0
1690,233,COL,LUR,Colombia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Colombian peso Data last updated: 09/2021,5.429,6.561,7.1,8.694,8.986,8.742,7.654,7.361,6.451,6.792,6.637,6.377,5.935,5.038,4.914,5.649,7.8,7.9,9.7,13.1,13.325,14.975,15.583,14.108,13.667,11.808,12.042,11.192,11.25,12.017,11.775,10.808,10.375,9.65,9.1,8.925,9.225,9.375,9.692,10.5,16.067,14.545,13.778,13.127,12.445,11.756,11.056,2020.0
1870,238,CRI,LUR,Costa Rica,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Costa Rican colÛn Data last updated: 09/2021,5.921,8.766,9.405,9.231,5.361,6.846,6.229,5.577,5.461,3.774,4.642,5.5,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6.022,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,9.293,11.951,12.417,19.98,16.3,14.0,12.0,10.5,9.5,9.0,2020.0
