,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
416,193,AUS,NGAP_NPGDP,Australia,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.899,0.564,-1.753,-4.81,-2.656,-1.355,-1.925,-1.064,-0.865,1.684,0.623,-2.837,-3.099,-2.263,-0.709,-1.152,-0.717,-0.033,0.801,1.428,0.826,-0.143,0.365,-0.256,0.451,0.276,-0.14,0.994,0.656,-0.428,-0.887,-0.947,-0.155,-0.779,-0.922,-1.166,-0.868,-0.758,-0.358,-0.742,-4.288,-2.258,0.03,,,,,2020.0
461,122,AUT,NGAP_NPGDP,Austria,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",0.784,-1.58,-1.476,-0.504,-2.323,-2.09,-1.457,0.201,-1.366,-0.222,1.358,2.183,1.545,-0.569,-0.786,-0.732,-0.677,-0.386,0.616,1.104,1.687,0.767,0.275,-1.203,-0.76,-0.524,0.933,2.61,2.73,-1.298,-0.675,1.087,0.687,-0.343,-0.963,-0.926,-0.499,0.339,1.281,1.003,-1.297,-1.505,-0.462,,,,,2019.0
776,124,BEL,NGAP_NPGDP,Belgium,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.318,-2.153,-3.149,-4.465,-3.896,-4.125,-4.325,-4.176,-2.024,-1.024,-0.356,-0.838,-1.514,-4.413,-3.561,-0.884,-1.693,-0.369,-0.734,0.343,1.595,0.441,-0.131,-1.276,-0.129,-0.039,0.397,2.102,1.104,-2.067,-0.654,-0.316,-0.931,-1.827,-1.714,-1.193,-1.317,-1.058,-0.484,0.14,-3.548,-1.596,-0.286,,,,,2020.0
1451,156,CAN,NGAP_NPGDP,Canada,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",1.102,2.144,-3.538,-3.569,-0.846,0.527,-0.532,0.606,2.5,2.899,1.258,-1.507,-2.227,-1.768,0.302,0.2,-1.354,-0.634,-0.468,0.865,2.3,0.657,0.489,-0.566,-0.058,0.863,1.514,1.852,1.285,-3.211,-1.754,-0.354,-0.407,0.041,1.018,-0.147,-0.949,0.374,0.553,0.358,-3.354,-1.043,0.844,0.801,0.258,0.046,0.008,2020.0
1991,423,CYP,NGAP_NPGDP,Cyprus,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",2.714,-0.425,-0.354,-1.187,1.252,-0.117,-2.606,-1.904,-0.148,1.59,3.043,-1.608,2.189,-2.082,-1.268,3.474,-0.63,-3.031,-1.987,-1.798,-0.516,-0.925,-1.319,-2.499,-1.118,0.473,2.373,5.177,7.093,3.576,4.706,4.473,0.382,-6.699,-9.116,-7.248,-2.755,0.409,3.515,4.358,-2.284,-1.125,-0.515,,,,,2020.0
2081,128,DNK,NGAP_NPGDP,Denmark,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",0.414,-2.743,-1.76,-1.793,-0.302,1.14,3.687,1.916,0.125,-0.885,-1.135,-1.531,-1.527,-3.577,-0.889,-0.433,-0.123,0.51,0.24,0.831,2.368,1.213,-0.107,-1.321,-0.188,0.784,3.541,3.575,2.371,-3.11,-1.839,-1.236,-1.892,-2.078,-1.821,-1.056,0.456,1.427,1.567,1.804,-1.918,-0.322,0.314,,,,,2020.0
2666,172,FIN,NGAP_NPGDP,Finland,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",2.24,-0.073,-0.562,-0.618,-0.516,-0.401,-0.319,2.376,5.468,7.675,5.116,-1.679,-5.2,-6.628,-4.225,-2.894,-2.258,0.832,2.041,1.637,3.026,1.943,0.62,0.229,1.881,1.822,3.42,6.433,5.325,-3.072,-0.068,1.79,-0.167,-1.954,-3.023,-3.763,-2.435,-0.886,-1.043,-1.037,-4.312,-2.316,-0.257,,,,,2020.0
2711,132,FRA,NGAP_NPGDP,France,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",0.835,0.023,0.358,-0.359,-0.772,-1.303,-1.607,-1.616,0.065,1.728,2.241,1.0,0.454,-1.884,-1.555,-1.372,-2.068,-2.054,-0.94,-0.153,1.453,1.261,0.376,-0.665,-0.015,-0.037,0.953,1.99,1.066,-2.524,-1.763,-0.728,-1.452,-1.975,-2.192,-2.393,-2.621,-1.528,-0.783,0.0,-4.324,-2.242,-0.203,0.02,0.035,0.015,0.0,2020.0
2891,134,DEU,NGAP_NPGDP,Germany,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",2.484,0.649,-2.067,-2.556,-1.969,-2.144,-2.263,-3.422,-2.536,-1.513,1.297,2.603,2.575,-0.633,-0.294,-0.68,-1.258,-0.945,-0.512,-0.066,1.305,1.571,0.354,-1.39,-1.306,-1.804,0.418,2.354,2.473,-3.845,-0.978,1.357,0.266,-0.813,-0.34,-0.343,0.148,0.998,0.82,0.386,-2.604,-2.013,-0.277,-0.207,-0.001,-0.001,-0.001,2020.0
2981,174,GRC,NGAP_NPGDP,Greece,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",2.044,-0.295,-2.018,-3.441,-1.976,0.608,1.257,-1.144,2.051,4.692,3.231,4.363,3.698,0.878,1.094,1.002,1.018,2.216,2.752,2.142,1.942,1.827,1.569,2.492,3.524,1.638,4.596,5.696,4.147,-0.408,-4.865,-12.163,-15.779,-15.644,-13.06,-11.962,-10.71,-8.418,-5.929,-3.67,-10.801,-5.585,-2.046,,,,,2020.0
