,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
47,914,ALB,NGDP,Albania,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 08/2021",18.489,19.126,19.698,19.9,19.645,20.065,20.692,20.531,20.238,22.228,20.006,19.519,63.341,149.142,223.571,267.424,334.359,331.324,384.848,443.594,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.3,1434.31,1472.48,1550.65,1635.72,1679.25,1607.98,1719.11,1824.66,1931.78,2039.33,2150.51,2267.58,2020.0
92,612,DZA,NGDP,Algeria,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2021",162.5,191.5,207.6,233.7,263.9,291.6,296.6,312.7,347.7,422.043,554.4,862.132,1074.7,1189.72,1487.4,2004.99,2570.0,2780.2,2830.49,3248.2,4123.5,4227.1,4522.8,5252.3,6149.1,7562.0,8501.64,9352.89,11043.7,9968.03,11991.56,14589.0,16209.6,16647.9,17228.6,16712.69,17514.6,18876.2,20452.3,20428.3,18723.5,22291.12,24559.38,26387.55,27974.85,29491.13,31123.95,2019.0
227,311,ATG,NGDP,Antigua and Barbuda,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.355,0.399,0.444,0.492,0.563,0.65,0.784,0.91,1.076,1.185,1.241,1.301,1.348,1.445,1.591,1.559,1.711,1.838,1.965,2.069,2.231,2.161,2.199,2.312,2.483,2.762,3.126,3.544,3.699,3.316,3.101,3.072,3.24,3.19,3.374,3.609,3.879,3.964,4.334,4.554,3.699,3.794,4.143,4.461,4.75,5.008,5.246,2019.0
407,193,AUS,NGDP,Australia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",142.717,163.634,183.517,198.531,223.718,248.383,270.016,303.502,345.105,388.38,414.002,415.601,431.778,453.773,481.866,509.962,540.969,571.911,604.727,636.976,685.406,727.786,780.366,827.742,891.602,961.0,1037.09,1130.38,1234.13,1262.38,1361.45,1466.45,1515.07,1567.93,1614.48,1640.74,1702.13,1806.53,1899.64,2002.13,1968.9,2134.73,2244.29,2348.77,2460.35,2580.28,2706.18,2020.0
452,122,AUT,NGDP,Austria,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",75.98,80.885,86.824,92.523,97.131,102.372,107.602,111.721,119.625,127.959,137.525,147.439,155.762,160.9,168.925,176.578,182.541,188.724,196.347,203.851,213.606,220.525,226.735,231.863,242.348,254.075,267.824,283.978,293.762,288.044,295.897,310.129,318.653,323.91,333.146,344.269,357.608,369.341,385.362,397.575,378.981,402.907,430.899,445.457,463.577,489.852,514.066,2019.0
542,313,BHS,NGDP,The Bahamas,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2021,2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.495,11.143,11.891,11.993,12.36,12.838,13.164,9.908,10.681,12.039,12.884,13.688,14.282,14.843,2019.0
587,419,BHR,NGDP,Bahrain,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2021,1.354,1.525,1.603,1.642,1.705,1.609,1.259,1.363,1.685,1.758,1.867,1.958,2.046,2.251,2.411,2.552,2.653,2.752,2.63,2.851,3.408,3.455,3.607,4.164,4.944,6.004,6.958,8.17,9.667,8.625,9.668,10.82,11.562,12.235,12.554,11.675,12.12,13.338,14.157,14.464,13.058,14.703,15.437,16.118,16.884,17.714,18.59,2020.0
632,513,BGD,NGDP,Bangladesh,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2005/06. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2021,349.757,373.749,419.699,473.728,568.262,651.98,734.062,844.307,928.096,1033.29,1164.04,1282.26,1386.96,1454.57,1571.08,1769.55,1929.73,2096.54,2322.49,2548.98,2750.72,2941.7,3169.74,3487.4,3863.23,4301.03,4823.37,5498.0,6286.82,7050.72,7975.39,9158.29,10552.04,11989.23,13436.74,15158.02,17328.64,19758.15,22504.81,25424.84,27393.32,30164.64,33915.37,38483.8,43584.95,49314.92,55746.19,2020.0
677,316,BRB,NGDP,Barbados,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2021",2.036,2.241,2.341,2.486,2.709,2.835,3.113,3.428,3.646,4.035,4.047,4.064,3.914,4.15,4.327,4.459,4.754,5.025,5.666,5.937,6.119,6.109,6.213,6.419,6.889,7.639,8.435,9.348,9.57,8.931,9.06,9.315,9.22,9.354,9.393,9.43,9.66,9.956,10.173,10.596,8.836,9.297,10.284,10.993,11.538,12.022,12.524,2019.0
767,124,BEL,NGDP,Belgium,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2021",89.375,93.706,101.399,107.425,116.061,123.436,129.202,134.409,143.81,155.938,165.353,173.228,181.903,187.346,197.442,210.489,214.288,224.101,232.624,242.306,256.376,264.335,273.255,281.201,296.82,310.037,325.151,343.619,351.742,346.473,363.14,375.968,386.175,392.88,403.004,416.702,430.085,445.05,460.37,476.343,451.177,487.169,512.73,531.224,548.342,565.303,583.035,2020.0
