,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
54,914,ALB,NGDPDPC,Albania,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.97,717.381,818.32,1032.26,1127.64,1283.57,1425.13,1846.12,2373.58,2673.77,2972.75,3595.05,4370.56,4114.09,4097.83,4439.89,4248.91,4415.6,4584.92,3953.61,4124.41,4525.89,5254.46,5305.07,5152.56,5837.18,6284.03,6622.85,7027.58,7445.97,7880.29,2020.0
99,612,DZA,NGDPDPC,Algeria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2268.61,2305.51,2254.33,2316.68,2432.72,2753.7,2698.92,2705.11,2143.74,2127.87,2473.51,1819.98,1873.42,1894.95,1542.97,1499.14,1643.27,1658.73,1633.09,1630.07,1794.7,1768.58,1806.86,2128.39,2636.48,3141.03,3508.96,3986.56,4943.5,3890.52,4480.72,5447.6,5575.65,5477.06,5466.33,4153.32,3918.94,4079.65,4118.74,3939.54,3337.32,3638.33,3672.46,3696.74,3673.8,3632.98,3596.42,2019.0
189,614,AGO,NGDPDPC,Angola,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.04,1862.42,2561.86,3099.09,4081.69,3146.8,3641.44,4716.25,5245.02,5436.52,5625.74,4354.92,3676.83,4300.1,3465.06,2805.26,1881.2,2200.68,2276.75,2338.75,2422.66,2526.5,2602.68,2017.0
234,311,ATG,NGDPDPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1920.25,2177.09,2448.59,2752.97,3200.99,3763.97,4617.61,5455.26,6547.26,7273.25,7623.43,7927.59,8084.43,8474.04,9097.24,8675.24,9266.47,9678.32,10074.75,10349.52,10931.31,10411.42,10478.95,10902.08,11583.24,12745.81,14270.11,16009.2,16529.95,14661.52,13564.68,13295.36,13811.08,13392.22,13951.99,14696.89,15556.01,15655.23,16860.96,17451.55,13967.33,14117.84,15196.34,16137.47,16950.96,17633.72,18228.01,2011.0
279,213,ARG,NGDPDPC,Argentina,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8361.21,6671.43,3257.85,3962.74,4374.78,3248.75,3857.03,3909.98,4524.5,2867.31,4857.8,6429.45,7653.71,7796.24,8378.74,8295.12,8645.46,9196.52,9283.18,8709.07,8638.54,8085.36,2997.62,3761.09,4314.1,5163.55,5976.08,7315.73,9146.79,8337.81,10412.97,12787.81,13889.79,14488.83,13208.83,14895.32,12772.87,14618.33,11786.43,10054.02,8571.94,9929.15,10448.39,10189.26,10337.88,10723.0,11129.62,2019.0
414,193,AUS,NGDPDPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10987.05,12505.14,12212.05,11570.45,12551.72,10947.21,11224.32,12974.46,16215.8,18168.82,18835.27,18630.75,18082.41,17425.03,19703.54,20868.82,23106.51,22989.52,20347.56,21727.09,20850.53,19431.83,21648.34,27213.27,32761.41,36139.69,37876.24,45102.98,49149.23,45684.73,56459.92,67208.49,68445.12,65174.72,61648.08,51484.64,51915.24,55915.0,56460.9,54476.91,52905.4,62618.59,64895.02,67842.29,70479.93,73061.7,75670.28,2020.0
459,122,AUT,NGDPDPC,Austria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10731.96,9280.73,9267.66,9417.24,8882.63,9090.8,12886.1,16093.01,17632.82,17547.81,21827.44,22621.88,25068.4,24152.66,25725.56,30350.53,29820.6,26737.48,27399.09,27210.47,24636.47,24558.92,26508.32,32298.61,36883.89,38450.61,40674.88,46922.56,51914.01,48111.66,46955.17,51452.28,48616.9,50747.38,51814.42,44267.81,45278.83,47317.91,51246.15,50246.61,48592.71,53793.37,57878.72,60403.54,63314.96,67294.42,70818.95,2019.0
549,313,BHS,NGDPDPC,The Bahamas,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12289.31,12493.75,13746.78,14958.65,15627.02,16797.76,17850.61,19326.11,19683.61,21814.31,20456.26,19767.72,19417.22,18979.01,19660.92,20271.25,20974.54,21951.76,23300.8,25780.48,26669.44,27060.51,28477.06,28043.46,28239.07,30269.03,30908.21,31894.39,31248.6,29296.49,29303.26,28906.97,30433.05,29462.76,30937.32,32648.64,32565.04,33191.21,34094.37,34575.62,25734.16,27437.2,30584.62,32368.22,34008.96,35092.86,36069.75,2018.0
594,419,BHR,NGDPDPC,Bahrain,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10189.61,11061.39,11221.7,11117.66,11163.44,10182.37,7695.81,8049.36,9602.79,9668.04,10179.63,10252.37,10536.82,11290.27,11777.07,12143.09,12298.65,12422.12,11565.97,12210.22,14214.58,13894.34,13501.55,14486.06,15963.98,17966.22,19267.57,20908.34,23236.06,19465.29,20827.72,24080.43,25434.45,25965.31,25398.32,22659.37,22641.28,23631.59,25049.64,25925.28,23589.96,26293.95,27052.97,27678.48,28412.12,29209.05,30038.18,2020.0
639,513,BGD,NGDPDPC,Bangladesh,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",283.284,273.372,249.371,235.351,257.242,269.294,269.762,287.665,301.593,320.657,337.603,341.254,340.031,335.752,349.359,381.778,399.703,407.248,416.99,424.225,425.728,418.961,420.891,445.932,479.362,499.591,509.61,558.087,634.979,702.264,781.154,861.541,882.763,982.072,1118.86,1248.89,1401.51,1563.81,1693.77,1854.67,1961.61,2138.79,2326.63,2534.45,2754.41,2994.46,3253.5,2020.0
684,316,BRB,NGDPDPC,Barbados,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4036.51,4427.06,4611.69,4882.79,5308.31,5539.56,6062.78,6653.72,7052.01,7776.71,7772.17,7777.87,7464.87,7886.78,8194.38,8414.12,8938.57,9412.37,10573.11,11039.1,11337.03,11284.37,11442.56,11788.65,12612.21,13939.67,15334.01,16925.61,17254.23,16036.4,16203.26,16599.01,16371.95,16556.1,16572.31,16589.45,16947.63,17423.25,17758.08,18448.83,15346.28,16105.13,17769.73,18947.06,19836.29,20615.87,21422.72,2019.0
774,124,BEL,NGDPDPC,Belgium,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12529.35,10366.11,9128.58,8626.16,8244.85,8568.65,11873.81,14740.46,16008.64,16098.16,20119.94,20563.73,22823.03,21723.62,23624.47,28458.47,27535.29,24878.75,25399.22,25309.06,23136.51,23067.16,25044.33,30707.67,35497.55,36945.5,38841.79,44496.79,48493.14,44892.23,44448.17,47564.38,44824.16,46848.61,47897.04,41147.26,42076.4,44274.07,47718.41,46555.09,44688.46,50412.71,53452.46,55938.77,58206.32,60422.1,62570.41,2020.0
819,339,BLZ,NGDPDPC,Belize,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1148.32,1193.87,1171.02,1200.89,1304.51,1258.9,1332.85,1518.91,1759.54,1977.23,2180.35,2292.38,2604.22,2731.02,2752.91,2864.39,2889.12,2844.85,2888.86,3014.68,3331.42,3404.52,3550.92,3643.32,3802.23,3887.73,4159.15,4255.8,4404.5,4124.22,4270.94,4398.88,4468.7,4516.11,4645.69,4674.6,4734.01,4791.52,4813.21,4853.32,4076.77,4457.89,4721.64,4853.85,4950.93,5049.95,5150.95,2020.0
864,638,BEN,NGDPDPC,Benin,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",633.149,413.923,397.573,340.867,352.496,370.342,462.435,535.192,544.339,491.148,580.415,573.657,615.86,579.434,389.725,506.864,533.491,497.342,519.56,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,1125.3,1087.58,1037.38,1130.07,1145.87,1251.23,1291.74,1076.91,1086.99,1136.19,1240.84,1218.28,1290.5,1446.83,1551.42,1654.79,1766.17,1883.33,2001.48,2017.0
909,514,BTN,NGDPDPC,Bhutan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.21,1215.29,1293.19,1563.08,1936.11,1797.42,2097.66,2511.6,2592.37,2609.65,2546.91,2693.63,2803.64,3234.75,3280.72,3371.02,3358.96,3296.11,3605.55,3910.25,4298.46,4626.95,4965.99,2015.0
954,218,BOL,NGDPDPC,Bolivia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.1,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.18,1226.85,1383.89,1729.37,1769.44,1972.68,2368.52,2635.93,2938.42,3114.97,3069.32,3110.87,3388.52,3588.09,3591.4,3167.61,3266.69,3419.33,3616.43,3827.39,4047.44,4267.99,2017.0
1044,616,BWA,NGDPDPC,Botswana,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1235.79,1071.13,1089.76,1161.23,1112.15,998.497,1305.78,1973.51,2471.83,2663.03,2834.69,2755.11,2766.06,2709.97,2839.75,3075.19,3097.82,3117.96,2928.59,3270.46,3401.88,3172.04,3083.47,4187.36,4892.27,5361.37,5339.07,5619.89,5545.42,5065.33,6202.47,7357.59,7609.17,6966.08,7499.16,6413.79,6988.16,7286.77,7513.63,7219.46,6420.23,7349.88,7770.51,8257.27,8718.33,9144.08,9823.11,2019.0
1089,223,BRA,NGDPDPC,Brazil,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1229.88,1382.55,1446.23,1134.93,1105.85,1719.52,1955.07,2087.45,2289.42,3087.93,3106.12,2677.84,2523.74,2787.16,3495.24,4851.99,5204.57,5321.14,5123.55,3501.44,3772.05,3177.94,2856.03,3089.14,3660.02,4819.87,5921.18,7390.65,8878.36,8649.58,11333.02,13295.9,12424.95,12358.34,12175.68,8846.48,8757.31,9978.09,9194.15,8935.76,6822.56,7741.15,8464.33,9102.21,9800.05,10371.9,10922.3,2019.0
1179,918,BGR,NGDPDPC,Bulgaria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3673.24,3950.23,4108.12,4211.11,4465.39,3820.54,3382.44,3926.06,6433.12,6580.67,2919.83,288.506,1183.16,649.649,1155.8,1958.07,1494.79,1386.47,1854.47,1689.29,1625.32,1797.39,2090.68,2710.58,3370.38,3869.59,4477.03,5811.85,7156.18,6878.06,6713.33,7832.19,7417.27,7675.91,7900.7,7079.78,7575.77,8381.99,9470.58,9863.02,10006.35,11331.87,12336.97,13414.42,14509.32,15599.36,16672.04,2020.0
1224,748,BFA,NGDPDPC,Burkina Faso,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.095,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.125,643.334,623.497,648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,831.013,926.2,988.297,1049.97,1112.79,1177.04,1241.64,2018.0
