,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
53,914,ALB,NGDPPC,Albania,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6919.41,7016.15,7074.57,6997.24,6763.89,6767.92,6845.79,6657.96,6440.37,6886.27,6087.18,5975.01,19507.21,46212.78,69701.86,83890.18,105541.55,105239.73,123012.54,142690.68,162251.41,184123.19,200095.8,222968.14,243696.87,267031.94,291636.22,325091.66,366664.68,390752.87,425552.92,447689.08,459526.46,466324.39,482953.89,497901.38,511970.55,537640.48,567417.75,582887.09,558752.52,598379.5,636573.89,675820.17,715638.69,757095.26,801022.99,2020.0
98,612,DZA,NGDPPC,Algeria,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8705.67,9950.12,10451.07,11391.11,12462.81,13135.14,13008.77,13363.25,14427.39,17086.76,22156.5,33620.56,40908.04,44237.53,54095.14,71453.67,89967.09,95720.43,95926.08,108399.72,135170.13,136560.7,143974.02,164726.36,189986.41,230162.84,254913.97,276238.6,319265.23,282636.54,333302.68,397336.38,432313.64,434705.07,440471.44,418203.99,428900.97,452438.82,480349.01,470438.01,423349.99,495094.11,536242.8,566828.22,591609.66,614424.05,638796.73,2019.0
233,311,ATG,NGDPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5184.67,5878.14,6611.18,7433.01,8642.66,10162.73,12467.55,14729.21,17677.6,19637.77,20583.27,21404.49,21827.95,22879.9,24562.56,23423.14,25019.48,26131.47,27201.82,27943.7,29514.54,28110.84,28293.16,29435.62,31274.75,34413.68,38529.31,43224.85,44630.85,39586.09,36624.63,35897.48,37289.92,36159.0,37670.37,39681.61,42001.23,42269.11,45524.58,47119.2,37711.78,38118.18,41030.11,43571.16,45767.6,47611.04,49215.63,2011.0
413,193,AUS,NGDPPC,Australia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9641.88,10880.54,12003.27,12822.14,14270.23,15621.04,16730.89,18512.28,20680.97,22931.24,24112.27,23914.0,24592.74,25609.27,26929.77,28144.2,29512.64,30897.4,32328.63,33668.21,35808.2,37540.94,39803.54,41747.9,44477.79,47313.0,50277.04,53786.19,57466.69,57733.5,61402.91,65111.1,66079.49,67299.6,68293.33,68407.91,69788.97,72922.48,75468.32,78336.24,76627.57,82998.54,86824.31,89921.74,92984.99,96313.42,99815.14,2020.0
458,122,AUT,NGDPPC,Austria,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10076.42,10705.33,11476.97,12266.4,12875.97,13561.52,14239.51,14764.84,15789.32,16849.34,17989.32,19120.81,19972.34,20412.3,21305.53,22215.88,22935.1,23685.09,24614.74,25505.8,26662.25,27420.66,28053.94,28560.67,29665.22,30889.53,32393.09,34234.06,35301.38,34531.52,35389.81,36970.54,37816.44,38209.44,38992.13,39894.38,40917.16,41900.86,43374.17,44879.15,42577.31,45040.12,47929.67,49302.44,51052.67,53677.96,56051.09,2019.0
548,313,BHS,NGDPPC,The Bahamas,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12289.31,12493.75,13746.78,14958.65,15627.02,16797.76,17850.61,19326.11,19683.61,21814.31,20456.26,19767.72,19417.22,18979.01,19660.92,20271.25,20974.54,21951.76,23300.8,25780.48,26669.44,27060.51,28477.06,28043.46,28239.07,30269.03,30908.21,31894.39,31248.6,29296.49,29303.26,28906.97,30433.05,29462.76,30937.32,32648.64,32565.04,33191.21,34094.37,34575.62,25734.16,27437.2,30584.62,32368.22,34008.96,35092.86,36069.75,2018.0
593,419,BHR,NGDPPC,Bahrain,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3841.49,4159.08,4219.36,4180.24,4197.45,3828.57,2893.62,3026.56,3610.65,3635.18,3827.54,3854.89,3961.85,4245.14,4428.18,4565.8,4624.29,4670.72,4348.81,4591.04,5344.68,5224.27,5076.58,5446.76,6002.46,6755.3,7244.61,7861.54,8736.76,7318.95,7831.22,9054.24,9563.35,9762.96,9549.77,8519.93,8513.12,8885.48,9418.67,9747.9,8869.82,9886.52,10171.92,10407.11,10682.96,10982.6,11294.36,2020.0
638,513,BGD,NGDPPC,Bangladesh,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4391.75,4570.88,5000.46,5499.35,6427.1,7183.23,7877.25,8825.09,9452.39,10261.55,11282.5,12142.67,12844.14,13181.3,13935.75,15364.65,16402.29,17447.8,18930.88,20360.92,21547.6,22613.05,23926.52,25872.51,28201.54,30934.73,34227.42,38539.07,43566.47,48317.48,54042.78,61352.29,69877.45,78481.7,86957.87,97007.44,109695.16,123743.22,139473.0,155936.45,166333.27,181383.06,202014.66,227134.48,254976.01,286050.95,320723.68,2020.0
683,316,BRB,NGDPPC,Barbados,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8073.02,8854.11,9223.39,9765.58,10616.63,11079.12,12125.57,13307.44,14104.01,15553.43,15544.35,15555.73,14929.73,15773.56,16388.76,16828.23,17877.13,18824.73,21146.22,22078.19,22674.06,22568.74,22885.12,23577.31,25224.41,27879.34,30668.02,33851.22,34508.46,32072.81,32406.51,33198.03,32743.9,33112.21,33144.62,33178.9,33895.26,34846.5,35516.17,36897.65,30692.57,32210.26,35539.46,37894.13,39672.58,41231.74,42845.45,2019.0
773,124,BEL,NGDPPC,Belgium,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9068.88,9500.36,10289.54,10897.18,11779.19,12521.8,13105.08,13625.18,14562.02,15707.51,16622.06,17345.44,18150.38,18607.51,19547.51,20777.6,21126.59,22035.01,22823.59,23723.51,25038.96,25755.08,26504.59,27153.85,28550.21,29680.39,30933.23,32464.25,32975.2,32220.82,33500.29,34176.93,34866.28,35273.92,36044.16,37082.13,38023.21,39205.49,40388.33,41581.97,39156.38,42209.57,44264.27,45658.22,46933.42,48196.19,49522.62,2020.0
