,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
51,914,ALB,NGDPRPC,Albania,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",116584.54,120786.15,121689.95,120446.72,120297.85,116082.04,120235.6,116915.4,113124.0,120916.02,106884.08,77421.84,72284.5,79708.68,87738.26,96138.99,105541.55,94601.8,103604.5,117702.98,126683.82,138483.63,145200.81,153802.8,162964.38,172852.94,184214.3,196717.32,213100.25,221737.48,231101.54,237622.4,241389.08,244254.9,249104.36,255373.98,264261.32,273541.79,284820.03,291195.14,281857.57,297298.71,311387.74,325057.33,338120.78,351039.45,364485.66,2020.0
96,612,DZA,NGDPRPC,Algeria,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",139096.11,138951.43,143244.66,146181.71,149563.72,150647.03,146389.28,141637.26,134910.37,137951.59,137265.75,132334.26,131237.59,125502.13,121649.58,123791.08,126219.06,125503.01,129838.41,131945.22,134530.28,136560.7,142096.44,150077.23,154204.31,160871.84,161148.9,164089.77,164403.3,163879.39,166454.45,167834.26,169939.75,171039.61,173830.74,176432.86,178186.2,176848.14,175368.05,173327.08,161841.28,164397.78,164763.22,164859.99,163626.02,161394.69,159203.1,2019.0
186,614,AGO,NGDPRPC,Angola,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23641.9,22006.88,21439.69,21770.21,22482.05,20649.51,20658.11,20965.74,21663.93,21094.4,19837.09,21586.52,23347.53,25153.95,26988.15,28917.56,31221.9,32517.54,33051.45,32788.8,32806.18,33190.3,36627.17,36623.54,39451.4,44058.75,47715.06,52815.54,57002.85,55817.72,56825.27,57085.66,60157.28,61298.87,62383.57,61131.26,57774.09,55911.65,53132.45,51308.7,47131.58,45459.22,45178.55,45322.22,45611.23,45971.0,46263.07,2017.0
231,311,ATG,NGDPRPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",13897.92,14542.11,14698.33,15712.88,17593.63,19260.9,21853.15,23712.65,25326.31,26902.13,27739.64,28113.62,27981.12,28807.27,29953.8,27893.89,28933.82,29677.34,30254.45,30619.29,31845.59,29887.63,29872.51,31349.33,32803.31,34554.35,38529.31,41669.12,41218.52,35900.2,32732.23,31759.56,32333.45,31652.67,32357.02,33085.79,34376.51,34920.55,36782.2,37954.37,29905.5,29757.12,31394.37,32686.39,33661.45,34330.36,34790.7,2011.0
276,213,ARG,NGDPRPC,Argentina,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",12786.71,11840.46,11277.39,11534.94,11568.52,10583.48,11195.87,11349.75,10993.31,10097.88,9757.62,10638.09,11575.75,12118.96,12662.81,12151.83,12671.67,13542.17,13906.94,13290.99,13048.0,12347.75,10897.11,11761.97,12690.7,13682.99,14640.5,15802.84,16282.96,15170.84,16439.06,17226.27,16856.72,17070.07,16459.21,16727.44,16207.2,16492.07,15906.58,15420.5,13755.51,14640.77,14853.07,15000.13,15118.86,15231.31,15357.37,2019.0
411,193,AUS,NGDPRPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",40387.34,41390.27,40739.78,40037.24,42051.68,43723.45,44132.7,45569.47,46675.09,48113.74,48173.8,47117.49,47833.84,49245.19,51154.69,51949.78,53490.22,55389.67,57391.68,59272.77,60357.6,61150.92,62969.15,63996.07,65907.05,67014.26,67773.01,69464.63,69792.43,69834.6,70494.22,71375.05,72772.87,73145.91,73939.91,74573.16,75335.87,75963.08,76891.21,77174.97,74960.91,77539.79,80346.45,81552.24,82605.64,83742.45,84899.11,2020.0
456,122,AUT,NGDPRPC,Austria,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23511.45,23440.87,23858.11,24599.63,24678.58,25215.19,25778.41,26176.68,26394.65,27355.64,28355.86,29080.32,29354.12,29195.8,29722.91,30440.75,31128.75,31744.45,32845.3,33947.29,35008.96,35317.14,35723.49,35899.37,36650.12,37218.18,38305.02,39602.32,40053.46,38453.44,39068.14,40078.37,40170.18,39939.1,39889.33,39894.38,40174.61,40789.35,41512.34,42223.89,39427.02,40768.08,42390.69,43065.57,43708.34,44360.7,44934.52,2019.0
546,313,BHS,NGDPRPC,The Bahamas,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",27106.62,25828.56,26828.91,28013.7,28059.69,28832.43,29080.68,29653.94,29703.83,29874.88,29688.84,27971.79,26441.72,26069.58,26430.69,27028.67,27693.66,28579.63,29438.34,31034.66,31811.56,32164.3,32558.42,31696.7,31541.09,32181.06,32590.74,32667.7,31536.73,29876.28,30000.99,29851.51,30433.06,29018.34,29354.48,29491.85,29192.75,29339.49,29818.3,29696.21,25105.58,25324.81,27047.67,27818.12,28459.42,28651.14,28758.96,2018.0
591,419,BHR,NGDPRPC,Bahrain,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7861.48,7769.61,7977.82,8254.36,8319.58,7967.72,7733.43,7375.77,7543.48,7354.82,7546.72,7410.5,7808.91,8184.5,8227.99,8168.41,8214.66,8188.83,8362.67,8631.68,8997.07,8890.23,8551.27,8448.06,8388.03,8300.07,8178.04,8184.22,8166.9,7863.38,7831.21,8250.87,8459.77,8603.26,8558.47,8414.26,8386.8,8295.8,8427.41,8755.67,8375.35,8493.41,8580.6,8668.2,8755.29,8844.6,8935.63,2020.0
636,513,BGD,NGDPRPC,Bangladesh,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18830.87,19138.47,19087.97,19345.11,19823.99,19933.69,20240.17,20450.55,20356.94,20368.23,21060.41,21263.39,21841.83,22350.95,22771.34,23388.23,23953.45,24716.5,25473.29,26179.32,27199.31,28098.72,28810.23,29804.01,31165.4,32534.8,34227.43,36196.67,37936.33,39407.7,41138.08,43299.1,45593.21,47779.11,50099.35,52789.05,55930.51,59365.91,63365.34,67820.92,69500.38,71990.96,75978.97,80706.2,85754.99,91149.96,96827.05,2020.0
