,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
52,914,ALB,NGDPRPPPPC,Albania,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5557.57,5757.86,5800.94,5741.68,5734.58,5533.62,5731.62,5573.34,5392.61,5764.05,5095.15,3690.69,3445.79,3799.7,4182.47,4582.93,5031.15,4509.66,4938.81,5610.89,6039.0,6601.5,6921.7,7331.76,7768.49,8239.88,8781.47,9377.49,10158.46,10570.2,11016.58,11327.43,11506.99,11643.6,11874.77,12173.64,12597.3,13039.7,13577.33,13881.23,13436.11,14172.19,14843.81,15495.44,16118.17,16734.0,17374.98,2020.0
97,612,DZA,NGDPRPPPPC,Algeria,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9158.39,9148.86,9431.54,9624.92,9847.6,9918.93,9638.59,9325.7,8882.79,9083.03,9037.87,8713.17,8640.97,8263.33,8009.67,8150.67,8310.54,8263.39,8548.84,8687.56,8857.76,8991.45,9355.94,9881.41,10153.14,10592.15,10610.39,10804.02,10824.67,10790.17,10959.72,11050.57,11189.2,11261.62,11445.39,11616.72,11732.16,11644.06,11546.61,11412.23,10655.98,10824.3,10848.37,10854.74,10773.49,10626.58,10482.28,2019.0
187,614,AGO,NGDPRPPPPC,Angola,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3245.56,3021.1,2943.24,2988.61,3086.33,2834.76,2835.94,2878.17,2974.02,2895.84,2723.23,2963.39,3205.14,3453.13,3704.93,3969.8,4286.14,4464.0,4537.3,4501.24,4503.63,4556.36,5028.17,5027.67,5415.88,6048.38,6550.31,7250.51,7825.34,7662.65,7800.96,7836.71,8258.38,8415.1,8564.0,8392.09,7931.22,7675.54,7294.01,7043.65,6470.21,6240.63,6202.1,6221.83,6261.5,6310.89,6350.98,2017.0
232,311,ATG,NGDPRPPPPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8035.61,8408.07,8498.39,9084.99,10172.42,11136.41,12635.22,13710.36,14643.36,15554.48,16038.72,16254.95,16178.34,16656.01,17318.92,16127.9,16729.18,17159.07,17492.75,17703.69,18412.73,17280.66,17271.92,18125.8,18966.47,19978.9,22277.17,24092.57,23832.04,20757.05,18925.37,18362.98,18694.8,18301.18,18708.43,19129.79,19876.07,20190.63,21267.02,21944.75,17290.99,17205.2,18151.84,18898.87,19462.63,19849.39,20115.55,2011.0
277,213,ARG,NGDPRPPPPC,Argentina,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18295.43,16941.52,16135.87,16504.37,16552.43,15143.02,16019.23,16239.41,15729.4,14448.22,13961.36,15221.16,16562.77,17340.0,18118.16,17387.03,18130.83,19376.36,19898.28,19016.97,18669.29,17667.36,15591.77,16829.23,18158.06,19577.84,20947.87,22610.96,23297.92,21706.68,23521.27,24647.63,24118.87,24424.14,23550.1,23933.89,23189.53,23597.12,22759.4,22063.9,19681.61,20948.25,21252.02,21462.44,21632.31,21793.21,21973.57,2019.0
412,193,AUS,NGDPRPPPPC,Australia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",26449.79,27106.61,26680.61,26220.51,27539.77,28634.62,28902.64,29843.59,30567.66,31509.83,31549.17,30857.39,31326.53,32250.83,33501.36,34022.07,35030.91,36274.87,37585.99,38817.92,39528.38,40047.93,41238.69,41911.22,43162.73,43887.85,44384.76,45492.6,45707.28,45734.89,46166.89,46743.74,47659.18,47903.48,48423.48,48838.19,49337.69,49748.46,50356.29,50542.12,49092.13,50781.05,52619.14,53408.81,54098.69,54843.19,55600.69,2020.0
457,122,AUT,NGDPRPPPPC,Austria,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",31351.34,31257.22,31813.6,32802.37,32907.66,33623.19,34374.22,34905.29,35195.95,36477.37,37811.12,38777.15,39142.25,38931.14,39634.01,40591.21,41508.62,42329.64,43797.56,45267.01,46682.69,47093.64,47635.49,47870.01,48871.1,49628.58,51077.82,52807.7,53409.28,51275.73,52095.4,53442.5,53564.92,53256.78,53190.42,53197.15,53570.83,54390.55,55354.63,56303.44,52573.95,54362.19,56525.86,57425.78,58282.88,59152.77,59917.93,2019.0
547,313,BHS,NGDPRPPPPC,The Bahamas,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",34019.28,32415.29,33670.75,35157.68,35215.4,36185.2,36496.76,37216.21,37278.83,37493.49,37260.01,35105.09,33184.81,32717.78,33170.98,33921.45,34756.02,35867.93,36945.63,38949.04,39924.06,40366.75,40861.39,39779.92,39584.62,40387.79,40901.95,40998.54,39579.15,37495.25,37651.77,37464.16,38194.02,36418.53,36840.39,37012.78,36637.41,36821.57,37422.49,37269.26,31507.94,31783.08,33945.3,34912.22,35717.07,35957.68,36093.0,2018.0
592,419,BHR,NGDPRPPPPC,Bahrain,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",44999.95,44474.09,45665.91,47248.85,47622.14,45608.11,44267.01,42219.68,43179.68,42099.8,43198.22,42418.5,44699.05,46848.98,47097.89,46756.83,47021.61,46873.72,47868.8,49408.69,51500.17,50888.65,48948.39,48357.61,48013.99,47510.52,46811.96,46847.33,46748.23,45010.86,44826.72,47228.9,48424.65,49246.0,48989.61,48164.15,48006.93,47486.02,48239.39,50118.41,47941.39,48617.21,49116.26,49617.71,50116.2,50627.42,51148.5,2020.0
637,513,BGD,NGDPRPPPPC,Bangladesh,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1358.24,1396.83,1404.43,1431.47,1452.91,1468.33,1487.13,1490.99,1487.49,1512.77,1544.41,1572.34,1611.44,1645.06,1682.9,1725.94,1774.26,1829.33,1882.1,1944.39,2013.57,2071.46,2132.64,2217.11,2314.84,2424.46,2555.89,2689.31,2805.31,2921.6,3063.12,3224.92,3387.44,3550.66,3731.97,3943.01,4181.1,4450.31,4756.74,5113.78,5012.94,5246.1,5677.52,6030.76,6408.03,6807.88,7224.91,2020.0
682,316,BRB,NGDPRPPPPC,Barbados,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",13206.74,12910.46,12241.03,12269.52,12677.6,12780.44,13389.76,13691.23,14120.22,14576.06,14045.46,13451.14,12640.45,12697.74,12906.27,13120.48,13590.46,14181.18,14656.44,14651.06,15251.02,14843.88,14917.61,15197.84,15364.63,15920.32,16759.77,17059.9,17106.5,16171.09,15739.03,15575.63,15451.41,15183.51,15117.44,15441.95,15782.48,15817.71,15685.7,15444.6,12632.53,13016.38,14087.03,14725.85,15099.87,15338.8,15581.5,2019.0
772,124,BEL,NGDPRPPPPC,Belgium,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",29535.23,29428.07,29629.55,29711.61,30459.84,30948.22,31508.58,32216.24,33700.42,34687.27,35703.01,36214.79,36640.62,36121.23,37167.57,37941.46,38395.49,39745.53,40437.57,41782.13,43227.86,43599.67,44144.67,44404.25,45810.47,46652.43,47544.55,48952.13,48791.58,47422.22,48389.92,48490.85,48517.35,48468.5,49044.84,49794.66,50096.29,50726.55,51421.11,52078.71,48522.68,51171.73,52571.87,53268.6,53774.96,54259.77,54785.54,2020.0
817,339,BLZ,NGDPRPPPPC,Belize,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3020.73,3021.16,2741.96,2829.09,3065.93,2940.6,3065.98,3644.49,3961.31,4457.24,4817.85,5231.76,5715.38,5896.28,5737.68,5627.95,5566.9,5563.74,5566.15,5941.33,6534.47,6692.76,6860.38,7312.2,7417.52,7368.99,7526.36,7369.31,7427.21,7247.92,7294.96,7219.45,7204.97,7112.19,7210.25,7211.06,7024.55,6969.15,6988.6,6929.95,5814.01,6166.38,6371.92,6421.9,6421.9,6421.9,6421.9,2020.0
862,638,BEN,NGDPRPPPPC,Benin,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2564.6,2526.44,2492.36,2365.58,2302.53,2325.24,2315.01,2198.77,2202.75,2078.56,2195.71,2212.5,2200.05,2248.34,2216.51,2274.35,2299.23,2358.56,2380.5,2411.99,2478.22,2532.63,2570.79,2579.7,2614.21,2581.64,2606.82,2685.13,2738.19,2724.09,2704.71,2707.87,2759.85,2876.9,2975.85,2945.97,2961.44,3044.52,3159.37,3283.84,3316.95,3404.12,3527.41,3653.43,3784.09,3919.18,4058.16,2017.0
