,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
45,914,ALB,NGDP_R,Albania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 08/2021",311.514,329.27,338.819,342.546,349.397,344.156,363.428,360.521,355.474,390.31,351.279,252.921,234.711,257.243,281.424,306.47,334.359,297.833,324.13,365.912,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.042,788.941,821.061,838.908,811.13,854.12,892.555,929.15,963.528,997.116,1031.81,2020.0
90,612,DZA,NGDP_R,Algeria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2021",2596.37,2674.26,2845.41,2999.06,3167.01,3344.36,3337.68,3314.31,3251.34,3407.4,3434.66,3393.45,3447.74,3375.25,3344.88,3473.58,3605.57,3645.24,3831.14,3953.74,4103.98,4227.1,4463.82,4785.21,4990.98,5285.44,5374.48,5555.75,5686.88,5779.7,5988.7,6162.37,6371.89,6550.3,6799.22,7050.79,7276.41,7378.28,7466.82,7526.56,7157.75,7401.85,7545.99,7674.73,7737.22,7746.62,7756.82,2019.0
180,614,AGO,NGDP_R,Angola,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2020. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2021",210.654,201.385,201.385,209.843,222.434,230.219,236.895,246.567,261.679,261.788,252.756,283.298,315.601,350.22,387.031,427.141,475.013,509.567,533.472,545.109,561.76,585.388,665.385,685.279,760.338,874.608,975.606,1112.29,1236.49,1247.1,1307.7,1353.11,1468.69,1541.46,1615.8,1631.04,1588.96,1586.58,1554.12,1545.8,1462.56,1452.98,1487.33,1536.82,1593.02,1653.75,1714.19,2020.0
225,311,ATG,NGDP_R,Antigua and Barbuda,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.951,0.988,0.987,1.04,1.145,1.233,1.375,1.466,1.542,1.623,1.672,1.708,1.728,1.819,1.941,1.856,1.979,2.087,2.186,2.267,2.407,2.298,2.322,2.463,2.605,2.773,3.126,3.417,3.416,3.008,2.772,2.718,2.809,2.792,2.898,3.009,3.175,3.274,3.502,3.668,2.934,2.962,3.17,3.347,3.494,3.611,3.708,2019.0
270,213,ARG,NGDP_R,Argentina,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2021,357.389,336.861,326.255,338.435,345.205,321.209,344.161,352.864,345.959,321.719,317.415,350.738,386.861,411.044,435.006,422.63,445.987,482.16,500.725,483.773,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.755,692.977,624.336,671.162,687.703,701.457,714.079,726.584,739.924,2020.0
405,193,AUS,NGDP_R,Australia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",597.803,622.475,622.866,619.916,659.256,695.228,712.247,747.095,778.871,814.889,827.133,818.854,839.825,872.58,915.333,941.31,980.48,1025.26,1073.55,1121.39,1155.31,1185.5,1234.54,1268.86,1321.17,1361.16,1397.99,1459.88,1498.84,1526.98,1563.03,1607.52,1668.54,1704.14,1747.96,1788.61,1837.42,1881.86,1935.45,1972.45,1926.08,1994.33,2076.85,2130.15,2185.72,2243.49,2301.78,2020.0
450,122,AUT,NGDP_R,Austria,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",177.286,177.11,180.489,185.55,186.166,190.342,194.797,198.071,199.974,207.747,216.775,224.235,228.93,230.136,235.664,241.952,247.754,252.941,262.0,271.318,280.477,284.031,288.722,291.44,299.411,306.13,316.704,328.509,333.307,320.759,326.651,336.199,338.486,338.573,340.812,344.269,351.118,359.544,368.82,374.053,350.94,364.691,381.102,389.105,396.887,404.825,412.112,2019.0
540,313,BHS,NGDP_R,The Bahamas,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2021,5.731,5.564,5.915,6.317,6.469,6.734,6.909,7.165,7.326,7.495,7.574,7.257,6.979,7.001,7.221,7.537,7.856,8.244,8.633,9.25,9.634,9.887,10.154,10.026,10.114,10.458,10.721,10.876,10.623,10.18,10.336,10.4,10.721,10.336,10.573,10.741,10.751,10.925,11.228,11.307,9.666,9.859,10.647,11.073,11.454,11.66,11.835,2019.0
585,419,BHR,NGDP_R,Bahrain,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2021,2.772,2.849,3.031,3.243,3.379,3.348,3.364,3.323,3.52,3.556,3.681,3.765,4.033,4.34,4.479,4.565,4.714,4.824,5.058,5.36,5.736,5.879,6.076,6.459,6.91,7.377,7.854,8.506,9.037,9.266,9.668,9.86,10.228,10.782,11.251,11.53,11.941,12.453,12.667,12.991,12.33,12.631,13.022,13.425,13.838,14.265,14.707,2020.0
630,513,BGD,NGDP_R,Bangladesh,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2005/06. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2021,1499.68,1564.91,1602.09,1666.44,1752.77,1809.27,1886.13,1956.53,1998.77,2050.99,2172.84,2245.4,2358.56,2466.44,2567.19,2693.62,2818.12,2969.95,3125.14,3277.38,3472.21,3655.33,3816.72,4017.33,4269.24,4523.49,4823.37,5163.83,5474.37,5750.56,6070.97,6463.42,6884.93,7298.96,7741.36,8248.62,8835.39,9478.99,10224.38,11057.94,11445.97,11972.35,12755.78,13674.2,14658.74,15714.17,16829.87,2020.0
