,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
46,914,ALB,NGDP_RPCH,Albania,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.684,5.7,2.9,1.1,2.0,-1.5,5.6,-0.8,-1.4,9.8,-10.0,-28.0,-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.071,2.174,-3.311,5.3,4.5,4.1,3.7,3.486,3.479,2020.0
91,612,DZA,NGDP_RPCH,Algeria,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-5.4,3.0,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.1,3.2,3.8,3.0,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,0.8,-4.9,3.41,1.947,1.706,0.814,0.122,0.132,2019.0
226,311,ATG,NGDP_RPCH,Antigua and Barbuda,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.162,3.815,-0.085,5.364,10.165,7.644,11.493,6.626,5.214,5.252,3.012,2.177,1.158,5.28,6.676,-4.36,6.606,5.471,4.731,3.709,6.203,-4.548,1.028,6.076,5.767,6.475,12.707,9.316,-0.014,-11.963,-7.841,-1.959,3.372,-0.601,3.797,3.824,5.498,3.144,6.95,4.747,-20.031,0.965,7.019,5.583,4.396,3.352,2.697,2019.0
271,213,ARG,NGDP_RPCH,Argentina,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.7,-5.744,-3.149,3.733,2.0,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.565,-2.088,-9.905,7.5,2.465,2.0,1.799,1.751,1.836,2020.0
406,193,AUS,NGDP_RPCH,Australia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.253,4.624,1.503,-1.001,2.561,3.9,4.9,2.838,4.161,4.567,4.709,4.457,3.024,2.613,4.136,2.78,4.123,3.027,2.706,4.427,2.669,1.878,2.361,2.847,3.796,2.134,2.572,2.325,2.729,2.419,2.848,1.912,-2.351,3.544,4.138,2.566,2.608,2.643,2.598,2020.0
451,122,AUT,NGDP_RPCH,Austria,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.4,2.58,1.419,-6.179,3.918,4.5,2.1,2.0,2.0,1.8,2019.0
541,313,BHS,NGDP_RPCH,The Bahamas,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.255,2.3,1.052,-4.182,-3.826,0.308,3.149,4.379,4.224,4.946,4.716,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.446,-2.324,-4.175,1.539,0.613,3.087,-3.584,2.288,1.59,0.091,1.625,2.767,0.703,-14.515,2.0,7.996,3.997,3.448,1.798,1.497,2019.0
586,419,BHR,NGDP_RPCH,Bahrain,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.494,2.777,6.406,6.994,4.186,-0.93,0.484,-1.222,5.952,1.013,3.503,2.286,7.123,7.604,3.212,1.923,3.25,2.348,4.849,5.972,7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.485,3.558,4.292,1.72,2.559,-5.088,2.441,3.097,3.091,3.074,3.09,3.099,2020.0
631,513,BGD,NGDP_RPCH,Bangladesh,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.05,4.349,2.376,4.016,5.181,3.223,4.249,3.732,2.159,2.612,5.941,3.339,5.04,4.574,4.085,4.925,4.622,5.387,5.225,4.872,5.945,5.274,4.415,5.256,6.27,5.956,6.629,7.059,6.014,5.045,5.572,6.464,6.521,6.014,6.061,6.553,7.114,7.284,7.864,8.153,3.509,4.599,6.544,7.2,7.2,7.2,7.1,2020.0
676,316,BRB,NGDP_RPCH,Barbados,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.371,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2.0,2.023,3.966,4.74,3.74,0.326,4.453,-2.367,0.791,2.171,1.407,3.965,5.669,2.202,0.698,-5.076,-2.288,-0.673,-0.45,-1.411,-0.126,2.446,2.485,0.478,-0.583,-1.287,-18.0,3.3,8.5,4.8,2.8,1.84,1.84,2019.0
