,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
109,612,DZA,PCPIEPCH,Algeria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",14.143,6.632,5.251,12.695,10.662,12.458,11.891,3.168,8.637,10.718,47.373,25.9,31.7,20.5,29.0,29.8,18.7,5.7,4.95,2.6,0.3,4.2,2.1,5.563,2.19,1.226,3.839,4.803,4.863,5.753,2.725,5.16,9.035,1.148,5.253,4.362,6.957,4.933,2.702,2.434,3.516,7.56,7.166,5.962,5.542,5.457,5.302,2020.0
244,311,ATG,PCPIEPCH,Antigua and Barbuda,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",17.71,7.16,2.617,3.114,3.219,-0.721,1.967,5.822,5.518,4.88,7.861,3.206,2.862,-0.545,0.123,-1.265,3.187,-1.124,4.66,1.098,0.432,0.935,2.55,1.809,2.756,2.543,0.009,5.23,0.728,2.399,2.925,4.044,1.839,1.059,1.327,0.9,-1.121,2.356,1.739,0.689,2.778,2.029,2.009,2.009,2.009,2.009,2.009,2020.0
469,122,AUT,PCPIEPCH,Austria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",6.661,6.407,4.726,3.785,5.049,2.804,1.104,1.642,1.866,2.479,3.13,2.73,3.741,3.096,2.388,0.555,2.234,0.913,0.425,1.665,1.839,1.819,1.696,1.349,2.499,1.532,1.629,3.456,1.492,1.052,2.171,3.308,2.81,1.856,0.699,0.975,1.534,2.275,1.688,1.801,1.01,2.9,2.2,2.0,2.0,2.0,2.0,2020.0
559,313,BHS,PCPIEPCH,The Bahamas,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",12.138,8.987,4.556,3.486,4.589,4.802,6.818,4.053,5.063,4.356,7.036,6.41,3.505,2.646,1.443,1.625,0.999,0.791,1.472,1.547,1.095,2.553,1.892,3.098,1.654,1.205,2.433,2.697,4.187,1.643,1.669,3.042,0.655,0.955,0.202,2.024,0.967,1.613,1.963,1.434,1.163,5.015,3.487,2.981,2.82,2.514,2.541,2019.0
604,419,BHR,PCPIEPCH,Bahrain,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",3.009,7.671,9.977,5.835,1.575,-1.2,-2.449,-2.105,-0.758,0.701,-0.163,0.296,1.146,3.308,3.561,1.451,2.206,2.035,-0.838,-0.997,-0.952,-0.837,0.589,1.966,2.435,2.326,1.077,4.001,5.122,1.554,0.984,0.19,2.609,3.952,2.49,0.77,2.304,1.347,1.983,1.191,-1.61,2.5,3.0,2.674,2.613,2.515,2.352,2020.0
649,513,BGD,PCPIEPCH,Bangladesh,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",6.381,16.323,12.257,8.509,10.548,11.676,11.636,10.373,8.759,8.054,10.248,6.585,1.718,3.489,7.155,8.23,4.1,3.354,9.413,7.588,2.302,2.02,3.164,5.19,5.986,6.305,14.301,9.777,14.259,2.467,9.576,11.133,5.546,8.049,6.966,6.253,5.531,5.944,5.542,5.518,6.021,5.642,5.824,5.651,5.449,5.449,5.449,2021.0
694,316,BRB,PCPIEPCH,Barbados,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.994,12.276,6.864,5.452,5.099,2.358,-0.461,6.283,4.418,6.555,3.412,8.112,3.302,-0.969,0.8,2.838,1.808,3.551,1.715,2.928,3.793,-0.316,0.912,0.301,4.304,7.39,5.63,4.653,7.276,4.371,6.498,9.559,2.413,1.208,2.388,-2.507,3.828,6.567,0.649,7.197,1.253,3.179,2.472,2.474,2.349,2.28,2.308,2020.0
784,124,BEL,PCPIEPCH,Belgium,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",8.755,8.145,8.097,7.159,5.348,4.023,0.587,1.448,1.923,3.601,3.495,2.785,2.184,2.464,1.988,1.227,2.14,0.884,0.692,2.051,2.964,1.925,1.333,1.634,2.01,2.759,2.073,3.111,2.699,0.333,3.382,3.185,2.082,1.167,-0.391,1.45,2.204,2.059,2.198,0.922,0.351,3.027,1.631,2.049,1.751,1.833,1.762,2020.0
919,514,BTN,PCPIEPCH,Bhutan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",-11.508,4.858,7.872,3.003,15.142,14.803,6.462,8.861,8.8,9.036,8.978,11.427,14.695,12.188,8.497,9.461,9.46,6.964,8.982,8.072,-7.322,-8.838,2.737,2.971,3.637,5.4,3.1,4.3,6.0,7.2,5.7,9.6,9.5,12.9,8.1,4.8,3.6,4.9,2.5,2.7,4.54,8.001,5.859,4.441,4.349,3.945,3.945,2020.0
964,218,BOL,PCPIEPCH,Bolivia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",23.93,25.127,296.791,328.437,2177.3,8170.53,64.647,10.662,21.505,16.563,18.01,15.436,10.462,9.308,8.523,12.574,7.949,6.731,4.395,3.133,3.412,0.924,2.448,3.939,4.621,4.908,2.99,11.726,11.848,0.264,7.182,6.904,4.54,6.48,5.194,2.953,4.003,2.715,1.507,1.469,0.67,2.52,2.783,3.503,3.503,3.503,3.503,2020.0
1459,156,CAN,PCPIEPCH,Canada,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",7.337,12.355,9.638,4.661,3.664,4.133,4.386,4.202,4.087,5.203,4.917,4.111,1.788,1.814,0.039,2.052,2.049,1.004,1.141,2.365,3.128,1.069,3.82,1.708,2.293,2.305,1.389,2.496,1.841,0.787,2.228,2.661,0.993,0.956,1.974,1.273,1.414,1.833,2.054,2.062,0.755,3.801,1.965,2.121,2.155,2.052,2.002,2020.0
1594,228,CHL,PCPIEPCH,Chile,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",31.238,11.17,20.687,23.418,23.599,26.837,17.349,21.133,12.3,21.199,27.235,18.775,12.932,12.472,9.166,8.337,6.695,6.041,4.663,2.318,4.554,2.666,2.866,1.1,2.444,3.671,2.607,7.861,7.089,-1.507,2.942,4.389,1.457,3.056,4.697,4.427,2.732,2.259,2.119,2.962,2.948,5.49,3.39,3.0,3.0,3.0,3.0,2020.0
