,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
107,612,DZA,PCPIPCH,Algeria,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.668,14.61,6.593,7.835,6.31,10.432,14.007,5.857,5.938,9.172,9.272,25.9,31.7,20.5,29.0,29.8,18.7,5.7,4.95,2.6,0.3,4.2,1.433,4.261,3.968,1.382,2.311,3.679,4.855,5.741,3.911,4.5,8.916,3.255,2.917,4.784,6.398,5.591,4.27,1.952,2.415,6.471,7.571,6.322,5.605,5.516,5.379,2020.0
197,614,AGO,PCPIPCH,Angola,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.48,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,22.277,24.387,14.871,9.896,7.899,7.0,6.781,2020.0
242,311,ATG,PCPIPCH,Antigua and Barbuda,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.999,11.465,4.17,2.346,3.844,0.996,0.5,3.602,6.8,4.362,6.591,4.518,3.0,3.1,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.211,1.431,1.058,1.584,2.043,2.009,2.009,2.009,2.009,2020.0
422,193,AUS,PCPIPCH,Australia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.136,9.488,11.352,10.039,3.96,6.735,9.05,8.533,7.27,7.58,7.233,3.307,0.969,1.752,1.968,4.584,2.653,0.225,0.859,1.408,4.457,4.407,3.049,2.731,2.342,2.659,3.554,2.356,4.348,1.77,2.863,3.356,1.686,2.475,2.488,1.485,1.277,1.995,1.933,1.566,0.89,2.504,2.092,2.224,2.394,2.422,2.422,2020.0
467,122,AUT,PCPIPCH,Austria,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.325,6.807,5.44,3.335,5.665,3.19,1.737,1.408,1.868,2.249,2.777,3.116,3.426,3.234,2.711,1.611,1.771,1.166,0.817,0.517,1.957,2.301,1.682,1.302,1.962,2.103,1.685,2.201,3.229,0.406,1.693,3.542,2.568,2.118,1.466,0.808,0.973,2.228,2.122,1.493,1.391,2.45,2.448,2.0,2.0,2.0,2.0,2020.0
557,313,BHS,PCPIPCH,The Bahamas,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.231,11.046,6.101,4.0,3.966,4.624,5.414,5.994,4.051,5.405,4.628,7.304,5.577,2.748,1.367,2.023,1.262,0.561,1.207,1.119,1.732,2.362,1.498,3.657,1.16,1.819,1.958,2.407,4.434,1.666,1.621,3.064,1.912,0.445,1.183,1.878,-0.33,1.5,2.268,2.491,0.039,3.021,4.232,3.23,2.899,2.665,2.528,2019.0
602,419,BHR,PCPIPCH,Bahrain,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.8,11.4,8.7,3.2,0.0,-2.4,-2.5,-1.7,0.2,1.2,1.299,0.899,-0.302,2.599,3.999,3.139,-0.185,4.602,-0.418,-1.259,-0.73,-1.175,-0.496,1.679,2.248,2.618,2.041,3.252,3.533,2.785,1.962,-0.336,2.756,3.302,2.646,1.849,2.789,1.386,2.091,1.006,-2.324,1.0,2.7,2.674,2.613,2.515,2.352,2020.0
647,513,BGD,PCPIPCH,Bangladesh,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.692,14.935,13.653,11.102,9.993,10.441,10.313,10.518,10.222,9.182,9.665,9.348,5.862,3.296,4.588,8.192,6.102,3.722,6.848,7.362,4.276,2.192,2.822,4.555,5.742,10.21,6.77,9.109,8.9,7.585,6.817,10.907,8.889,6.777,7.349,6.405,5.916,5.44,5.783,5.475,5.648,5.558,5.684,5.75,5.55,5.449,5.449,2021.0
692,316,BRB,PCPIPCH,Barbados,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.498,14.589,10.287,5.275,4.648,4.858,0.199,3.567,4.719,6.334,3.036,6.3,5.996,1.184,0.7,2.838,2.386,7.711,-1.269,1.56,2.436,2.801,0.169,1.577,1.428,6.065,7.308,4.034,8.108,3.645,5.824,9.432,4.533,1.814,1.767,-1.112,1.512,4.41,3.688,4.1,2.882,2.468,4.363,2.473,2.406,2.311,2.295,2020.0
782,124,BEL,PCPIPCH,Belgium,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.656,7.626,8.723,7.663,6.348,4.868,1.296,1.554,1.162,3.105,3.453,3.167,2.257,2.485,2.396,1.267,1.765,1.503,0.907,1.135,2.679,2.435,1.548,1.517,1.857,2.537,2.328,1.816,4.489,-0.006,2.334,3.353,2.626,1.248,0.49,0.62,1.77,2.224,2.311,1.249,0.428,2.362,2.231,1.855,1.863,1.799,1.787,2020.0
