,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
49,914,ALB,PPPGDP,Albania,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.759,6.663,7.28,7.649,8.083,8.214,8.848,8.994,9.181,10.476,9.782,7.281,6.911,7.754,8.664,9.633,10.702,9.697,10.672,12.217,13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.075,41.678,40.784,44.493,47.775,50.917,54.005,57.101,60.312,2020.0
94,612,DZA,PPPGDP,Algeria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",89.746,101.183,114.311,125.202,136.986,149.231,151.931,154.599,157.01,170.999,178.817,182.647,189.798,190.211,192.526,204.126,215.762,221.897,235.839,246.815,261.998,275.938,295.932,323.5,346.468,378.416,396.663,421.124,439.329,449.362,471.208,494.947,497.33,497.988,506.135,477.358,471.382,485.802,503.376,516.48,497.091,532.567,557.882,580.901,598.979,612.734,626.255,2019.0
184,614,AGO,PPPGDP,Angola,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.89,11.396,12.1,13.102,14.389,15.364,16.128,17.201,18.899,19.649,19.681,22.805,25.984,29.518,33.317,37.541,42.513,46.392,49.115,50.893,53.636,57.151,65.974,69.288,78.94,93.652,107.69,126.095,142.863,145.013,153.887,162.539,186.124,199.866,220.365,204.604,204.875,217.805,218.446,221.164,211.775,217.97,229.264,242.53,257.129,272.73,288.555,2020.0
229,311,ATG,PPPGDP,Antigua and Barbuda,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.274,0.311,0.33,0.361,0.412,0.458,0.521,0.569,0.62,0.678,0.724,0.765,0.792,0.853,0.929,0.908,0.985,1.057,1.12,1.177,1.279,1.248,1.281,1.385,1.504,1.652,1.919,2.155,2.196,1.946,1.815,1.816,1.772,1.72,1.762,1.77,1.883,1.893,2.073,2.21,1.789,1.871,2.058,2.224,2.375,2.508,2.629,2019.0
274,213,ARG,PPPGDP,Argentina,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",172.522,177.997,183.044,197.314,208.525,200.165,218.786,229.867,233.316,225.476,230.785,263.638,297.418,323.499,349.671,346.845,372.716,409.894,430.468,421.755,427.907,418.256,378.498,420.534,470.303,527.986,588.077,658.373,698.222,661.108,736.799,797.264,819.698,849.616,839.897,867.177,885.228,1039.33,1036.86,1033.37,942.232,1049.4,1104.86,1153.77,1201.31,1248.9,1298.18,2020.0
409,193,AUS,PPPGDP,Australia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",155.319,177.03,188.086,194.526,214.337,233.179,243.698,261.944,282.715,307.388,323.682,331.28,347.507,369.618,396.01,415.788,441.02,469.115,496.736,526.187,554.381,581.686,615.188,644.771,689.375,732.515,775.548,831.767,870.34,892.363,924.413,970.48,983.739,1083.48,1111.52,1113.06,1174.0,1232.44,1297.81,1346.28,1330.47,1427.26,1527.23,1603.7,1683.04,1765.05,1848.43,2020.0
454,122,AUT,PPPGDP,Austria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",84.657,92.574,100.169,107.011,111.241,117.332,122.496,127.636,133.406,144.027,155.91,166.73,174.1,179.165,187.387,196.421,204.814,212.708,222.806,233.981,247.359,256.137,264.425,272.183,287.133,302.783,322.907,343.995,355.712,344.515,355.061,373.031,391.635,406.37,417.06,431.092,460.236,479.433,503.552,519.832,493.588,531.413,570.611,596.457,622.253,648.485,673.838,2019.0
544,313,BHS,PPPGDP,The Bahamas,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.658,2.825,3.188,3.539,3.754,4.032,4.22,4.484,4.747,5.047,5.291,5.241,5.155,5.294,5.577,5.943,6.308,6.734,7.131,7.748,8.252,8.66,9.032,9.094,9.421,10.046,10.617,11.061,11.011,10.619,10.912,11.207,11.713,11.621,12.323,12.699,12.977,13.712,14.428,14.789,12.795,13.521,15.004,15.975,16.902,17.58,18.213,2019.0
589,419,BHR,PPPGDP,Bahrain,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.326,8.242,9.312,10.353,11.176,11.422,11.708,11.851,13.0,13.646,14.653,15.495,16.977,18.7,19.713,20.514,21.568,22.455,23.809,25.587,28.003,29.347,30.802,33.388,36.677,40.388,44.327,49.301,53.382,55.089,58.169,60.556,65.875,67.717,68.276,62.523,63.831,71.282,74.24,77.502,74.445,79.01,83.699,88.339,93.13,98.094,103.23,2020.0
634,513,BGD,PPPGDP,Bangladesh,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.711,47.053,51.562,56.051,60.5,64.75,68.686,72.448,76.794,83.235,90.325,97.305,104.301,111.389,118.903,127.187,136.009,145.693,154.764,165.452,178.675,191.532,203.941,219.978,239.681,262.776,289.442,316.641,340.512,360.908,387.271,420.989,473.808,509.208,553.757,595.349,650.672,710.584,785.863,868.972,870.79,953.385,1070.27,1174.63,1287.91,1409.95,1539.86,2020.0
