,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
112,612,DZA,TMG_RPCH,Algeria,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Chain-weighted: Yes, from 2005 Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2021",10.784,11.563,1.253,-1.029,0.093,1.977,-23.611,-23.997,-1.42,23.733,97.622,-20.471,6.95,-3.596,12.607,6.099,-12.312,-6.529,11.052,6.807,4.196,4.261,27.673,7.032,25.583,6.857,1.178,21.006,34.081,2.522,-0.062,7.134,11.483,9.499,11.281,-5.546,-1.919,-2.015,-2.923,-7.744,-18.076,1.657,-4.973,-1.178,-6.448,-1.167,-0.766,2020.0
202,614,AGO,TMG_RPCH,Angola,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2021",-5.0,-3.3,-21.5,-17.4,30.4,-14.5,-25.7,16.8,2.1,-5.6,12.9,-14.257,42.589,-23.32,-19.574,15.717,11.645,39.356,-15.434,56.08,1.023,2.037,5.055,32.941,-3.648,37.43,-0.891,43.241,37.139,18.129,-32.011,8.635,20.378,12.379,10.149,-17.764,-35.305,6.548,5.89,-8.002,-33.586,22.05,0.851,0.85,5.014,4.829,0.855,2020.0
292,213,ARG,TMG_RPCH,Argentina,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2020 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2021",67.807,-20.509,-24.66,-28.526,14.23,-19.005,17.526,13.253,-15.31,1.044,-24.706,104.504,76.694,13.423,26.7,-11.484,19.483,29.918,9.512,-15.919,-2.423,-17.167,-53.202,49.778,50.389,18.463,12.825,22.306,14.166,-23.579,39.714,21.38,-6.194,3.682,-11.226,3.176,3.37,14.566,-6.317,-20.846,-10.588,23.097,3.248,2.931,3.839,3.714,3.879,2020.0
427,193,AUS,TMG_RPCH,Australia,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2021",6.011,9.88,4.947,-12.212,22.765,5.805,-2.008,1.316,30.8,20.738,-4.748,-1.351,8.385,5.694,15.429,9.84,7.746,12.741,8.195,10.346,8.857,-4.623,14.111,12.016,14.349,9.989,9.421,11.703,10.274,-9.624,15.434,10.483,5.484,-3.383,0.051,3.064,0.223,7.828,3.823,-1.198,-2.424,10.559,4.507,2.876,2.422,2.625,2.524,2020.0
472,122,AUT,TMG_RPCH,Austria,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",7.115,-1.618,-3.463,6.575,10.972,6.555,-3.581,3.51,10.4,10.262,8.615,5.988,1.348,-4.615,10.391,5.556,5.846,8.936,7.261,5.779,11.354,4.906,-0.038,3.782,9.192,5.02,6.28,7.117,0.943,-12.532,14.337,6.297,-0.045,-1.954,2.147,4.169,3.625,2.498,2.518,1.442,-6.357,9.249,6.463,2.553,5.043,1.988,2.318,2019.0
562,313,BHS,TMG_RPCH,The Bahamas,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports;. In Trade we excluded imports and re-exports of bunker fuel for aviation, but included it in the BOP. Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahamian dollar Data last updated: 09/2021",-3.883,-2.474,4.481,14.04,8.925,22.133,11.128,-7.415,-1.417,6.671,-11.59,-0.829,-4.448,-4.385,8.489,7.939,4.073,28.736,24.057,-11.707,7.264,-4.071,-7.217,-1.022,-1.353,14.204,10.1,2.026,-4.709,-12.184,-3.548,3.489,7.665,-1.787,10.722,3.182,-3.954,12.755,-1.551,-6.928,-30.54,9.518,29.302,12.091,7.511,3.906,2.861,2020.0
652,513,BGD,TMG_RPCH,Bangladesh,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: FY2018/19 Base year: FY1990/91 Methodology used to derive volumes: Other Formula used to derive volumes: Not applicable Chain-weighted: No Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bangladesh taka Data last updated: 09/2021",5.14,11.46,17.581,14.537,14.686,13.744,8.293,9.549,12.473,21.337,11.302,-5.59,2.773,9.637,14.371,19.392,11.78,11.036,17.817,-7.309,-0.269,16.174,-7.275,8.911,4.35,13.112,8.302,12.409,16.207,8.647,1.567,43.137,0.136,3.587,9.899,9.786,12.551,7.06,20.439,2.097,-3.334,10.193,-1.35,7.911,4.249,4.259,7.034,2019.0
697,316,BRB,TMG_RPCH,Barbados,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. Exports rise in 2011 due to merchandising being included in the BOP accounts that year. Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: WEO deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Barbados dollar Data last updated: 08/2021",10.261,15.072,-0.635,16.742,9.413,-7.633,-1.83,-16.467,5.104,16.727,-1.238,31.645,-46.241,12.646,10.841,20.818,1.654,25.468,16.52,2.9,-6.73,-3.05,-0.017,4.191,10.989,1.651,-2.081,-0.614,-6.677,-15.553,-1.063,0.922,-1.819,1.411,0.6,11.003,5.944,-6.867,-7.674,3.906,2.932,-6.31,9.044,4.503,3.48,2.477,4.07,2019.0
787,124,BEL,TMG_RPCH,Belgium,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Weighted average of volume changes Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",2.8,-3.189,2.32,-1.248,6.732,1.0,4.841,6.232,9.715,8.711,6.227,2.148,4.585,0.5,8.0,8.4,4.221,8.908,5.561,2.681,12.157,1.409,7.384,0.604,7.0,5.059,4.607,6.022,-2.277,-11.842,7.19,4.313,-1.601,0.387,1.904,1.027,5.54,-0.245,1.29,-0.594,-7.254,6.366,6.734,4.492,3.956,3.81,3.835,2020.0
877,638,BEN,TMG_RPCH,Benin,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 07/2021,-38.14,23.395,5.135,-40.769,-1.539,49.529,32.37,9.041,-3.461,-40.808,92.517,9.727,48.011,-9.497,-48.075,123.129,3.001,1.342,11.482,19.218,-12.115,12.921,29.914,29.898,-2.23,-10.547,9.43,45.915,4.498,8.065,-13.782,-11.577,5.551,34.835,28.986,0.357,5.234,8.358,13.439,-10.837,-9.283,19.609,13.151,14.788,11.963,11.323,10.743,2019.0
