,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
201,614,AGO,TM_RPCH,Angola,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2021",-39.0,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22.0,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,36.633,1.445,48.625,46.375,6.104,-21.724,10.929,7.204,8.576,10.504,-19.448,-30.63,5.8,-11.184,-11.38,-33.224,22.05,0.851,0.85,5.014,4.829,0.855,2020.0
291,213,ARG,TM_RPCH,Argentina,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2020 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2021",41.493,-8.239,-42.58,-6.924,4.705,-13.038,18.523,11.422,-9.204,-16.419,-0.69,75.576,66.462,13.423,26.7,-11.484,19.483,30.046,9.881,-15.955,-2.407,-16.629,-53.553,48.933,51.165,18.375,12.966,22.202,14.597,-23.858,39.414,21.578,-5.952,3.548,-10.842,2.644,3.568,14.235,-5.591,-21.107,-10.722,23.228,3.014,2.984,3.827,3.719,3.864,2020.0
426,193,AUS,TM_RPCH,Australia,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2021",4.997,10.042,5.46,-9.819,22.058,3.79,-3.149,2.516,21.0,21.162,-4.211,-2.243,6.706,5.138,14.591,8.747,7.454,10.838,7.294,8.365,8.0,-5.04,11.031,11.354,15.205,9.451,8.567,13.08,10.609,-8.11,15.506,11.012,5.543,-2.009,-1.37,1.958,0.143,7.913,3.979,-0.9,-13.395,6.819,8.323,9.581,4.568,2.672,2.512,2020.0
471,122,AUT,TM_RPCH,Austria,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",6.17,-0.771,-4.667,5.691,10.05,6.156,-2.911,5.447,10.4,10.158,7.98,5.114,2.116,-5.489,10.332,5.905,8.642,7.27,5.758,4.064,10.186,5.192,0.291,3.507,7.975,5.455,5.855,5.635,0.954,-11.899,11.97,5.954,0.924,0.694,2.957,3.63,3.726,5.349,5.03,2.448,-9.224,8.352,4.631,3.506,3.206,1.982,2.192,2019.0
561,313,BHS,TM_RPCH,The Bahamas,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports;. In Trade we excluded imports and re-exports of bunker fuel for aviation, but included it in the BOP. Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahamian dollar Data last updated: 09/2021",1.038,1.013,5.719,8.564,4.289,19.553,8.2,-3.267,-0.176,5.178,-6.406,-4.183,-5.245,2.097,9.294,2.831,6.154,25.918,25.407,-10.413,5.396,-1.005,-2.633,-3.068,0.695,7.985,15.741,0.057,-8.471,-12.541,-4.78,3.819,16.178,0.401,10.495,-5.399,4.936,6.019,-2.362,-2.78,-26.372,-0.272,29.836,14.037,8.134,4.734,3.552,2020.0
651,513,BGD,TM_RPCH,Bangladesh,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: FY2018/19 Base year: FY1990/91 Methodology used to derive volumes: Other Formula used to derive volumes: Not applicable Chain-weighted: No Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bangladesh taka Data last updated: 09/2021",24.832,16.823,4.138,-3.273,0.032,1.466,-0.997,3.88,15.23,17.6,4.772,-4.158,4.59,9.941,14.902,18.825,8.174,1.747,12.405,-4.754,8.311,16.271,-8.919,9.283,4.481,12.13,9.4,11.673,18.237,8.29,1.828,41.218,-0.65,4.249,11.652,6.964,11.556,7.31,20.608,4.37,-3.577,9.085,-1.35,7.911,4.249,4.408,6.676,2019.0
696,316,BRB,TM_RPCH,Barbados,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. Exports rise in 2011 due to merchandising being included in the BOP accounts that year. Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: WEO deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Barbados dollar Data last updated: 08/2021",10.946,12.376,0.426,11.763,8.577,-6.507,0.705,-15.004,5.377,15.818,-1.486,31.596,-43.556,14.214,10.841,16.567,1.189,20.571,12.184,2.319,-6.125,0.403,-0.615,2.2,9.766,4.053,-2.442,-3.403,-6.009,-9.808,-1.784,-10.344,-4.224,0.587,0.801,14.621,5.901,-5.991,-6.711,6.189,-10.913,1.079,9.33,5.308,3.469,2.475,3.548,2019.0
786,124,BEL,TM_RPCH,Belgium,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Weighted average of volume changes Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",-1.5,-1.734,1.872,-0.968,6.161,0.553,3.899,6.837,10.74,10.041,4.837,2.807,3.146,0.54,7.353,9.572,4.221,8.908,5.561,2.681,12.157,1.409,7.384,0.604,7.0,5.059,4.607,6.022,-2.277,-11.842,7.19,4.313,-1.601,0.387,1.904,1.027,5.54,-0.245,1.29,-0.594,-7.254,6.366,6.734,4.492,3.956,3.81,3.835,2020.0
921,514,BTN,TM_RPCH,Bhutan,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: FY2019/20 Base year: FY2005/06 Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2021,21.258,21.614,6.003,2.658,5.228,-24.039,22.11,-4.87,-0.691,5.091,-34.132,0.32,-38.605,39.092,-32.71,1.457,9.964,15.277,30.857,8.568,-10.145,1.263,12.406,12.516,6.556,48.742,-14.183,9.603,19.982,-16.627,30.544,29.812,-15.624,-17.451,-6.273,-0.976,0.11,1.467,-8.796,1.993,-9.275,-24.791,18.84,0.776,0.939,3.523,-2.697,2020.0
966,218,BOL,TM_RPCH,Bolivia,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Other Chain-weighted: Yes, from 2006 Trade System: General trade Excluded items in trade: Re-exports; Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bolivian boliviano Data last updated: 08/2021",-29.331,8.216,-25.206,-13.157,24.238,20.773,8.944,7.734,-0.176,0.322,10.243,12.589,9.924,-0.728,-0.645,8.92,7.94,13.539,0.0,-10.65,6.143,-7.085,10.405,-0.638,11.534,11.764,13.377,18.098,20.168,-5.528,8.836,27.017,8.536,15.81,11.52,4.404,-7.893,4.696,2.797,-0.39,-23.801,18.168,7.025,7.185,4.405,5.252,5.337,2020.0
