,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
203,614,AGO,TX_RPCH,Angola,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2021",-3.0,8.0,-12.9,4.6,12.5,-5.9,-33.8,54.3,7.0,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.112,6.721,-1.971,-1.252,-10.724,-5.925,-7.335,-0.261,0.518,0.224,1.741,3.814,-0.465,2020.0
293,213,ARG,TX_RPCH,Argentina,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2020 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2021",43.237,5.204,3.947,2.582,-2.591,15.554,-9.975,-3.519,18.728,7.472,16.833,-5.105,2.105,2.385,17.375,25.559,6.395,15.133,12.705,-2.148,1.867,6.132,0.238,5.016,0.003,11.55,4.559,5.96,-0.951,-10.783,13.701,2.292,-5.837,-3.688,-7.786,-1.633,6.807,-0.132,-0.264,12.155,-13.124,6.751,6.839,5.664,4.662,3.673,3.561,2020.0
428,193,AUS,TX_RPCH,Australia,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2021",-0.915,-3.403,8.771,-4.36,16.092,10.397,3.625,12.119,7.3,3.292,7.513,12.995,6.299,8.41,7.939,5.58,10.286,11.96,0.22,4.725,11.59,3.024,0.782,-1.114,3.703,3.38,3.407,3.406,4.399,1.988,5.717,-0.143,5.414,5.826,6.943,6.534,6.9,3.45,5.105,3.358,-10.132,-0.971,5.642,7.955,3.918,2.101,1.992,2020.0
473,122,AUT,TX_RPCH,Austria,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",5.227,5.063,1.591,3.638,6.334,7.1,-2.348,3.101,10.2,10.544,8.572,2.937,1.319,-2.373,5.688,7.205,9.979,11.028,7.852,6.434,13.525,5.771,4.286,0.531,8.661,6.665,7.576,7.572,2.171,-14.368,13.131,5.935,1.438,0.641,2.888,3.049,2.988,4.898,5.549,2.943,-11.006,7.69,5.252,3.156,2.994,2.112,1.97,2019.0
563,313,BHS,TX_RPCH,The Bahamas,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports;. In Trade we excluded imports and re-exports of bunker fuel for aviation, but included it in the BOP. Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahamian dollar Data last updated: 09/2021",9.582,-5.893,-1.704,7.095,2.953,16.119,4.161,1.382,-3.919,3.002,0.923,-16.887,-3.076,14.988,2.14,0.96,2.056,1.667,1.162,17.743,10.418,-12.932,9.897,-3.563,7.138,9.131,0.816,5.879,-3.745,-21.123,3.208,0.211,8.269,-0.883,-2.734,-5.097,4.44,5.157,23.54,5.759,-67.748,22.303,71.27,25.769,15.138,5.115,2.545,2020.0
653,513,BGD,TX_RPCH,Bangladesh,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: FY2018/19 Base year: FY1990/91 Methodology used to derive volumes: Other Formula used to derive volumes: Not applicable Chain-weighted: No Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bangladesh taka Data last updated: 09/2021",11.2,24.015,19.6,8.798,-1.721,-4.942,15.455,25.927,10.942,11.478,14.358,10.184,15.718,14.57,14.769,11.764,10.197,27.091,14.396,6.722,5.177,13.357,-3.563,5.527,7.408,11.119,18.119,11.53,11.952,10.32,5.482,28.995,3.576,13.38,12.303,5.838,15.3,1.71,6.359,13.988,-12.57,9.39,3.598,6.45,5.345,5.385,5.797,2019.0
698,316,BRB,TX_RPCH,Barbados,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank. Exports rise in 2011 due to merchandising being included in the BOP accounts that year. Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: WEO deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Barbados dollar Data last updated: 08/2021",11.572,-8.194,8.08,7.196,16.277,-7.078,-16.085,-14.016,4.412,12.884,4.042,16.467,-8.49,0.909,9.339,2.562,7.492,6.595,5.489,5.905,6.918,-2.515,-2.264,9.786,2.68,20.106,4.201,7.292,-4.701,-13.675,4.601,-7.312,-6.566,2.831,-3.027,8.182,11.417,0.36,-1.636,7.878,-37.658,23.175,16.726,6.467,4.795,4.063,4.138,2019.0
788,124,BEL,TX_RPCH,Belgium,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Weighted average of volume changes Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2021",1.3,3.578,3.555,3.859,5.595,0.228,2.288,4.561,10.295,8.776,4.579,2.789,2.379,0.887,8.998,5.524,3.717,9.994,4.759,4.486,11.807,2.134,7.974,-0.231,7.202,4.125,5.008,4.886,-2.475,-10.88,8.474,4.342,-0.862,2.353,1.613,1.359,3.49,1.095,0.971,-0.055,-7.085,7.404,5.572,4.11,3.64,3.482,3.437,2020.0
833,339,BLZ,TX_RPCH,Belize,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: Customs Authority Latest actual data: 2020 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Belize dollar Data last updated: 09/2021",0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.303,-5.186,-1.097,1.564,12.604,3.332,19.922,4.447,4.688,11.716,13.339,6.606,12.838,27.314,-14.077,1.976,-6.205,10.21,4.039,8.437,0.724,0.691,-3.138,-7.96,4.477,4.474,2.116,-34.739,16.963,19.061,14.473,1.914,2.0,2.0,2020.0
878,638,BEN,TX_RPCH,Benin,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2019 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 07/2021,-2.629,5.198,1.976,-2.0,0.4,71.615,12.407,9.833,12.046,14.006,17.875,59.747,2.31,8.242,-13.535,58.119,-10.459,38.718,-30.73,2.836,37.519,-2.272,14.595,39.962,-8.089,3.516,16.699,45.018,5.566,-3.983,6.302,-14.185,16.662,28.052,13.481,-8.146,21.953,3.943,4.157,-12.058,-14.187,20.684,12.837,16.017,12.016,11.166,10.335,2019.0
