,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-5.2,,,,,,,,,
1,1980-02,-1.8,,,94.0,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,14.9,,,25.0,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,24.0,,,,,,,,,
6,1980-07,25.9,,,,,,,,,
7,1980-08,24.2,,,4.0,,,,,,
8,1980-09,19.9,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,7.9,,,1.0,,,,,,
11,1980-12,3.7,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,-0.8,,,101.0,,,,,,
14,1981-03,7.9,,,61.0,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,12.5,,,11.0,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,2.2,,,35.0,,,,,,
24,1982-01,0.6,,,8.0,,,,,,
25,1982-02,-3.6,,,70.0,,,,,,
26,1982-03,3.8,,,80.0,,,,,,
27,1982-04,14.5,,,1.0,,,,,,
28,1982-05,17.9,,,18.0,,,,,,
29,1982-06,23.2,,,0.0,,,,,,
30,1982-07,25.4,,,0.0,,,,,,
31,1982-08,24.9,,,0.0,,,,,,
32,1982-09,19.2,,,1.0,,,,,,
33,1982-10,13.7,,,13.0,,,,,,
34,1982-11,6.7,,,49.0,,,,,,
35,1982-12,-0.8,,,24.0,,,,,,
36,1983-01,-1.4,,,14.0,,,,,,
37,1983-02,,,,88.0,,,,,,
38,1983-03,3.6,,,84.0,,,,,,
39,1983-04,11.4,,,47.0,,,,,,
40,1983-05,19.1,,,8.0,,,,,,
41,1983-06,22.9,,,0.0,,,,,,
42,1983-07,25.5,,,0.0,,,,,,
43,1983-08,25.2,,,0.0,,,,,,
44,1983-09,21.7,,,0.0,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,0.6,,,9.0,,,,,,
48,1984-01,-1.9,,,13.0,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,20.2,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,-1.6,,,29.0,,,,,,
61,1985-02,4.0,,,12.0,,,,,,
62,1985-03,10.3,,,14.0,,,,,,
63,1985-04,12.6,,,52.0,,,,,,
64,1985-05,16.8,,,18.0,,,,,,
65,1985-06,23.9,,,0.0,,,,,,
66,1985-07,24.0,,,0.0,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,21.0,,,0.0,,,,,,
69,1985-10,13.5,,,0.0,,,,,,
70,1985-11,7.3,,,0.5,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,0.0,,,0.0,,,,,,
73,1986-02,2.0,,,22.0,,,,,,
74,1986-03,5.8,,,120.0,,,,,,
75,1986-04,,,,26.0,,,,,,
76,1986-05,,,,28.0,,,,,,
77,1986-06,,,,0.0,,,,,,
78,1986-07,,,,4.0,,,,,,
79,1986-08,,,,7.0,,,,,,
80,1986-09,,,,1.0,,,,,,
81,1986-10,,,,0.0,,,,,,
82,1986-11,,,,27.0,,,,,,
83,1986-12,,,,18.0,,,,,,
84,1987-01,,,,0.0,,,,,,
85,1987-02,2.1,,,10.0,,,,,,
86,1987-03,,,,123.0,,,,,,
87,1987-04,,,,21.0,,,,,,
88,1987-05,,,,42.0,,,,,,
89,1987-06,22.3,,,6.0,,,,,,
90,1987-07,25.3,,,0.0,,,,,,
91,1987-08,,,,0.0,,,,,,
92,1987-09,,,,0.0,,,,,,
93,1987-10,,,,19.0,,,,,,
94,1987-11,,,,0.0,,,,,,
95,1987-12,,,,15.0,,,,,,
96,1988-01,,,,47.0,,,,,,
97,1988-02,,,,23.0,,,,,,
98,1988-03,,,,136.0,,,,,,
99,1988-04,,,,26.0,,,,,,
100,1988-05,,,,2.0,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,,,,12.0,,,,,,
104,1988-09,,,,0.0,,,,,,
105,1988-10,,,,0.0,,,,,,
106,1988-11,,,,0.0,,,,,,
107,1988-12,,,,55.0,,,,,,
108,1989-01,,,,,,,,,,
109,1989-02,-1.4,,,51.0,,,,,,
110,1989-03,6.4,,,114.0,,,,,,
111,1989-04,11.7,,,41.0,,,,,,
112,1989-05,17.2,,,9.0,,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,,,,,,,,,,
115,1989-08,,,,,,,,,,
116,1989-09,,,,,,,,,,
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
119,1989-12,,,,,,,,,,
120,1990-01,,,,,,,,,,
121,1990-02,,,,,,,,,,
122,1990-03,,,,,,,,,,
123,1990-04,,,,,,,,,,
124,1990-05,,,,,,,,,,
125,1990-06,,,,,,,,,,
126,1990-07,26.5,,,0.0,,,,,,22800.0
