,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.5,24.0,30.6,247.0,0.0,,,68.4,1008.5,7002.0
1,1980-02,27.2,24.4,30.9,190.0,0.0,,,70.2,1008.8,9252.0
2,1980-03,27.9,24.8,31.0,377.0,0.0,,,87.1,1007.4,8550.0
3,1980-04,28.0,25.1,30.9,166.0,0.0,,,76.0,1009.1,3660.0
4,1980-05,26.4,24.0,28.9,495.0,0.0,,,61.2,1010.7,522.0
5,1980-06,27.0,25.0,28.9,302.0,0.0,,,50.0,1011.7,5178.0
6,1980-07,26.2,23.8,28.6,105.0,0.0,,,53.6,1012.3,5250.0
7,1980-08,26.4,24.2,28.5,355.0,0.0,,,61.2,1012.9,6462.0
8,1980-09,26.8,24.5,29.0,393.0,0.0,,,57.2,1012.3,2622.0
9,1980-10,24.8,24.0,29.0,114.0,0.0,,,53.6,1016.8,5868.0
10,1980-11,27.7,24.9,30.4,192.0,0.0,,,53.6,1009.7,6438.0
11,1980-12,26.9,24.4,30.8,342.0,0.0,,,51.8,1009.4,4956.0
12,1981-01,27.6,24.5,30.7,362.0,0.0,,,53.6,1008.2,1662.0
13,1981-02,27.1,23.9,30.3,361.0,0.0,,,77.8,1006.6,1416.0
14,1981-03,27.0,23.8,30.2,644.0,0.0,,,63.0,1009.8,6486.0
15,1981-04,26.8,24.0,29.6,559.0,0.0,,,79.6,1010.2,1164.0
16,1981-05,27.0,24.7,29.2,235.0,0.0,,,57.2,1011.8,2376.0
17,1981-06,26.2,23.7,28.6,241.0,0.0,,,57.2,1012.4,4014.0
18,1981-07,26.1,24.3,27.9,259.0,0.0,,,57.2,1012.6,5526.0
19,1981-08,26.2,23.6,28.8,270.0,0.0,,17.6,44.3,1012.5,7728.0
20,1981-09,27.0,24.2,29.7,103.0,0.0,,17.8,53.6,1012.3,11322.0
21,1981-10,26.6,24.3,28.8,416.0,0.0,,19.8,64.8,1011.5,5514.0
22,1981-11,27.1,24.4,29.8,256.0,0.0,,16.0,53.6,1010.1,9966.0
23,1981-12,27.2,24.2,30.2,497.0,0.0,,15.3,64.8,1008.6,11802.0
24,1982-01,27.8,24.6,30.9,231.0,0.0,,16.3,85.0,1009.6,9198.0
25,1982-02,26.9,24.1,29.6,768.0,0.0,,19.7,90.7,1007.8,5460.0
26,1982-03,27.9,25.0,30.9,195.0,0.0,,18.9,85.0,1009.8,13554.0
27,1982-04,27.7,23.9,31.3,105.0,0.0,,10.3,50.0,1010.5,13338.0
28,1982-05,27.1,24.3,29.9,201.0,0.0,,17.8,72.0,1011.2,9960.0
29,1982-06,26.9,24.2,29.5,107.0,0.0,,19.7,50.0,1011.9,10440.0
30,1982-07,25.9,23.1,28.8,177.0,0.0,,19.0,59.0,1011.8,6960.0
31,1982-08,26.1,23.9,28.3,411.0,0.0,,21.9,55.4,1011.2,4200.0
32,1982-09,26.2,24.0,28.4,161.0,0.0,,23.8,57.2,1012.7,6900.0
33,1982-10,27.1,24.9,29.2,111.0,0.0,,21.9,50.0,1011.8,6000.0
34,1982-11,26.8,24.7,28.8,161.0,0.0,104.4,26.6,57.2,1010.1,8280.0
35,1982-12,27.3,24.6,29.9,72.0,0.0,,18.1,50.0,1009.8,15060.0
36,1983-01,27.8,25.4,30.3,240.0,0.0,,17.1,46.4,1007.5,9600.0
37,1983-02,28.6,26.0,31.2,307.0,0.0,,16.8,51.8,1008.8,6990.0
38,1983-03,27.7,24.8,30.5,154.0,0.0,,14.6,63.0,1010.1,9000.0
39,1983-04,27.3,25.1,29.4,279.0,0.0,,20.2,61.2,1011.3,6120.0
40,1983-05,27.3,24.8,29.7,41.0,0.0,,18.7,51.8,1012.5,6480.0
41,1983-06,26.5,24.1,28.8,69.0,0.0,,21.0,53.6,1013.0,4920.0
42,1983-07,25.9,23.1,28.7,28.0,0.0,,23.4,63.0,1012.5,8940.0
43,1983-08,25.7,23.3,28.1,54.0,0.0,,24.8,64.8,1014.7,8760.0
44,1983-09,26.8,24.5,29.0,198.0,0.0,,23.8,63.0,1013.9,10380.0
45,1983-10,26.4,24.0,28.8,182.0,0.0,,21.3,53.6,1012.3,7860.0
46,1983-11,26.8,24.1,29.6,336.0,0.0,,15.6,46.4,1011.0,10860.0
47,1983-12,27.4,24.7,30.2,331.0,0.0,,16.0,87.1,1009.6,4740.0
48,1984-01,27.1,23.8,30.4,246.0,0.0,,12.7,59.0,1010.0,4800.0
49,1984-02,27.5,23.9,31.1,204.0,0.0,,12.0,90.7,1009.0,6600.0
50,1984-03,27.4,24.3,30.4,491.0,0.0,,10.9,,1009.0,300.0
51,1984-04,27.5,24.3,30.8,170.0,0.0,,12.4,61.2,1010.8,10620.0
52,1984-05,27.7,25.4,29.8,122.0,0.0,,21.7,53.6,1011.5,10440.0
53,1984-06,27.0,25.3,28.6,189.0,0.0,,26.1,63.0,1012.4,6000.0
54,1984-07,26.1,24.0,28.2,47.0,0.0,,26.2,63.0,1013.0,9600.0
55,1984-08,26.6,24.3,28.7,108.0,0.0,,21.5,61.2,1012.5,8700.0
56,1984-09,26.4,23.8,29.0,133.0,0.0,,20.7,61.2,1012.6,10168.0
57,1984-10,26.4,24.0,28.8,386.0,0.0,,21.5,55.4,1012.2,7860.0
58,1984-11,27.2,24.4,30.0,205.0,0.0,,17.5,51.8,1010.9,7200.0
59,1984-12,26.8,23.9,29.7,685.0,0.0,,14.4,90.7,1006.1,5460.0
60,1985-01,26.8,23.9,29.8,424.0,0.0,,16.1,76.0,1008.2,9240.0
61,1985-02,27.5,24.7,30.4,210.0,0.0,,16.2,57.2,1008.8,10320.0
62,1985-03,27.9,24.8,31.0,127.0,0.0,,16.0,64.8,1008.5,12780.0
63,1985-04,27.1,24.0,30.2,474.0,0.0,,16.5,66.6,1010.5,9120.0
64,1985-05,26.9,24.5,29.4,264.0,0.0,,17.1,70.2,1009.8,7020.0
65,1985-06,26.7,24.6,28.8,320.0,0.0,,20.7,57.2,1011.7,6420.0
66,1985-07,26.4,24.2,28.6,98.0,0.0,,22.5,77.8,1012.8,7560.0
67,1985-08,26.6,24.6,28.6,146.0,0.0,,26.5,68.4,1013.2,8760.0
68,1985-09,26.6,24.6,28.4,243.0,0.0,,24.2,61.2,1012.9,6300.0
69,1985-10,27.2,24.7,29.5,264.0,0.0,,19.7,63.0,1011.8,11640.0
70,1985-11,26.9,24.3,29.6,235.0,0.0,,18.2,61.2,1009.9,11220.0
71,1985-12,27.6,24.2,31.0,159.0,0.0,,12.1,50.0,1009.0,11760.0
72,1986-01,27.3,24.5,30.1,632.0,0.0,,16.2,87.1,1007.5,8400.0
73,1986-02,27.6,24.3,30.8,241.0,0.0,,12.9,94.3,1008.2,10080.0
74,1986-03,27.8,24.7,31.0,175.0,0.0,,13.5,63.0,1010.4,12720.0
75,1986-04,27.3,24.3,30.3,478.0,0.0,,13.5,79.6,1009.3,6120.0
76,1986-05,26.9,24.7,29.3,313.0,0.0,,20.2,63.0,1011.4,7320.0
77,1986-06,27.1,24.4,29.7,145.0,0.0,,19.0,64.8,1011.2,7451.0
78,1986-07,26.3,24.2,28.3,222.0,0.0,,23.4,59.0,1012.0,6060.0
79,1986-08,25.7,23.6,27.8,128.0,0.0,,21.6,66.6,1011.6,6300.0
80,1986-09,26.6,24.1,29.1,244.0,0.0,,20.6,61.2,1011.7,8400.0
81,1986-10,27.3,24.8,29.8,222.0,0.0,,18.2,68.4,1012.8,8760.0
82,1986-11,27.6,25.2,30.1,224.0,0.0,,19.2,48.2,1009.5,8520.0
83,1986-12,27.6,24.9,30.3,574.0,0.0,,18.5,59.0,1007.8,10044.0
84,1987-01,27.6,24.8,30.4,433.0,0.0,,13.8,68.4,1006.9,9180.0
85,1987-02,28.1,25.4,30.8,381.0,0.0,,14.8,90.7,1007.1,8220.0
86,1987-03,27.9,25.2,30.6,256.0,0.0,,13.8,61.2,1010.6,11460.0
87,1987-04,27.8,25.7,29.9,205.0,0.0,,21.5,66.6,1009.7,6060.0
88,1987-05,26.9,24.9,28.9,130.0,0.0,,22.0,64.8,1011.4,6540.0
