,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,25.1,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,16.4,,,,,,,,,
5,1980-06,11.7,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,12.9,,,,,,,,,
8,1980-09,14.9,,,,,,,,,
9,1980-10,17.0,,,,,,,,,
10,1980-11,19.3,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,23.8,,,,,,,,,
13,1981-02,24.4,,,,,,,,,
14,1981-03,21.4,,,,,,,,,
15,1981-04,18.8,,,,,,,,,
16,1981-05,17.8,,,,,,,,,
17,1981-06,11.0,,,,,,,,,
18,1981-07,11.1,,,,,,,,,
19,1981-08,14.2,,,,,,,,,
20,1981-09,13.7,,,,,,,,,
21,1981-10,17.2,,,,,,,,,
22,1981-11,20.1,,,,,,,,,
23,1981-12,23.3,,,,,,,,,
24,1982-01,24.2,,,,,,,,,
25,1982-02,22.7,,,163.0,,,,,1012.6,12720.0
26,1982-03,22.7,,,,,,,,,
27,1982-04,19.4,,,67.0,,,,,1018.3,8700.0
28,1982-05,16.5,,,80.0,,,,,,9960.0
29,1982-06,11.6,,,100.0,,,,,1016.0,4440.0
30,1982-07,11.2,,,66.0,,,,,1016.4,6960.0
31,1982-08,13.0,,,32.0,,,,,1018.0,9060.0
32,1982-09,15.3,,,201.0,,,,,1018.3,8400.0
33,1982-10,17.4,,,141.0,,,,,1012.3,13320.0
34,1982-11,19.3,,,30.0,,,,,1006.7,13140.0
35,1982-12,24.5,,,78.0,,,,,1011.3,14640.0
36,1983-01,25.8,,,84.0,,,,,1009.4,14520.0
37,1983-02,23.2,,,66.0,,,,,1013.0,13200.0
38,1983-03,21.3,,,46.0,,,,,1014.2,12660.0
39,1983-04,18.1,,,54.0,,,,,1013.9,9600.0
40,1983-05,14.9,,,40.0,,,,,1015.1,8400.0
41,1983-06,9.8,,,22.0,,,,,1017.8,8040.0
42,1983-07,10.1,,,11.0,,,,,1018.0,8280.0
43,1983-08,10.6,,,85.0,,,,,1019.5,9240.0
44,1983-09,13.5,,,58.0,,,,,1018.4,12960.0
45,1983-10,18.4,,,130.0,,,,,1015.2,14520.0
46,1983-11,20.5,,,67.0,,,,,1014.3,11220.0
47,1983-12,23.4,,,145.0,,,,,1012.2,14100.0
48,1984-01,25.4,,,183.0,,,,,1009.8,14340.0
49,1984-02,24.3,,,237.0,,,,,1009.4,12300.0
50,1984-03,22.0,,,63.0,,,,,1015.0,14760.0
51,1984-04,17.1,,,75.0,,,,,1016.2,
52,1984-05,13.8,,,46.0,,,,,1012.2,8040.0
53,1984-06,9.8,,,64.0,,,,,1018.6,6600.0
54,1984-07,9.7,,,52.0,,,,,1018.3,7320.0
55,1984-08,10.9,,,10.0,,,,,1020.8,12060.0
56,1984-09,14.1,,,42.0,,,,,1017.8,7500.0
57,1984-10,18.8,,,174.0,,,,,1013.5,14040.0
58,1984-11,20.1,,,52.0,,,,,1013.8,14940.0
59,1984-12,20.5,,,70.0,,,,,1012.2,16440.0
60,1985-01,24.2,,,87.0,,,,,1009.2,16980.0
61,1985-02,,,,,,,,,,
