,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-3.4,-6.9,1.2,18.9,,,,,,
1,1980-02,-1.0,-5.2,4.5,7.5,,,,,,
2,1980-03,5.7,0.7,11.8,13.0,,,,,,
3,1980-04,12.1,6.1,18.8,43.4,,,,,,
4,1980-05,18.4,10.9,26.0,21.7,,,,,,
5,1980-06,23.5,15.4,31.4,1.9,,,,,,
6,1980-07,28.2,20.7,36.1,14.0,,,,,,
7,1980-08,25.0,17.5,32.5,9.2,,,,,,
8,1980-09,20.0,12.0,28.3,3.3,,,,,,
9,1980-10,12.8,6.1,20.5,7.0,,,,,,
10,1980-11,7.9,3.2,13.9,25.4,,,,,,
11,1980-12,2.9,-1.5,8.8,3.8,,,,,,
12,1981-01,0.5,-4.0,6.4,7.8,,,,,,
13,1981-02,4.3,0.0,9.8,25.7,,,,,,
14,1981-03,8.1,3.2,13.9,28.9,,,,,,
15,1981-04,10.6,5.2,16.8,49.5,,,,,,
16,1981-05,15.1,9.4,21.7,59.9,,,,,,
17,1981-06,21.6,14.7,28.3,13.2,,,,,,
18,1981-07,26.5,18.7,33.8,0.5,,,,,,
19,1981-08,25.2,17.6,32.4,10.6,,,,,,
20,1981-09,21.7,13.3,29.7,0.0,,,,,,
21,1981-10,14.8,8.0,22.7,17.5,,,,,,
22,1981-11,4.7,-0.2,10.9,31.4,,,,,,
23,1981-12,3.5,-0.3,8.4,18.0,,,,,,
24,1982-01,-2.8,-6.9,2.2,10.4,,,,,,
25,1982-02,-2.1,-6.3,3.2,11.4,,,,,,
26,1982-03,3.9,-1.8,10.2,40.5,,,,,,
27,1982-04,14.1,7.8,20.7,26.1,,,,,,
28,1982-05,17.4,11.6,24.0,44.3,,,,,,
29,1982-06,21.5,14.1,28.8,15.2,,,,,,
30,1982-07,25.3,17.6,33.2,18.1,,,,,,
31,1982-08,24.1,16.0,31.4,2.5,,,,,,
32,1982-09,20.9,13.0,28.7,9.0,,,,,,
33,1982-10,12.2,6.3,19.6,29.6,,,,,,
34,1982-11,3.2,-0.6,8.2,41.5,,,,,,
35,1982-12,-5.7,-7.7,-3.4,14.3,,,,,,
36,1983-01,-9.9,-14.2,-5.1,9.9,,,,,,
37,1983-02,-3.8,-7.2,0.5,18.3,,,,,,
38,1983-03,5.2,-0.1,11.2,22.7,,,,,,
39,1983-04,13.5,7.1,20.2,11.5,,,,,,
40,1983-05,17.8,12.1,24.3,30.8,,,,,,
41,1983-06,21.1,14.4,28.4,44.8,,,,,,
42,1983-07,26.6,18.8,34.5,1.6,,,,,,
43,1983-08,24.9,17.4,32.6,9.4,,,,,,
44,1983-09,19.8,12.3,27.9,8.4,,,,,,
45,1983-10,12.9,6.1,20.7,30.9,,,,,,
46,1983-11,8.5,4.8,13.1,38.5,,,,,,
47,1983-12,1.1,-3.1,6.8,4.0,,,,,,
48,1984-01,0.0,-3.5,5.6,22.1,,,,,,
49,1984-02,-0.9,-4.9,4.5,31.1,,,,,,
50,1984-03,7.6,2.9,13.3,62.8,,,,,,
51,1984-04,12.7,6.7,19.4,31.2,,,,,,
52,1984-05,15.1,9.3,21.9,28.6,,,,,,
53,1984-06,22.4,14.7,30.3,5.8,,,,,,
54,1984-07,27.1,19.5,35.3,6.3,,,,,,
55,1984-08,24.4,16.9,31.9,5.4,,,,,,
56,1984-09,22.2,14.1,30.2,3.4,,,,,,
57,1984-10,13.0,6.2,20.7,33.0,,,,,,
58,1984-11,7.3,2.7,13.3,8.0,,,,,,
59,1984-12,-3.2,-5.8,1.1,14.6,,,,,,
60,1985-01,-3.8,-6.8,-0.1,48.6,,,,,,
61,1985-02,-2.0,-5.8,2.6,70.8,,,,,,
62,1985-03,-1.4,-6.1,4.3,10.7,,,,,,
63,1985-04,14.5,8.1,21.3,12.2,,,,,,
64,1985-05,19.3,12.1,27.1,19.6,,,,,,
65,1985-06,23.7,15.3,32.1,7.9,,,,,,
66,1985-07,24.3,17.0,32.6,14.4,,,,,,
67,1985-08,25.7,17.4,33.9,2.6,,,,,,
68,1985-09,21.5,13.0,29.6,2.1,,,,,,
69,1985-10,12.5,6.1,19.9,13.9,,,,,,
70,1985-11,8.7,3.0,15.7,4.5,,,,,,
71,1985-12,-1.1,-4.4,3.7,34.2,,,,,,
72,1986-01,-2.6,-6.2,2.3,13.4,,,,,,
73,1986-02,1.6,-2.0,6.5,12.4,,,,,,
74,1986-03,5.0,-0.6,11.4,15.3,,,,,,
75,1986-04,14.6,9.2,21.4,24.1,,,,,,
76,1986-05,15.0,9.5,21.7,66.6,,,,,,
77,1986-06,21.1,14.5,28.1,31.0,,,,,,
78,1986-07,27.1,19.7,34.8,25.0,,,,,,
79,1986-08,26.8,18.9,34.2,0.0,,,,,,
80,1986-09,23.4,15.4,30.9,9.9,,,,,,
81,1986-10,13.5,7.5,20.7,19.9,,,,,,
82,1986-11,5.7,1.8,10.9,55.5,,,,,,
83,1986-12,0.1,-3.2,5.1,10.2,,,,,,
84,1987-01,2.4,-1.3,7.3,20.2,,,,,,
85,1987-02,3.4,-1.1,8.8,29.9,,,,,,
86,1987-03,4.2,-1.1,10.1,27.9,,,,,,
87,1987-04,10.9,4.6,17.5,37.1,,,,,,
88,1987-05,19.7,12.1,27.1,31.8,,,,,,
89,1987-06,24.1,16.5,32.0,8.1,,,,,,
90,1987-07,26.5,19.0,34.0,8.7,,,,,,
91,1987-08,24.8,17.2,32.5,12.3,,,,,,
92,1987-09,20.0,12.4,27.7,0.7,,,,,,
93,1987-10,10.4,5.6,16.5,81.6,,,,,,
94,1987-11,4.9,0.3,11.0,19.6,,,,,,
95,1987-12,1.0,-2.2,5.3,69.5,,,,,,
96,1988-01,-4.4,-7.3,-1.0,25.7,,,,,,
97,1988-02,0.8,-2.3,4.8,6.7,,,,,,
98,1988-03,6.3,1.2,12.7,27.4,,,,,,
99,1988-04,,6.5,19.3,18.5,,,,,,
100,1988-05,16.0,10.0,23.1,63.4,,,,,,
101,1988-06,20.6,14.0,28.1,45.1,,,,,,
102,1988-07,25.0,17.6,32.7,16.9,,,,,,
103,1988-08,23.5,16.9,31.2,10.1,,,,,,
104,1988-09,19.9,12.3,27.7,8.3,,,,,,
105,1988-10,13.7,8.0,20.7,24.2,,,,,,
106,1988-11,5.1,-0.1,11.6,10.2,,,,,,
107,1988-12,1.6,-1.9,6.1,32.1,,,,,,
108,1989-01,-6.6,-11.6,0.0,0.0,,,,,,
109,1989-02,-2.2,-7.3,3.9,3.4,,,,,,
110,1989-03,9.5,3.5,16.1,12.5,,,,,,
111,1989-04,16.5,9.0,24.4,23.9,,,,,,
112,1989-05,19.3,11.7,27.0,22.4,,,,,,
113,1989-06,23.8,15.9,32.1,13.9,,,,,,
114,1989-07,28.0,21.0,36.0,3.4,,,,,,
115,1989-08,26.9,19.6,34.5,12.7,,,,,,
116,1989-09,21.0,13.2,28.7,6.4,,,,,,
117,1989-10,13.7,8.7,19.7,56.7,,,,,,
118,1989-11,,3.0,12.6,28.7,,,,,,
119,1989-12,1.5,-2.6,7.2,14.0,,,,,,
120,1990-01,-7.0,-10.5,-2.4,32.2,,,,,,
121,1990-02,-1.4,-5.4,3.7,4.4,,,,,,
122,1990-03,6.5,-0.3,13.9,0.3,,,,,,
123,1990-04,11.3,6.0,17.5,51.6,,,,,,
124,1990-05,17.3,10.6,24.6,22.1,,,,,,
125,1990-06,22.8,14.9,30.4,8.0,,,,,,
126,1990-07,27.1,20.0,34.5,4.0,,,,,,
127,1990-08,25.0,17.6,32.7,4.2,,,,,,
128,1990-09,21.9,13.3,30.8,0.9,,,,,,
129,1990-10,13.3,6.8,21.6,29.9,,,,,,
130,1990-11,7.5,2.3,14.6,23.2,,,,,,
131,1990-12,1.2,-2.4,5.6,13.5,,,,,,
132,1991-01,-3.0,-5.7,1.0,52.0,,,,,,
133,1991-02,-1.9,-5.4,2.7,16.0,,,,,,
134,1991-03,5.6,1.7,10.6,65.0,,,,,,
135,1991-04,13.6,8.5,19.9,22.0,,,,,,
136,1991-05,15.3,9.5,21.3,39.0,,,,,,
137,1991-06,21.6,15.6,28.5,30.0,,,,,,
138,1991-07,25.0,18.6,32.9,12.0,,,,,,
139,1991-08,24.9,18.6,32.1,11.0,,,,,,
140,1991-09,20.3,13.0,27.6,1.0,,,,,,
141,1991-10,14.8,9.6,21.5,32.0,,,,,,
142,1991-11,6.2,2.8,11.0,86.0,,,,,,
143,1991-12,-0.1,-2.8,1.7,31.0,,,,,,
144,1992-01,-6.3,-8.7,-2.8,31.0,,,,,,
145,1992-02,-3.2,-6.1,0.9,50.0,,,,,,
146,1992-03,2.2,-2.0,7.3,28.0,,,,,,
147,1992-04,10.6,5.1,17.2,18.0,,,,,,
148,1992-05,14.3,8.9,20.8,33.0,,,,,,
149,1992-06,18.7,13.2,25.7,42.0,,,,,,
150,1992-07,23.0,16.7,30.5,21.0,,,,,,
151,1992-08,22.3,16.2,29.2,18.0,,,,,,
152,1992-09,18.1,12.0,25.0,35.0,,,,,,
153,1992-10,13.7,8.0,20.5,5.0,,,,,,
154,1992-11,5.0,0.9,9.4,62.0,,,,,,
155,1992-12,-1.0,-3.1,1.4,36.0,,,,,,
156,1993-01,-5.6,-8.2,-2.0,25.0,,,,,,
157,1993-02,-4.6,-6.7,-1.8,45.0,,,,,,
158,1993-03,3.1,-0.8,8.3,15.0,,,,,,
159,1993-04,10.3,6.3,15.7,47.0,,,,,,
160,1993-05,15.0,10.4,21.0,74.0,,,,,,
161,1993-06,20.7,14.8,27.5,12.0,,,,,,
162,1993-07,24.6,18.8,31.7,15.0,,,,,,
163,1993-08,23.7,17.8,30.7,34.0,,,,,,
164,1993-09,20.2,13.5,27.9,5.0,,,,,,
165,1993-10,12.9,7.2,19.7,24.0,,,,,,
166,1993-11,1.2,-0.5,4.0,67.0,,,,,,
167,1993-12,-3.7,-5.2,-1.5,22.0,,,,,,
168,1994-01,-1.9,-4.1,1.0,35.0,,,,,,
169,1994-02,-2.4,-5.0,0.9,59.0,,,,,,
170,1994-03,5.4,1.8,10.4,41.0,,,,,,
171,1994-04,14.3,9.4,20.5,68.0,,,,,,
172,1994-05,16.1,11.2,22.3,61.0,,,,,,
173,1994-06,20.3,14.6,27.4,43.0,,,,,,
174,1994-07,23.7,18.5,30.8,8.0,,,,,,
175,1994-08,23.9,18.1,31.4,3.0,,,,,,
176,1994-09,20.4,14.6,27.7,20.0,,,,,,
177,1994-10,14.1,9.8,20.1,17.0,,,,,,
178,1994-11,6.3,3.3,10.6,64.0,,,,,,
179,1994-12,-5.0,-7.1,-2.5,37.0,,,,,,
180,1995-01,-0.2,-4.1,0.7,27.0,,,,,,
181,1995-02,0.4,-2.1,4.2,7.0,,,,,,
182,1995-03,7.4,3.1,13.3,2.0,,,,,,
183,1995-04,11.9,7.6,17.1,38.0,,,,,,
184,1995-05,18.2,12.9,24.5,45.0,,,,,,
185,1995-06,21.6,16.1,28.5,22.0,,,,,,
186,1995-07,24.6,19.0,31.7,6.0,,,,,,
187,1995-08,26.7,19.7,32.3,1.0,,,,,,
188,1995-09,20.2,14.7,27.0,37.0,,,,,,
189,1995-10,12.1,7.3,18.1,5.0,,,,,,
190,1995-11,7.5,3.2,12.8,6.0,,,,,,
191,1995-12,0.8,-3.4,5.0,3.0,,,,,,
192,1996-01,-0.1,-3.0,1.7,40.0,,,,,,
193,1996-02,1.7,-2.1,6.6,24.0,,,,,,
194,1996-03,5.4,2.2,10.0,52.0,,,,,,
195,1996-04,10.9,6.6,16.1,86.0,,,,,,
196,1996-05,18.3,12.8,25.0,59.0,,,,,,
197,1996-06,20.4,14.1,27.4,20.0,,,,,,
198,1996-07,26.2,20.2,33.2,2.0,,,,,,
199,1996-08,25.7,19.8,32.9,0.5,,,,,,
200,1996-09,19.8,14.0,26.6,13.0,,,,,,
201,1996-10,13.3,8.6,19.2,15.0,,,,,,
202,1996-11,6.7,1.7,12.5,0.0,,,,,,
203,1996-12,5.1,2.2,8.7,30.0,,,,,,
204,1997-01,1.5,-2.5,6.1,5.0,,,,,,
205,1997-02,-0.2,-5.5,2.6,29.0,,,,,,
206,1997-03,2.3,-2.1,7.6,33.0,,,,,,
207,1997-04,11.2,5.8,17.2,21.0,,,,,,
208,1997-05,17.8,12.1,24.4,17.0,,,,,,
209,1997-06,21.6,15.4,29.2,15.0,,,,,,
210,1997-07,24.1,17.8,32.0,28.0,,,,,,
211,1997-08,26.0,19.5,33.9,11.0,,,,,,
212,1997-09,17.9,11.9,25.3,9.0,,,,,,
213,1997-10,14.6,10.1,21.1,40.0,,,,,,
214,1997-11,6.3,2.0,12.0,12.0,,,,,,
215,1997-12,-0.1,-2.5,3.3,32.0,,,,,,
216,1998-01,-3.7,-6.7,0.2,39.0,,,,,,
217,1998-02,-0.3,-7.1,2.0,22.0,,,,,,
218,1998-03,6.3,2.1,11.7,13.0,,,,,,
219,1998-04,14.1,8.9,20.2,28.0,,,,,,
220,1998-05,17.4,12.7,24.0,104.0,,,,,,
221,1998-06,24.3,18.4,31.3,22.0,,,,,,
222,1998-07,25.7,20.0,32.7,42.0,,,,,,
223,1998-08,26.0,19.5,34.2,4.0,,,,,,
224,1998-09,20.9,14.4,28.4,0.0,,,,,,
225,1998-10,15.2,9.6,22.6,8.0,,,,,,
226,1998-11,9.7,6.0,14.7,32.0,,,,,,
227,1998-12,4.1,0.7,8.5,8.0,,,,,,
228,1999-01,0.8,-2.8,6.0,1.0,,,,,,
229,1999-02,4.1,0.0,9.8,13.0,,,,,,
230,1999-03,7.3,2.6,13.2,25.0,,,,,,
231,1999-04,12.2,7.3,17.8,28.0,,,,,,
232,1999-05,16.9,10.8,24.1,32.0,,,,,,
233,1999-06,21.7,15.7,28.7,22.0,,,,,,
234,1999-07,24.9,19.3,32.4,37.0,,,,,,
235,1999-08,27.5,21.5,35.3,1.0,,,,,,
236,1999-09,19.7,14.4,26.5,13.0,,,,,,
237,1999-10,14.3,9.6,20.2,20.0,,,,,,
238,1999-11,6.6,2.6,10.9,10.0,,,,,,
239,1999-12,1.9,-1.6,6.5,6.0,,,,,,
240,2000-01,-1.7,-4.7,1.7,36.0,,,,,,
241,2000-02,-0.5,-4.2,4.3,5.0,,,,,,
242,2000-03,4.5,-0.1,10.8,7.0,,,,,,
243,2000-04,14.5,9.1,21.0,26.0,,,,,,
244,2000-05,16.0,10.3,22.8,47.0,,,,,,
245,2000-06,22.1,14.9,30.2,1.0,,,,,,
246,2000-07,28.7,22.3,36.4,4.0,,,,,,
247,2000-08,26.2,20.2,33.6,6.0,,,,,,
248,2000-09,21.5,15.2,28.9,2.0,,,,,,
249,2000-10,12.9,8.2,18.7,41.0,,,,,,
250,2000-11,6.6,2.3,12.2,2.0,,,,,,
251,2000-12,0.1,-1.5,3.8,36.0,,,,,,
252,2001-01,-2.9,-4.7,-0.3,7.0,,,,,,
253,2001-02,2.8,-1.3,8.7,15.0,,,,,,
254,2001-03,9.5,4.9,15.5,44.0,,,,,,
255,2001-04,12.9,8.0,18.4,66.0,,,,,,
256,2001-05,15.3,10.3,22.3,38.0,,,,,,
257,2001-06,22.9,,,14.0,,,,,,
258,2001-07,25.3,19.8,33.2,7.0,,,,,,
259,2001-08,26.2,20.0,33.9,6.0,,,,,,
260,2001-09,21.9,,,0.0,,,,,,
261,2001-10,12.4,5.5,19.9,,,,,,1017.5,
262,2001-11,5.0,0.9,10.4,26.0,,,,,,8880.0
263,2001-12,1.9,-0.5,5.1,45.0,,,,,,3780.0
264,2002-01,-2.6,-6.1,1.8,22.0,,,,,,
265,2002-02,3.5,-0.5,9.1,11.0,,,,,,12420.0
266,2002-03,7.7,3.5,13.1,23.0,,,,,,9720.0
267,2002-04,9.7,5.9,14.7,97.0,,,,,,
268,2002-05,14.6,9.9,20.4,56.0,,,,,,15480.0
269,2002-06,20.8,,,12.0,,,,,,16860.0
270,2002-07,25.1,,32.9,28.0,,,,,,20880.0
271,2002-08,24.8,,32.1,13.0,,,,,,20040.0
272,2002-09,22.6,,30.1,4.0,,,,,,17880.0
273,2002-10,15.4,10.9,21.5,42.0,,,,,,12840.0
274,2002-11,7.8,3.8,13.7,6.0,,,,,,11520.0
275,2002-12,-5.8,-8.2,-2.3,42.0,,,,,,4920.0
276,2003-01,-2.6,-4.8,0.8,24.0,,,,,,
277,2003-02,0.4,-2.2,4.3,40.0,,,,,,
278,2003-03,2.5,-0.9,7.0,80.0,,,,,,8940.0
279,2003-04,10.9,6.9,16.1,61.0,,,,,,
280,2003-05,17.9,12.3,24.6,23.0,,,,,,17760.0
281,2003-06,20.3,14.6,27.3,47.0,,,,,,20520.0
282,2003-07,24.3,19.0,32.2,30.0,,,,,,21780.0
283,2003-08,25.4,19.7,33.0,11.0,,,,,,19980.0
284,2003-09,20.4,14.6,27.2,14.0,,,,,,18000.0
285,2003-10,16.4,12.1,22.1,54.0,,,,,,11880.0
286,2003-11,6.1,2.7,10.7,64.0,,,,,,9960.0
287,2003-12,0.1,-2.3,3.7,23.0,,,,,,4980.0
288,2004-01,-1.9,-4.5,2.2,30.0,,,,,,
289,2004-02,1.5,-1.9,6.6,28.0,,,,,,7260.0
290,2004-03,8.4,3.7,14.4,19.0,,,,,,12720.0
291,2004-04,10.7,5.7,17.3,72.0,,,,,,13320.0
292,2004-05,15.8,11.2,22.1,53.0,,,,,,14160.0
293,2004-06,21.8,15.8,29.4,14.0,,,,,,
294,2004-07,24.4,18.8,32.2,11.0,,,,,,21840.0
295,2004-08,26.7,20.9,34.2,0.5,,,,,,21060.0
296,2004-09,21.2,15.5,28.5,4.0,,,,,,
297,2004-10,14.8,9.9,21.5,9.0,,,,,,14460.0
298,2004-11,7.1,3.5,12.0,37.0,,,,,,9060.0
299,2004-12,-3.9,-7.1,0.3,2.0,,,,,,5640.0
300,2005-01,-4.5,-7.5,-0.7,37.0,,,,,,6060.0
301,2005-02,-2.0,-5.1,2.5,13.0,,,,,,8820.0
302,2005-03,5.3,1.5,10.2,59.0,,,,,,9240.0
303,2005-04,13.4,8.9,19.5,78.0,,,,,,13020.0
304,2005-05,16.9,11.9,22.7,64.0,,,,,,
305,2005-06,20.8,15.3,27.9,35.0,,,,,,19560.0
306,2005-07,26.9,20.9,34.7,7.0,,,,,,20940.0
307,2005-08,26.3,21.2,33.6,1.0,,,,,,20340.0
308,2005-09,20.9,15.7,28.1,14.0,,,,,,
309,2005-10,14.3,9.5,20.6,13.0,,,,,,14640.0
310,2005-11,7.3,4.0,12.1,19.0,,,,,,9420.0
311,2005-12,0.9,,,17.0,,,,,,
312,2006-01,-4.0,-8.3,0.1,61.0,,,,,,4980.0
313,2006-02,-1.5,-4.4,2.7,46.0,,,,,,6120.0
314,2006-03,8.2,3.8,14.1,15.0,,,,,,
315,2006-04,13.1,9.2,17.7,78.0,,,,,,
316,2006-05,18.2,12.8,24.5,26.0,,,,,,18600.0
317,2006-06,25.9,19.7,33.8,3.0,,,,,,21660.0
318,2006-07,24.9,19.8,32.4,65.0,,,,,,
319,2006-08,25.9,19.7,33.8,3.0,,,,,,21660.0
320,2006-09,21.6,16.0,28.9,9.0,,,,,,
321,2006-10,15.2,11.5,20.7,45.0,,,,,,11700.0
