,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-3.1,-4.9,-0.8,25.0,90.0,,,,1019.4,2880.0
1,1980-02,2.6,0.1,5.9,38.0,90.0,,,,1022.8,5220.0
2,1980-03,4.2,1.5,8.0,39.0,90.0,,,,1013.0,5520.0
3,1980-04,7.3,3.9,11.4,125.0,10.0,,,,1014.6,7200.0
4,1980-05,12.5,8.0,17.3,18.0,0.0,,,,1013.4,14400.0
5,1980-06,17.7,13.3,22.5,52.0,0.0,,,,1012.0,11400.0
6,1980-07,18.5,14.3,23.5,73.0,0.0,,,,1012.4,10500.0
7,1980-08,19.2,14.9,24.4,40.0,0.0,,,,1015.8,12540.0
8,1980-09,14.7,11.3,19.1,40.0,0.0,,,,1020.7,7980.0
9,1980-10,9.5,6.3,14.0,73.0,0.0,,,,1014.2,6960.0
10,1980-11,3.4,0.9,6.7,75.0,90.0,,,,1018.2,3960.0
11,1980-12,1.3,-0.9,4.1,24.0,80.0,,,,1019.2,4980.0
12,1981-01,-0.8,-3.3,2.5,23.0,90.0,,,,1020.0,5520.0
13,1981-02,1.8,-0.3,5.0,19.0,90.0,,,,1020.4,6300.0
14,1981-03,8.7,5.3,13.1,21.0,10.0,,,,1012.3,7260.0
15,1981-04,9.9,5.4,15.2,21.0,0.0,,,,1017.1,11400.0
16,1981-05,15.2,10.4,20.3,43.0,0.0,,,,1012.8,11820.0
17,1981-06,19.1,14.5,24.2,48.0,0.0,,,,1015.4,12240.0
18,1981-07,19.5,14.8,24.8,83.0,0.0,,,,1015.1,12000.0
19,1981-08,19.7,15.3,25.2,38.0,0.0,,,,1016.9,14400.0
20,1981-09,15.6,11.9,20.5,99.0,0.0,,,,1017.4,9000.0
21,1981-10,10.7,7.6,14.5,44.0,0.0,,,,1014.0,6960.0
22,1981-11,5.5,3.3,8.3,57.0,40.0,,,,1022.2,3420.0
23,1981-12,-0.2,-2.5,2.5,70.0,70.0,,,,1004.8,2520.0
24,1982-01,-3.1,-5.2,-0.5,57.0,80.0,,,,1022.1,2400.0
25,1982-02,-1.1,-3.1,1.7,14.0,90.0,,,,1025.0,4320.0
26,1982-03,6.3,3.1,10.7,22.0,10.0,,,,1018.4,10200.0
27,1982-04,8.3,4.1,13.4,18.0,0.0,,,,1016.4,11700.0
28,1982-05,15.4,10.1,20.7,62.0,0.0,,,,1019.1,14700.0
29,1982-06,19.1,14.2,24.1,60.0,0.0,,,,1014.2,14280.0
30,1982-07,20.6,16.1,25.6,72.0,0.0,,,,1016.3,12600.0
31,1982-08,20.1,15.8,25.2,20.0,0.0,,,,1015.5,12720.0
32,1982-09,18.0,14.0,23.5,30.0,0.0,,,,1019.4,12480.0
33,1982-10,10.1,8.2,14.1,57.0,0.0,,,,1016.2,5220.0
34,1982-11,5.5,3.5,8.3,8.0,0.0,,,,1021.0,4380.0
35,1982-12,2.8,0.9,5.1,52.0,50.0,,,,1016.5,1740.0
36,1983-01,5.2,2.6,8.1,58.0,0.0,,,,1022.4,3480.0
37,1983-02,-0.9,-3.3,2.7,48.0,90.0,,,,1018.4,5820.0
38,1983-03,6.8,3.4,11.3,8.0,90.0,,,,1015.9,8040.0
39,1983-04,12.0,7.5,17.1,67.0,0.0,,,,1009.5,8700.0
40,1983-05,15.9,11.1,21.3,69.0,0.0,,,,1009.6,13380.0
41,1983-06,18.2,13.4,23.3,108.0,0.0,,,,1017.1,12780.0
42,1983-07,23.3,17.6,29.3,6.0,0.0,,,,1015.1,17760.0
43,1983-08,20.5,15.8,26.4,29.0,0.0,,,,1015.4,13140.0
44,1983-09,15.9,11.4,21.9,52.0,0.0,,,,1016.9,12900.0
45,1983-10,10.7,7.4,15.5,27.0,0.0,,,,1022.0,9780.0
46,1983-11,3.0,0.4,6.7,18.0,0.0,,,,1019.9,5340.0
47,1983-12,1.2,-1.5,4.4,19.0,60.0,,,,1020.2,4680.0
48,1984-01,1.6,-0.5,4.3,29.0,70.0,,,,1014.4,5580.0
49,1984-02,0.6,-1.4,3.1,57.0,70.0,,,,1021.4,3000.0
50,1984-03,4.2,0.8,8.8,45.0,50.0,,,,1015.8,8880.0
51,1984-04,9.0,5.1,14.3,52.0,0.0,,,,1017.1,9720.0
52,1984-05,13.7,9.0,18.9,56.0,0.0,,,,1007.9,9720.0
53,1984-06,17.2,12.4,22.4,39.0,0.0,,,,1014.8,12540.0
54,1984-07,18.1,13.6,23.1,72.0,0.0,,,,1017.3,12720.0
55,1984-08,18.8,14.3,24.3,45.0,0.0,,,,1016.6,15720.0
56,1984-09,14.7,11.8,18.8,69.0,0.0,,,,1011.5,6240.0
57,1984-10,11.0,7.8,15.4,47.0,0.0,,,,1019.8,7020.0
58,1984-11,5.6,3.8,8.4,36.0,0.0,,,,1016.6,3780.0
59,1984-12,0.6,-0.9,2.4,35.0,90.0,,,,1026.0,1440.0
60,1985-01,-5.3,-7.6,-2.7,40.0,290.0,,,,1015.0,3060.0
61,1985-02,-2.4,-5.1,1.0,25.0,90.0,,,,1022.1,5820.0
62,1985-03,3.9,1.4,7.3,49.0,80.0,,,,1015.8,4080.0
63,1985-04,10.5,6.1,16.1,16.0,0.0,,,,1011.9,10680.0
64,1985-05,16.1,11.6,21.1,73.0,0.0,,,,1011.3,11400.0
65,1985-06,16.2,12.1,21.1,67.0,0.0,,,,1013.9,10740.0
66,1985-07,20.7,15.2,26.8,39.0,0.0,,,,1016.9,16860.0
67,1985-08,19.5,15.1,25.2,310.0,0.0,,,,1015.6,12900.0
68,1985-09,15.9,12.0,21.6,29.0,0.0,,,,1020.4,13260.0
69,1985-10,9.7,6.8,14.1,16.0,0.0,,,,1025.6,8280.0
70,1985-11,2.3,0.3,4.9,107.0,90.0,,,,1016.4,3420.0
71,1985-12,3.7,1.7,6.3,66.0,70.0,,,,1018.6,1260.0
72,1986-01,0.8,-1.7,3.9,44.0,90.0,,,,1011.8,4620.0
73,1986-02,-4.7,-7.0,-2.1,44.0,50.0,,,,1017.0,4380.0
74,1986-03,3.7,0.7,7.5,15.0,70.0,,,,1019.0,5220.0
75,1986-04,11.5,6.6,17.6,14.0,10.0,,,,1009.3,9780.0
76,1986-05,17.2,12.4,22.6,52.0,0.0,,,,1017.6,14040.0
77,1986-06,18.1,13.2,23.4,55.0,0.0,,,,1015.4,15000.0
78,1986-07,19.6,14.4,25.4,35.0,0.0,,,,1016.5,15060.0
79,1986-08,20.0,15.6,25.8,142.0,0.0,,,,1014.7,14460.0
80,1986-09,14.9,10.9,20.7,35.0,0.0,,,,1020.5,12660.0
81,1986-10,10.4,6.9,15.4,33.0,0.0,,,,1021.1,10740.0
82,1986-11,5.3,3.2,8.4,47.0,0.0,,,,1024.8,4380.0
83,1986-12,0.7,-1.3,3.0,57.0,90.0,,,,1019.7,2940.0
84,1987-01,-4.3,-6.9,-1.3,82.0,360.0,,,,1018.8,3480.0
85,1987-02,0.4,-2.0,3.4,74.0,90.0,,,,1016.3,4740.0
86,1987-03,0.3,-2.8,4.7,52.0,80.0,,,,1018.6,8460.0
87,1987-04,10.8,6.7,15.5,15.0,0.0,,,,1017.6,9960.0
88,1987-05,13.1,9.1,18.1,106.0,0.0,,,,1012.7,9420.0
89,1987-06,17.9,13.5,22.6,118.0,0.0,,,,1014.4,11640.0
90,1987-07,20.8,16.0,26.3,80.0,0.0,,,,1014.9,16800.0
91,1987-08,18.0,14.3,22.8,44.0,0.0,,,,1015.5,11580.0
92,1987-09,17.8,14.0,23.0,37.0,0.0,,,,1017.8,10140.0
93,1987-10,10.8,8.0,14.7,28.0,0.0,,,,1020.1,6600.0
94,1987-11,5.5,3.5,8.1,31.0,0.0,,,,1017.0,2820.0
95,1987-12,3.0,1.3,4.9,64.0,0.0,,,,1022.1,3780.0
96,1988-01,3.0,0.9,5.9,20.0,0.0,,,,1015.6,3000.0
97,1988-02,3.3,0.7,6.9,62.0,60.0,,,,1013.6,5820.0
98,1988-03,4.2,1.4,7.9,64.0,30.0,,,,1011.0,6420.0
99,1988-04,10.1,5.5,15.5,27.0,0.0,,,,1015.9,11700.0
100,1988-05,16.1,11.3,21.5,42.0,0.0,,,,1014.3,12840.0
101,1988-06,17.9,13.2,22.8,33.0,0.0,,,,1012.8,12780.0
102,1988-07,21.3,15.9,27.6,51.0,0.0,,,,1014.8,17520.0
103,1988-08,20.3,15.4,26.1,64.0,0.0,,,,1014.5,15540.0
104,1988-09,15.4,12.1,19.8,89.0,0.0,,,,1018.2,7380.0
105,1988-10,10.5,7.7,14.4,11.0,0.0,,,,1020.8,7860.0
