,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,16.3,,,14.0,,,,,1020.4,
36,1983-01,15.4,,,19.0,,,,,1021.6,
37,1983-02,16.4,,,1.0,,,,,1018.4,
38,1983-03,18.2,,,56.0,,,,,1016.6,
39,1983-04,24.1,,,4.0,,,,,1012.0,
40,1983-05,30.9,,,0.5,,,,,1007.0,
41,1983-06,32.7,,,0.0,,,,,1002.9,
42,1983-07,33.9,,,0.0,,,,,998.7,
43,1983-08,34.1,,,0.0,,,,,999.6,
44,1983-09,31.6,,,0.0,,,,,1004.9,
45,1983-10,27.6,,,0.0,,,,,1013.1,
46,1983-11,24.6,,,0.0,,,,,1018.4,
47,1983-12,19.5,,,0.5,,,,,1020.1,
48,1984-01,17.0,13.4,,0.5,,,,,1019.1,
49,1984-02,18.4,,,11.0,,,,,1018.6,
50,1984-03,21.9,,,30.0,,,,,1013.5,
51,1984-04,26.1,,,,,,,,,
52,1984-05,29.1,,,0.5,,,,,1006.9,
53,1984-06,31.6,,,0.0,,,,,999.9,
54,1984-07,33.9,,,0.0,,,,,998.1,
55,1984-08,32.6,,,,,,,,,
56,1984-09,31.4,,,0.0,,,,,1006.0,
57,1984-10,28.0,,,0.0,,,,,1014.3,
58,1984-11,24.9,,,1.0,,,,,1017.1,
59,1984-12,18.7,,,9.0,,,,,1019.3,
60,1985-01,18.5,,,11.0,,,,,1018.0,
61,1985-02,17.4,,,0.5,,,,,1017.1,
62,1985-03,20.1,,,1.0,,,,,1015.4,
63,1985-04,25.2,,,0.5,,,,,1010.9,
64,1985-05,30.6,,,5.0,,,,,1006.3,
65,1985-06,32.3,,,0.0,,,,,1001.1,
66,1985-07,33.6,,,0.0,,,,,998.7,
67,1985-08,34.5,,,0.0,,,,,999.8,
68,1985-09,32.8,,,0.0,,,,,1005.7,
69,1985-10,29.2,,,0.0,,,,,1012.8,
70,1985-11,25.3,,,0.5,,,,,1017.1,
71,1985-12,19.5,,,33.0,,,,,1019.5,
72,1986-01,16.5,,,9.0,,,,,1020.1,
73,1986-02,17.6,,,3.0,,,,,1017.4,
74,1986-03,20.7,,,8.0,,,,,1013.9,
75,1986-04,25.4,,,11.0,,,,,,
76,1986-05,31.0,,,0.5,,,,,1007.1,
77,1986-06,32.7,,,0.5,,,,,1000.8,
78,1986-07,34.2,,,0.0,,,,,999.3,
79,1986-08,34.7,,38.8,0.0,,,,,1000.8,
80,1986-09,33.0,,,0.5,,,,,1007.5,
81,1986-10,30.6,,,0.0,,,,,,
82,1986-11,23.9,,,0.5,,,,,1016.7,
83,1986-12,17.5,,,24.0,,,,,,
84,1987-01,17.1,,,0.5,,,,,1022.0,
85,1987-02,19.3,,,0.5,,,,,1018.1,
86,1987-03,21.2,,,24.0,,,,,1013.9,
87,1987-04,25.2,,,0.5,,,,,1013.3,
88,1987-05,31.5,,,,,,,,,
