,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,19.1,,,0.0,,,,,1015.2,14040.0
25,1982-02,21.1,,,15.0,,,,,1012.8,11700.0
26,1982-03,24.5,,,81.0,,,,,1011.4,18060.0
27,1982-04,27.8,,,104.0,,,,,1007.3,13140.0
28,1982-05,29.7,,,154.0,,,,,1006.8,15180.0
29,1982-06,28.9,,,514.0,,,,,1000.4,7020.0
30,1982-07,29.6,,,136.0,,,,,1001.3,9660.0
31,1982-08,28.4,,,850.0,,,,,999.2,8040.0
32,1982-09,29.2,,,253.0,,,,,1005.1,
33,1982-10,27.6,,,84.0,,,,,1011.0,15120.0
34,1982-11,23.3,,,51.0,,,,,1013.2,13980.0
35,1982-12,19.7,,,0.0,,,,,1015.2,13860.0
36,1983-01,18.1,,,18.0,,,,,1016.7,13620.0
37,1983-02,20.3,,,61.0,,,,,1014.5,13500.0
38,1983-03,25.5,,,138.0,,,,,1010.5,
39,1983-04,27.9,,,318.0,,,,,1007.6,14700.0
40,1983-05,27.5,,,348.0,,,,,1006.6,14700.0
41,1983-06,30.7,,,298.0,,,,,1002.1,8220.0
42,1983-07,29.9,,,176.0,,,,,1001.9,10440.0
43,1983-08,29.1,,,434.0,,,,,1001.1,10440.0
44,1983-09,28.5,,,322.0,,,,,1005.2,8640.0
45,1983-10,,,,,,,,,,
46,1983-11,24.8,,,0.0,,,,,1013.4,15000.0
47,1983-12,19.9,,,18.0,,,,,1015.5,14700.0
48,1984-01,18.9,,,13.0,,,,,1014.4,14220.0
49,1984-02,21.0,,,1.0,,,,,1013.0,13800.0
50,1984-03,27.5,,,4.0,,,,,1010.0,16080.0
51,1984-04,29.5,,,124.0,,,,,1005.8,15720.0
52,1984-05,28.0,,,707.0,,,,,1002.2,11520.0
53,1984-06,28.7,,,309.0,,,,,1000.2,7980.0
54,1984-07,28.4,,,690.0,,,,,1001.2,7860.0
55,1984-08,28.7,,,309.0,,,,,1000.2,7980.0
56,1984-09,,,,,,,,,,
57,1984-10,28.7,,,58.0,,,,,1009.1,11580.0
58,1984-11,24.3,,,0.0,,,,,1014.0,17040.0
59,1984-12,20.5,,,0.0,,,,,1013.3,15420.0
60,1985-01,20.2,,,8.0,,,,,1015.5,14580.0
61,1985-02,22.1,,,1.0,,,,,1009.0,14460.0
62,1985-03,28.5,,,195.0,,,,,1008.3,15240.0
63,1985-04,29.1,,,176.0,,,,,1004.5,14760.0
64,1985-05,28.3,,,300.0,,,,,1003.8,13740.0
65,1985-06,28.9,,,399.0,,,,,998.4,7920.0
66,1985-07,28.3,,,262.0,,,,,1001.0,7560.0
67,1985-08,,,,,,,,,,
68,1985-09,28.9,,,306.0,,,,,1005.2,10860.0
69,1985-10,28.3,,,79.0,,,,,1009.5,16080.0
70,1985-11,24.5,,,0.0,,,,,1012.6,15780.0
71,1985-12,21.5,,,1.0,,,,,1014.8,14820.0
72,1986-01,20.1,,,6.0,,,,,1015.3,13920.0
73,1986-02,22.6,,,0.0,,,,,1013.6,15000.0
74,1986-03,27.3,,,23.0,,,,,1009.3,16980.0
75,1986-04,28.0,,,231.0,,,,,1006.9,15300.0
76,1986-05,28.7,,,191.0,,,,,1004.7,15780.0
77,1986-06,30.0,,,308.0,,,,,999.1,
