,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-8.8,-12.4,-5.9,35.0,79.0,,,,1019.2,3360.0
1,1980-02,-6.4,-9.7,-2.7,25.0,,,,,1025.1,4860.0
2,1980-03,-5.3,-10.0,-0.9,35.0,409.0,,,,1020.5,10320.0
3,1980-04,5.8,2.2,10.3,39.0,,,,,1013.8,10140.0
4,1980-05,8.1,3.8,12.8,36.0,,,,,1015.7,10260.0
5,1980-06,15.2,11.5,21.1,57.0,,,,,1011.9,13500.0
6,1980-07,16.9,13.0,21.5,96.0,,,,,1010.2,10860.0
7,1980-08,15.5,12.3,19.9,102.0,,,,,1011.4,9660.0
8,1980-09,11.9,8.5,16.3,34.0,,,,,1017.9,7380.0
9,1980-10,7.0,4.8,10.0,87.0,,,,,1012.5,2700.0
10,1980-11,-0.8,-3.4,1.7,49.0,,,,,1015.5,1740.0
11,1980-12,-2.8,-5.1,-0.6,52.0,,,,,1011.3,1680.0
12,1981-01,-6.3,,,38.0,,,,,1015.0,1920.0
13,1981-02,-4.0,,,28.0,,,,,1019.5,4740.0
14,1981-03,-0.5,,,42.0,,,,,1012.9,9120.0
15,1981-04,3.8,,8.5,17.0,,,,,1016.4,11220.0
16,1981-05,14.7,,,47.0,,,,,1016.9,600.0
17,1981-06,17.5,,,149.0,,,,,1015.1,15000.0
18,1981-07,18.8,,23.0,56.0,,,,,1014.3,17700.0
19,1981-08,15.8,,,77.0,,,,,1014.2,11700.0
20,1981-09,12.1,,,22.0,,,,,1018.2,9000.0
21,1981-10,8.0,,,96.6,,,,,1013.7,5880.0
22,1981-11,0.5,,,61.0,,,,,1014.0,960.0
23,1981-12,-4.3,,,105.0,,,,,1005.2,840.0
24,1982-01,-6.1,,,44.0,,,,,1015.6,1920.0
25,1982-02,-6.7,,,22.0,,,,,1026.1,3780.0
26,1982-03,0.1,,,20.0,,,,,1020.2,10140.0
27,1982-04,4.9,,,48.0,,,,,1012.2,9540.0
28,1982-05,12.2,,,101.0,,,,,1019.0,15120.0
29,1982-06,14.0,,,129.0,,,,,1012.0,15540.0
30,1982-07,17.6,,22.0,76.0,,,,,1015.1,15660.0
31,1982-08,17.3,,,63.0,,,,,1015.2,16200.0
32,1982-09,13.1,,,50.0,,,,,1019.6,12120.0
33,1982-10,6.8,,,40.0,,,,,1019.2,5280.0
34,1982-11,3.0,,,13.0,,,,,1014.0,600.0
35,1982-12,0.2,,,85.0,,,,,1012.2,1260.0
36,1983-01,-0.6,,,68.0,,,,,1008.4,720.0
37,1983-02,-5.4,,,27.0,,,,,1016.6,5040.0
38,1983-03,-0.3,,,96.0,,,,,1012.7,5820.0
39,1983-04,8.9,,,51.0,,,,,1011.9,10560.0
40,1983-05,15.9,,,52.0,,,,,1013.0,14700.0
41,1983-06,15.6,,,51.0,,,,,1016.3,16140.0
42,1983-07,17.3,,,83.0,,,,,1012.6,13440.0
43,1983-08,17.5,,,20.0,,,,,1016.9,19560.0
44,1983-09,14.3,,,20.0,,,,,1014.9,11520.0
45,1983-10,7.2,,,29.0,,,,,1015.3,5760.0
46,1983-11,0.1,,,50.0,,,,,1011.6,2880.0
47,1983-12,-1.2,,,89.0,,,,,1016.6,1920.0
