,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,1.0,-1.2,3.3,52.0,,,,,1015.7,
1,1980-02,6.0,3.5,9.1,56.0,,,,,1019.0,
2,1980-03,5.5,2.9,8.6,105.0,,,,,1009.8,
3,1980-04,8.6,4.6,11.8,46.0,,,,,1019.6,
4,1980-05,12.8,7.5,16.7,67.0,,,,,1014.6,
5,1980-06,15.1,11.3,18.8,101.0,,,,,1012.6,
6,1980-07,15.8,12.4,19.2,177.0,,,,,1012.7,
7,1980-08,17.8,13.7,21.6,70.0,,,,,1016.6,
8,1980-09,16.0,12.2,20.1,16.0,,,,,1019.0,
9,1980-10,9.8,6.4,13.1,91.0,,,,,1011.9,
10,1980-11,4.8,2.0,7.1,49.0,,,,,1017.0,
11,1980-12,3.3,0.8,5.8,86.0,,,,,1018.4,
12,1981-01,3.1,0.7,5.9,119.0,,,,,1021.3,
13,1981-02,1.9,-1.0,5.0,43.0,,,,,1020.4,
14,1981-03,9.2,6.4,12.3,107.0,,,,,1007.8,
15,1981-04,9.3,5.2,12.7,40.0,,,,,1018.8,
16,1981-05,13.8,9.2,17.7,105.0,,,,,1010.4,
17,1981-06,15.1,11.5,18.5,123.0,,,,,1018.0,
18,1981-07,17.0,13.3,20.5,35.0,,,,,1016.8,
19,1981-08,17.3,13.2,21.1,63.0,,,,,1019.9,
20,1981-09,15.3,11.4,19.3,65.0,,,,,1015.3,
21,1981-10,9.2,6.8,12.6,124.0,,,,,1010.0,
22,1981-11,6.9,4.2,9.8,85.0,,,,,1023.3,
23,1981-12,1.2,-1.2,3.2,106.0,,,,,1002.1,
24,1982-01,2.4,-0.5,4.7,68.0,,,,,1018.5,
25,1982-02,4.2,0.8,7.4,14.0,,,,,1019.6,
26,1982-03,5.9,2.5,9.7,71.0,,,,,1016.1,
27,1982-04,8.7,4.5,12.6,35.0,,,,,1019.8,
28,1982-05,13.9,8.9,18.0,54.0,,,,,1018.3,
29,1982-06,17.1,13.1,21.4,108.0,,,,,1014.3,
30,1982-07,19.1,14.5,23.4,41.0,,,,,1018.1,
31,1982-08,17.4,13.8,21.6,76.0,,,,,1014.7,
32,1982-09,17.1,12.6,21.6,42.0,,,,,1016.9,
33,1982-10,11.1,8.6,14.2,134.0,,,,,1010.8,
34,1982-11,8.2,6.0,10.5,67.0,,,,,1014.1,
35,1982-12,3.7,1.6,6.2,87.0,,,,,1013.3,
