,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,26.4,,,63.0,,,,,1012.6,10620.0
4,1980-05,29.1,,,10.0,,,,,1010.5,17040.0
5,1980-06,,,,,,,,,,
6,1980-07,27.9,,,263.0,,,,,1013.6,15300.0
7,1980-08,,,,,,,,,,
8,1980-09,28.0,,,536.0,,,,,1010.5,10320.0
9,1980-10,,,,,,,,,,
10,1980-11,25.0,,,,,,,,,
11,1980-12,23.1,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,26.4,,,63.0,,,,,1012.6,10620.0
15,1981-04,,,,,,,,,,
16,1981-05,28.5,,,,,,,,1010.7,13500.0
17,1981-06,27.9,,,330.0,,,,,1010.5,9960.0
18,1981-07,27.7,,,141.0,,,,,1013.7,13500.0
19,1981-08,,,,,,,,,,
20,1981-09,27.4,,,312.0,,,,,1012.3,9600.0
21,1981-10,26.7,23.0,,397.0,,,,,1012.6,9600.0
22,1981-11,25.6,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,24.8,,,119.0,,,,,1015.6,12120.0
25,1982-02,25.6,,,116.0,,,,,1015.2,13380.0
26,1982-03,26.1,,,60.0,,,,,1013.3,
27,1982-04,27.7,,,65.0,,,,,1012.6,16140.0
28,1982-05,27.9,,,182.0,,,,,1010.4,12660.0
29,1982-06,28.2,,,172.0,,,,,1010.7,9960.0
30,1982-07,27.4,,,281.0,,,,,1014.4,
31,1982-08,27.3,,,237.0,,,,,1014.4,13200.0
32,1982-09,27.2,,,291.0,,,,,1011.7,7560.0
33,1982-10,26.7,,,448.0,,,,,1012.7,11100.0
34,1982-11,25.5,,,248.0,,,,,1014.1,10380.0
35,1982-12,25.0,,,183.0,,,,,1014.6,10260.0
36,1983-01,24.0,,,91.0,,,,,1014.4,7680.0
37,1983-02,24.6,,,55.0,,,,,,
38,1983-03,25.4,,,74.0,,,,,1010.6,
39,1983-04,27.7,,,15.0,,,,,1010.2,13200.0
40,1983-05,29.3,,,0.0,,,,,1010.8,17700.0
41,1983-06,28.9,,,296.0,,,,,1010.3,11040.0
42,1983-07,27.4,,,505.0,,,,,1013.5,
43,1983-08,27.9,,,212.0,,,,,1014.3,
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,26.3,,,112.0,,,,,1012.6,12120.0
47,1983-12,,,,,,,,,,
48,1984-01,23.2,,,93.0,,,,,1017.0,9720.0
49,1984-02,24.2,,,164.0,,,,,1014.2,8880.0
50,1984-03,25.4,,,56.0,,,,,1013.2,13260.0
51,1984-04,27.0,,,17.0,,,,,1011.3,16620.0
52,1984-05,27.7,,,206.0,,,,,1015.4,10260.0
53,1984-06,27.5,,,374.0,,,,,1012.8,11580.0
54,1984-07,27.0,,,235.0,,,,,1013.1,9480.0
55,1984-08,27.5,,,252.0,,,,,1013.4,12660.0
56,1984-09,27.2,,,179.0,,,,,1011.0,10740.0
57,1984-10,26.8,,,309.0,,,,,1013.2,13020.0
58,1984-11,24.3,,,96.0,,,,,1013.3,13800.0
59,1984-12,24.7,,,,,,,,,
60,1985-01,23.1,,,62.0,,,,,1017.6,13440.0
61,1985-02,24.6,,,60.0,,,,,1016.2,11340.0
62,1985-03,26.3,,,,,,,,1011.3,16740.0
63,1985-04,26.6,,,51.0,,,,,1013.4,16500.0
64,1985-05,27.5,,,176.0,,,,,1012.0,15240.0
65,1985-06,28.8,,,,,,,,,
66,1985-07,27.7,,,293.0,,,,,1014.2,16200.0
67,1985-08,28.2,,,70.0,,,,,1013.4,15840.0
68,1985-09,27.2,,,230.0,,,,,1012.6,9240.0
69,1985-10,26.7,,,195.0,,,,,1011.9,11160.0
70,1985-11,25.5,,,199.0,,,,,1013.8,12000.0
71,1985-12,,,,,,,,,,
72,1986-01,22.3,,,235.0,,,,,1017.9,8580.0
73,1986-02,25.1,,,28.0,,,,,1013.9,13740.0
74,1986-03,26.1,,,91.0,,,,,1015.8,13980.0
