,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.9,25.3,30.5,0.0,,,,,1010.2,14160.0
1,1980-02,28.6,26.0,31.5,33.0,,,,,1008.6,13260.0
2,1980-03,28.9,26.4,31.6,23.0,,,,,1009.2,13800.0
3,1980-04,29.0,26.0,31.9,75.0,,,,,1009.3,14520.0
4,1980-05,27.3,24.4,30.1,175.0,,,,,1011.3,11220.0
5,1980-06,27.6,24.4,29.1,128.0,,,,,1013.0,9060.0
6,1980-07,25.4,23.8,27.8,39.0,,,,,1013.3,9720.0
7,1980-08,25.5,23.8,27.6,148.0,,,,,1013.2,8640.0
8,1980-09,26.0,23.7,28.5,91.0,,,,,1012.3,9060.0
9,1980-10,26.8,23.9,29.7,80.0,,,,,1011.6,11700.0
10,1980-11,27.6,24.2,30.5,73.0,,,,,1010.7,14700.0
11,1980-12,26.3,22.6,30.3,4.0,,,,,1010.1,12000.0
12,1981-01,27.2,,,1.0,,,,,1010.3,12540.0
13,1981-02,28.7,,,32.0,,,,,1009.2,12780.0
14,1981-03,28.8,,,21.0,,,,,1009.4,13380.0
15,1981-04,28.7,,,91.0,,,,,1009.1,14220.0
16,1981-05,27.7,,,210.0,,,,,1010.6,11340.0
17,1981-06,26.9,,,206.0,,,,,1012.4,9660.0
18,1981-07,25.4,,,74.0,,,,,1013.2,6360.0
19,1981-08,25.5,,,23.0,,,,,1013.0,8520.0
20,1981-09,25.8,,,119.0,,,,,1012.4,11160.0
21,1981-10,27.1,,,61.0,,,,,1010.8,13380.0
22,1981-11,27.8,,,10.0,,,,,1010.2,13440.0
23,1981-12,28.4,,,0.0,,,,,1009.9,14760.0
24,1982-01,27.3,,,3.0,,,,,1009.5,14400.0
25,1982-02,28.3,,,118.0,,,,,1009.1,12780.0
26,1982-03,28.9,,,49.0,,,,,1008.9,13560.0
27,1982-04,28.2,,,204.0,,,,,1009.4,12960.0
28,1982-05,27.4,,,134.0,,,,,1010.8,11700.0
29,1982-06,26.3,,,504.0,,,,,1013.0,5520.0
30,1982-07,24.6,,,127.0,,,,,1013.4,6900.0
31,1982-08,24.5,,,4.0,,,,,1013.6,8580.0
32,1982-09,25.5,,,10.0,,,,,1012.7,11100.0
