,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,16.0,,,20.0,,,,,1000.3,
1,1980-02,16.6,,,70.0,,,,,1009.9,
2,1980-03,15.8,,,100.0,,,,,1001.4,
3,1980-04,16.9,,,,,,,,1009.7,
4,1980-05,15.2,,,4.0,,,,,1001.1,
5,1980-06,14.1,,,4.0,,,,,1000.8,
6,1980-07,13.9,,,0.0,,,,,1000.8,
7,1980-08,13.8,,,70.0,,,,,1000.6,
8,1980-09,14.7,,,30.0,,,,,1000.0,
9,1980-10,16.8,,,70.0,,,,,1000.6,
10,1980-11,18.1,,,40.0,,,,,1008.9,
11,1980-12,17.3,,,100.0,,,,,1000.2,
12,1981-01,17.1,,,160.0,,,,,1001.0,
13,1981-02,15.1,,,150.0,,,,,1000.9,
14,1981-03,15.6,,,160.0,,,,,1001.5,
15,1981-04,15.2,,,10.0,,,,,1000.9,
16,1981-05,15.8,,,4.0,,,,,1000.7,
17,1981-06,12.6,,,0.0,,,,,1000.5,
18,1981-07,12.0,,,0.0,,,,,1000.8,
19,1981-08,13.5,,,14.0,,,,,,
20,1981-09,14.7,,,53.0,,,,,,
21,1981-10,16.3,,,47.0,,,,,,
22,1981-11,17.5,,,63.0,,,,,,
23,1981-12,16.7,,,137.0,,,,,,
24,1982-01,15.7,,,220.0,,,,,,
25,1982-02,15.7,,,89.0,,,,,,
26,1982-03,15.1,,,136.0,,,,,,
27,1982-04,14.2,,,63.0,,,,,,
28,1982-05,13.6,,,4.0,,,,,,
29,1982-06,14.2,,,0.0,,,,,,
30,1982-07,14.6,,,0.0,,,,,,
31,1982-08,15.4,,,0.5,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,17.8,,,51.0,,,,,,
34,1982-11,18.6,,,87.0,,,,,,
35,1982-12,17.0,,,131.0,,,,,,
36,1983-01,17.9,,,158.0,,,,,,
37,1983-02,17.2,,,88.0,,,,,,
38,1983-03,17.7,,,40.0,,,,,,
39,1983-04,17.6,,,38.0,,,,,,
40,1983-05,15.9,,,4.0,,,,,,
41,1983-06,14.2,,,0.5,,,,,,
42,1983-07,14.2,,,7.0,,,,,,
43,1983-08,15.3,,,12.0,,,,,,
44,1983-09,16.5,,,21.0,,,,,,
45,1983-10,17.2,,,11.0,,,,,,
46,1983-11,17.0,,,68.0,,,,,,
47,1983-12,17.7,,,93.0,,,,,,
48,1984-01,14.5,,,343.0,,,,,,
49,1984-02,14.9,,,201.0,,,,,,
50,1984-03,15.5,,,216.0,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,17.3,,,0.0,,,,,,
53,1984-06,15.1,,,0.0,,,,,,
54,1984-07,14.5,,,0.0,,,,,,
55,1984-08,14.2,,,3.0,,,,,,
56,1984-09,16.5,,,2.0,,,,,,
57,1984-10,17.7,,,96.0,,,,,,
58,1984-11,16.4,,,204.0,,,,,,
59,1984-12,16.3,,,102.0,,,,,,
60,1985-01,15.9,,,119.0,,,,,,
61,1985-02,16.2,,,248.0,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,16.0,,,52.0,,,,,,
64,1985-05,16.8,,,0.0,,,,,,
65,1985-06,13.9,,,15.0,,,,,,
66,1985-07,14.1,,,3.0,,,,,,
67,1985-08,15.4,,,1.0,,,,,,
68,1985-09,14.7,,,72.0,,,,,,
69,1985-10,18.1,,,20.0,,,,,,
70,1985-11,16.1,,,179.0,,,,,,
71,1985-12,16.3,,,150.0,,,,,,
72,1986-01,17.8,,,39.0,,,,,,
73,1986-02,15.2,,,88.0,,,,,,
74,1986-03,15.6,,,180.0,,,,,,
75,1986-04,17.5,,,12.0,,,,,,
76,1986-05,15.7,,,0.0,,,,,,
77,1986-06,15.7,,,1.0,,,,,,
78,1986-07,14.6,,,0.0,,,,,,
79,1986-08,16.0,,,1.0,,,,,,
80,1986-09,16.3,,,14.0,,,,,,
81,1986-10,15.7,,,26.0,,,,,,
82,1986-11,17.9,,,55.0,,,,,,
83,1986-12,16.5,,,85.0,,,,,,
84,1987-01,17.5,,,172.0,,,,,,
85,1987-02,16.5,,,36.0,,,,,,
86,1987-03,17.0,,,32.0,,,,,,
87,1987-04,16.7,,,41.0,,,,,,
88,1987-05,17.2,,,1.0,,,,,,
89,1987-06,14.9,,,1.0,,,,,,
90,1987-07,15.7,,,0.0,,,,,,
91,1987-08,17.0,,,0.0,,,,,,
92,1987-09,20.8,,,3.0,,,,,,
93,1987-10,16.8,,,95.0,,,,,,
94,1987-11,17.7,,,77.0,,,,,,
95,1987-12,17.7,,,73.0,,,,,,
96,1988-01,,,,176.0,,,,,,
97,1988-02,,,,76.0,,,,,,
98,1988-03,,,,245.0,,,,,,
99,1988-04,,,,58.0,,,,,,
100,1988-05,,,,11.0,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,16.8,,,0.0,,,,,,
104,1988-09,,,,27.0,,,,,,
105,1988-10,,,,36.0,,,,,,
106,1988-11,,,,17.0,,,,,,
107,1988-12,,,,63.0,,,,,,
108,1989-01,16.6,,,52.0,,,,,,
109,1989-02,15.9,,,69.0,,,,,,
110,1989-03,17.0,,,30.0,,,,,1019.3,
111,1989-04,15.1,,,69.0,,,,,,
112,1989-05,,,,,,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,,,,,,,,,,
115,1989-08,,,,,,,,,,
116,1989-09,,,,,,,,,,
