,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,24.3,18.1,,166.0,,,,,,17820.0
1,1980-02,,18.8,,103.7,,,,,,
2,1980-03,,17.0,,68.8,,,,,,
3,1980-04,19.1,11.0,,19.0,,,,,,17400.0
4,1980-05,16.6,6.8,,0.2,,,,,,
5,1980-06,11.4,2.6,21.6,0.0,,,,,,17040.0
6,1980-07,11.5,,21.5,0.0,,,,,,18360.0
7,1980-08,15.4,,24.2,0.0,,,,,,18720.0
8,1980-09,18.5,11.4,25.8,54.0,,,,,,13860.0
9,1980-10,,15.0,32.1,8.1,,,,,,
10,1980-11,,17.2,,88.7,,,,,,
11,1980-12,24.8,18.4,,50.0,,,,,,17400.0
12,1981-01,24.9,20.0,,220.0,,,,,,13920.0
13,1981-02,22.9,18.0,,143.0,,,,,,13320.0
14,1981-03,21.3,15.9,,125.6,,,,,,
15,1981-04,19.0,11.7,,21.0,,,,,,17160.0
16,1981-05,14.9,7.6,,0.0,,,,,,15780.0
17,1981-06,11.2,2.7,,0.0,,,,,,15900.0
18,1981-07,12.6,3.7,,0.0,,,,,,17400.0
19,1981-08,14.4,7.2,23.0,14.0,,,,,,15060.0
20,1981-09,19.1,10.5,28.2,6.0,,,,,,16500.0
21,1981-10,20.4,13.1,,24.0,,,,,,16260.0
22,1981-11,25.1,18.5,32.8,99.0,,,,,,14820.0
23,1981-12,24.8,18.2,,66.0,,,,,,16680.0
24,1982-01,25.8,19.7,,59.0,,,,,,18480.0
25,1982-02,25.9,19.4,,71.0,,,,,,14820.0
26,1982-03,23.6,16.6,,31.0,,,,,,16080.0
27,1982-04,18.7,,25.2,54.0,,,,,,14100.0
28,1982-05,15.9,7.5,,0.0,,,,,,17760.0
29,1982-06,,,,0.0,,,,,,
30,1982-07,13.5,,,1.0,,,,,,17460.0
31,1982-08,16.4,,26.2,0.0,,,,,,19200.0
32,1982-09,21.4,12.9,,0.0,,,,,1015.8,18420.0
33,1982-10,22.2,16.1,,79.0,,,,,,14400.0
34,1982-11,23.8,17.8,,192.0,,,,,,15480.0
35,1982-12,25.5,,,40.7,,,,,,
36,1983-01,27.4,,,84.0,,,,,,15360.0
37,1983-02,27.7,20.2,,27.3,,,,,,
38,1983-03,24.5,18.4,,32.0,,,,,,14700.0
39,1983-04,22.4,14.9,,7.0,,,,,,14460.0
40,1983-05,,,,12.3,,,,,,
41,1983-06,13.5,5.5,,4.0,,,,,,15000.0
42,1983-07,13.9,5.5,,0.0,,,,,,16680.0
43,1983-08,15.2,5.7,,0.0,,,,,,17880.0
44,1983-09,21.4,12.0,,3.0,,,,,,19260.0
45,1983-10,23.5,16.5,,19.0,,,,,,17040.0
46,1983-11,,19.2,,66.2,,,,,,
47,1983-12,26.0,20.4,,51.0,,,,,,13620.0
48,1984-01,,,,31.4,,,,,,
49,1984-02,27.5,21.0,,34.0,,,,,,16980.0
50,1984-03,24.8,19.0,,82.0,,,,,,13500.0
51,1984-04,,13.9,,8.9,,,,,,
52,1984-05,16.3,8.5,,0.0,,,,,,17400.0
53,1984-06,,4.9,,4.9,,,,,,
54,1984-07,,5.6,22.3,3.4,,,,,,
55,1984-08,17.2,8.5,26.0,1.0,,,,,,18540.0
56,1984-09,21.9,13.6,,6.0,,,,,,17340.0
57,1984-10,24.3,17.8,,72.0,,,,,,15060.0
58,1984-11,23.9,,31.1,33.0,,,,,,15720.0
59,1984-12,,,,11.9,,,,,,
60,1985-01,,,,39.0,,,,,,
61,1985-02,26.3,21.4,,50.0,,,,,,
62,1985-03,,18.3,,35.9,,,,,,
63,1985-04,,12.8,,0.0,,,,,,
64,1985-05,,,,8.0,,,,,,
65,1985-06,,6.2,,0.0,,,,,,
66,1985-07,,5.3,,0.0,,,,,,
67,1985-08,19.4,9.0,26.3,1.0,,,,,,
68,1985-09,,13.6,,2.5,,,,,,
