,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,27.1,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,27.3,,,,,,,,,
36,1983-01,27.4,,,,,,,,,
37,1983-02,27.5,,,,,,,,,
38,1983-03,28.6,,,,,,,,,
39,1983-04,29.0,,,,,,,,,
40,1983-05,28.2,,,,,,,,,
41,1983-06,27.8,,,,,,,,,
42,1983-07,27.3,,,,,,,,,
43,1983-08,27.5,,,,,,,,,
44,1983-09,27.0,,,,,,,,,
45,1983-10,27.1,,,,,,,,,
46,1983-11,26.4,,,293.8,,,,,,
47,1983-12,26.4,,,,,,,,,
48,1984-01,26.4,,,,,,,,,
49,1984-02,26.2,,,,,,,,,
50,1984-03,26.9,,,,,,,,,
51,1984-04,27.4,,,,,,,,,
52,1984-05,27.3,,,,,,,,,
53,1984-06,27.0,,,,,,,,,
54,1984-07,26.6,,,,,,,,,
55,1984-08,27.0,,,,,,,,,
56,1984-09,26.5,,,,,,,,,
57,1984-10,26.2,,,,,,,,,
58,1984-11,26.6,,,,,,,,,
59,1984-12,26.6,,,,,,,,,
60,1985-01,26.0,,,,,,,,,
61,1985-02,26.9,,,,,,,,,
62,1985-03,27.2,,,,,,,,,
63,1985-04,26.8,,,,,,,,,
64,1985-05,27.3,,,,,,,,,
65,1985-06,27.1,,,,,,,,,
66,1985-07,26.1,,,,,,,,,
67,1985-08,27.0,,,,,,,,,
68,1985-09,26.3,,,,,,,,,
69,1985-10,26.4,,,,,,,,,
70,1985-11,26.9,,,,,,,,,
71,1985-12,26.1,,,,,,,,,
72,1986-01,26.2,,,,,,,,,
73,1986-02,26.1,,,,,,,,,
74,1986-03,26.6,,,,,,,,,
75,1986-04,27.6,,,,,,,,,
76,1986-05,27.6,,,,,,,,,
77,1986-06,27.2,,,,,,,,,
78,1986-07,26.8,,,,,,,,,
79,1986-08,26.5,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,26.6,,,,,,,,,
83,1986-12,27.1,,,,,,,,,
84,1987-01,26.7,,,,,,,,,
85,1987-02,26.2,,,,,,,,,
86,1987-03,27.6,,,,,,,,,
87,1987-04,27.9,,,,,,,,,
88,1987-05,27.4,,,,,,,,,
89,1987-06,27.9,,,,,,,,,
90,1987-07,27.1,,,,,,,,,
91,1987-08,27.2,,,,,,,,,
92,1987-09,27.1,,,142.0,,,,,1009.9,11160.0
93,1987-10,27.1,,,251.0,,,,,1010.1,13800.0
94,1987-11,27.0,,,389.0,,,,,1009.5,13200.0
95,1987-12,26.8,,,249.0,,,,,1010.0,10560.0
96,1988-01,27.1,,,277.0,,,,,1009.2,13800.0
97,1988-02,27.0,,,,,,,,,
98,1988-03,27.5,,,220.0,,,,,1008.1,13260.0
99,1988-04,28.4,,,204.0,,,,,1008.8,16500.0
100,1988-05,27.7,,,220.0,,,,,1008.6,12600.0
101,1988-06,27.6,,,,,,,,,
