,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-4.0,,,40.0,,,,,1021.7,4500.0
1,1980-02,0.2,,,19.0,,,,,1024.1,6120.0
2,1980-03,3.9,,,65.0,,,,,1015.6,7380.0
3,1980-04,7.9,,13.2,61.0,,,,,1013.9,8760.0
4,1980-05,12.8,,,129.0,,,,,1012.0,9180.0
5,1980-06,18.1,,,40.0,,,,,1012.9,16440.0
6,1980-07,19.7,,,69.0,,,,,1013.1,16740.0
7,1980-08,18.5,,,114.0,,,,,1016.1,16980.0
8,1980-09,14.7,,20.9,13.0,,,,,1020.7,13800.0
9,1980-10,11.8,,,74.0,,,,,1017.0,10080.0
10,1980-11,6.0,,,49.0,,,,,1019.1,6780.0
11,1980-12,0.8,,,69.0,,,,,1019.2,2940.0
12,1981-01,-3.2,,,36.0,89.0,,,,1018.2,3960.0
13,1981-02,-0.3,,,24.0,89.0,,,,1021.2,4920.0
14,1981-03,7.1,,,40.0,,,,,1015.7,10320.0
15,1981-04,9.7,,,40.0,,,,,1016.9,12840.0
16,1981-05,13.1,,,63.0,,,,,1015.2,12720.0
17,1981-06,19.6,,,65.0,,,,,1015.2,11400.0
18,1981-07,18.9,,24.1,50.0,,,,,1015.2,14160.0
19,1981-08,18.4,,,54.0,,,,,1017.4,13020.0
20,1981-09,16.5,,,26.0,,,,,1018.6,10200.0
21,1981-10,12.4,,,55.0,,,,,1018.7,10020.0
22,1981-11,3.2,,,112.5,,,,,1021.4,5160.0
23,1981-12,1.9,,,25.0,,,,,1010.4,3720.0
24,1982-01,-1.4,,,13.0,,,,,1023.3,4920.0
25,1982-02,-1.7,,,22.0,,,,,1024.9,5160.0
26,1982-03,3.2,,,54.0,,,,,1020.0,9300.0
27,1982-04,8.0,,,85.0,,,,,1014.1,7980.0
28,1982-05,14.9,,,30.0,,,,,1020.0,10620.0
29,1982-06,19.0,,,37.0,,,,,1015.3,12540.0
30,1982-07,18.9,,,61.0,,,,,1015.3,12780.0
31,1982-08,19.6,,26.0,30.0,,,,,1015.5,13380.0
