,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.0,,,0.0,,,,,1010.4,17340.0
1,1980-02,28.4,,,0.0,,,,,1009.0,14580.0
2,1980-03,31.7,,,0.0,,,,,1007.9,18780.0
3,1980-04,33.3,,,13.0,,,,,1006.6,16020.0
4,1980-05,,,,,,,,,,
5,1980-06,29.0,,,103.0,,,,,1010.9,15420.0
6,1980-07,27.6,,,135.0,,,,,1011.1,15480.0
7,1980-08,26.1,,,206.0,,,,,1011.7,12900.0
8,1980-09,27.8,,,66.0,,,,,1011.2,16500.0
9,1980-10,29.1,,,41.0,,,,,1010.1,15900.0
10,1980-11,28.4,,,0.0,,,,,1010.1,18960.0
11,1980-12,24.2,,,0.0,,,,,1011.7,16620.0
12,1981-01,23.8,,,0.0,,,,,1012.3,18900.0
13,1981-02,28.4,,,0.0,,,,,1009.3,16260.0
14,1981-03,31.7,,,0.0,,,,,1007.8,15660.0
15,1981-04,32.8,,,31.0,,,,,1006.8,15900.0
16,1981-05,31.0,,,88.0,,,,,1008.5,15660.0
17,1981-06,29.9,,,80.0,,,,,1010.4,17580.0
18,1981-07,27.1,,,198.0,,,,,1011.1,13740.0
19,1981-08,26.5,,,212.0,,,,,1011.4,14940.0
20,1981-09,27.4,,,104.0,,,,,1011.0,15300.0
21,1981-10,30.0,,,1.0,,,,,1009.2,17520.0
22,1981-11,27.1,,35.2,0.0,,,,,1010.8,17220.0
23,1981-12,25.1,,34.7,0.0,,,,,1011.1,18180.0
24,1982-01,23.6,,32.0,0.0,,,,,1011.9,18660.0
25,1982-02,27.3,,,0.5,,,,,1009.5,14400.0
26,1982-03,30.2,,,29.0,,,,,1008.1,14520.0
27,1982-04,32.6,,,45.0,,,,,1006.7,16140.0
28,1982-05,30.8,,,111.0,,,,,1008.4,15780.0
29,1982-06,29.0,,,84.0,,,,,1011.1,16860.0
30,1982-07,28.0,,,106.0,,,,,1011.1,15060.0
31,1982-08,26.4,,,139.0,,,,,1011.5,11340.0
32,1982-09,28.0,,,73.0,,,,,1010.9,13440.0
33,1982-10,28.6,,,45.0,,,,,1009.6,15420.0
34,1982-11,27.0,,,0.0,,,,,1010.7,16740.0
35,1982-12,24.8,,,0.0,,,,,1011.9,17100.0
36,1983-01,22.6,,,0.0,,,,,1014.6,16680.0
37,1983-02,28.8,,,0.0,,,,,1010.2,15720.0
38,1983-03,30.5,,,0.5,,,,,1009.3,16260.0
39,1983-04,34.1,,,1.0,,,,,1006.4,15060.0
40,1983-05,32.6,,,45.0,,,,,1007.0,15900.0
41,1983-06,29.1,,,111.0,,,,,1010.4,14640.0
42,1983-07,28.1,,,192.0,,,,,1010.7,15120.0
43,1983-08,26.9,,,205.0,,,,,1012.3,
44,1983-09,27.7,,,109.0,,,,,1011.1,15420.0
45,1983-10,29.2,,,12.0,,,,,1010.3,17820.0
46,1983-11,27.7,,,0.0,,,,,1011.4,17760.0
47,1983-12,25.5,,,0.0,,,,,1011.8,18000.0
48,1984-01,24.2,,,0.0,,,,,1011.4,16320.0
49,1984-02,26.3,,,0.0,,,,,1009.6,16980.0
50,1984-03,31.4,,,21.0,,,,,1006.7,16560.0
51,1984-04,32.9,,,15.0,,,,,1006.1,15900.0
52,1984-05,31.7,,,67.0,,,,,1006.9,15180.0
53,1984-06,29.7,,,59.0,,,,,1009.6,15060.0
54,1984-07,28.5,,,167.0,,,,,1009.7,16920.0
55,1984-08,27.7,,,122.0,,,,,1010.7,15720.0
56,1984-09,27.2,,,104.0,,,,,1010.1,13740.0
57,1984-10,29.3,,,14.0,,,,,1009.3,14460.0
58,1984-11,28.6,,,2.0,,,,,1009.8,15660.0
59,1984-12,24.1,,,0.0,,,,,1010.8,14880.0
60,1985-01,26.1,,,0.5,,,,,1010.0,16380.0
61,1985-02,26.9,,,0.0,,,,,1011.0,12180.0
62,1985-03,32.0,,,0.0,,,,,1006.4,11100.0
63,1985-04,32.9,,,5.0,,,,,1006.7,14580.0
64,1985-05,32.7,,,87.0,,,,,1007.0,16980.0
65,1985-06,30.0,,,83.0,,,,,1010.3,15780.0
66,1985-07,26.6,,,177.0,,,,,1011.4,13740.0
67,1985-08,26.6,,,155.0,,,,,1011.0,14940.0
68,1985-09,26.8,,,163.0,,,,,1010.5,14160.0
69,1985-10,29.4,,,4.0,,,,,1009.3,15900.0
70,1985-11,28.4,,,0.0,,,,,1009.4,
71,1985-12,23.8,,,0.0,,,,,1011.8,16320.0
72,1986-01,23.7,,,0.0,,,,,1012.2,18180.0
73,1986-02,29.0,,,0.0,,,,,1008.4,16800.0
74,1986-03,31.0,,,0.0,,,,,1007.9,15600.0
75,1986-04,33.9,,,10.0,,,,,1005.6,15240.0
76,1986-05,31.9,,,87.0,,,,,1007.6,16740.0
77,1986-06,29.4,,,130.0,,,,,1009.9,17340.0
78,1986-07,26.6,,,177.0,,,,,1012.1,13620.0
79,1986-08,26.4,,,198.0,,,,,1011.7,13140.0
80,1986-09,26.2,,,165.0,,,,,1012.0,12720.0
81,1986-10,28.9,,,41.0,,,,,1010.7,15780.0
82,1986-11,27.3,,,0.5,,,,,1010.6,15660.0
83,1986-12,23.6,,,0.0,,,,,1013.4,16920.0
84,1987-01,25.6,,,0.0,,,,,1012.2,16680.0
85,1987-02,28.9,,,0.0,,,,,1010.3,16080.0
86,1987-03,30.9,23.4,,13.0,,,,,1008.0,15360.0
87,1987-04,33.0,,,0.0,,,,,1008.3,14880.0
88,1987-05,33.7,,,67.0,,,,,1006.7,17640.0
89,1987-06,29.8,,,164.0,,,,,1011.1,15480.0
90,1987-07,28.6,,,148.0,,,,,1010.3,15180.0
91,1987-08,27.2,,,222.0,,,,,1010.6,13500.0
92,1987-09,28.3,,,131.0,,,,,1010.9,14580.0
93,1987-10,28.6,,,39.0,,,,,1010.0,15840.0
94,1987-11,28.1,,,0.0,,,,,1010.4,17760.0
95,1987-12,25.3,,33.5,0.0,,,,,1012.1,15900.0
96,1988-01,24.4,,,0.0,,,,,1012.0,16080.0
97,1988-02,27.9,,,0.0,,,,,1009.0,16380.0
98,1988-03,32.7,,,0.0,,,,,1008.0,16560.0
99,1988-04,32.5,,,80.0,,,,,1006.6,13320.0
100,1988-05,32.5,,,69.0,,,,,1007.8,17640.0
101,1988-06,29.3,,,66.0,,,,,1010.1,13440.0
102,1988-07,26.9,,,162.0,,,,,1011.4,12840.0
103,1988-08,26.1,,,264.0,,,,,1010.6,12420.0
104,1988-09,27.1,,,89.0,,,,,1010.5,12420.0
105,1988-10,29.4,,,6.0,,,,,1009.2,18060.0
106,1988-11,27.6,,,0.0,,,,,1010.5,16680.0
107,1988-12,24.0,,,0.0,,,,,1011.5,17640.0
108,1989-01,23.1,,,0.0,,,,,1013.2,17520.0
109,1989-02,25.6,,,0.0,,,,,1012.1,15300.0
110,1989-03,30.2,,,6.0,,,,,1007.6,16200.0
111,1989-04,33.5,,,0.0,,,,,1006.0,16980.0
112,1989-05,32.8,,,36.0,,,,,1008.3,18420.0
113,1989-06,30.3,,,55.0,,,,,1009.9,15660.0
114,1989-07,,,,,,,,,,
115,1989-08,25.6,,,205.0,,,,,1011.4,11280.0
116,1989-09,27.3,,,112.0,,,,,1010.0,13860.0
117,1989-10,28.2,,,48.0,,,,,1010.5,16200.0
118,1989-11,28.1,,,0.0,,,,,1010.0,18120.0
119,1989-12,25.4,,,2.0,,,,,1011.6,16020.0
120,1990-01,25.6,,,0.0,,,,,1011.0,15420.0
121,1990-02,27.1,,,0.0,,,,,1011.2,15660.0
122,1990-03,29.9,,,0.0,,,,,1010.3,17340.0
123,1990-04,33.8,,,15.0,,,,,1005.7,14580.0
124,1990-05,32.2,,,112.0,,,,,1008.2,16680.0
125,1990-06,29.7,,,82.0,,,,,1010.7,14820.0
126,1990-07,27.2,,,162.0,,,,,1011.3,13920.0
127,1990-08,27.3,,,196.0,,,,,1012.1,13800.0
128,1990-09,27.8,,,104.0,,,,,1011.1,14880.0
129,1990-10,29.7,,,4.0,,,,,1009.7,17700.0
130,1990-11,29.2,,,0.0,,,,,1009.2,17640.0
131,1990-12,27.0,,,0.0,,,,,1010.1,16680.0
132,1991-01,26.1,,,0.0,,,,,1011.7,17400.0
133,1991-02,29.4,,,0.0,,,,,1009.5,15060.0
134,1991-03,32.2,,,0.5,,,,,1007.2,15180.0
135,1991-04,31.5,,,66.0,,,,,1007.0,15480.0
136,1991-05,,,,255.0,,,,,,
137,1991-06,29.3,,,95.0,,,,,1010.4,14580.0
138,1991-07,,,,,,,,,,
139,1991-08,26.1,,,249.0,,,,,1012.0,12300.0
140,1991-09,28.2,,,48.0,,,,,1011.4,15000.0
141,1991-10,,,,,,,,,,
142,1991-11,,,,,,,,,,
143,1991-12,24.6,,,0.0,,,,,1012.0,16500.0
144,1992-01,23.6,,,0.0,,,,,1013.0,13560.0
145,1992-02,27.7,,,0.0,,,,,1011.4,14460.0
146,1992-03,31.0,,,0.5,,,,,1008.6,13320.0
147,1992-04,32.8,,,52.0,,,,,1007.4,14040.0
148,1992-05,31.3,,,13.0,,,,,1008.3,15660.0
149,1992-06,29.7,,,79.0,,,,,1010.4,14400.0
150,1992-07,27.2,,,247.0,,,,,1012.1,14760.0
151,1992-08,26.0,,,245.0,,,,,1012.5,10980.0
152,1992-09,27.7,,,151.0,,,,,,
153,1992-10,29.2,,,5.0,,,,,1010.3,15540.0
154,1992-11,,,,8.0,,,,,,
155,1992-12,25.1,,,0.0,,,,,1011.4,17400.0
156,1993-01,,,,0.0,,,,,,
157,1993-02,28.0,,,0.0,,,,,1012.0,14580.0
158,1993-03,31.3,,,9.0,,,,,1008.9,15540.0
159,1993-04,33.7,,,26.0,,,,,1006.5,15180.0
160,1993-05,33.6,,,8.0,,,,,1007.1,18300.0
161,1993-06,29.7,,,134.0,,,,,1007.3,15960.0
162,1993-07,27.5,,,226.0,,,,,1011.6,14640.0
163,1993-08,26.7,,,92.0,,,,,1011.8,13500.0
164,1993-09,27.3,,,98.0,,,,,1011.2,14280.0
165,1993-10,30.3,,,59.0,,,,,1009.7,15540.0
166,1993-11,28.6,,,0.0,,,,,1008.7,15660.0
167,1993-12,25.2,,,0.0,,,,,1011.3,16920.0
168,1994-01,24.3,,,0.0,,,,,1010.1,15960.0
169,1994-02,27.4,,,0.0,,,,,1010.6,15060.0
170,1994-03,31.4,,,1.0,,,,,1007.9,14940.0
171,1994-04,33.4,,,1.0,,,,,1006.6,14640.0
172,1994-05,31.7,,,14.0,,,,,1008.5,15360.0
173,1994-06,29.4,,,108.0,,,,,1010.4,14160.0
174,1994-07,27.6,,,131.0,,,,,1011.2,14100.0
175,1994-08,25.8,,,282.0,,,,,1011.1,9420.0
176,1994-09,26.6,,,130.0,,,,,1011.3,13920.0
177,1994-10,27.5,,,65.0,,,,,1010.1,14700.0
178,1994-11,27.1,,,0.0,,,,,1011.1,17520.0
179,1994-12,23.8,,,0.0,,,,,1013.1,8940.0
180,1995-01,23.0,,,0.0,,,,,1013.5,18120.0
181,1995-02,26.1,,,0.0,,,,,1012.0,16080.0
182,1995-03,32.9,,,0.0,,,,,1007.6,16800.0
183,1995-04,33.2,,,10.0,,,,,1005.9,13800.0
184,1995-05,32.0,,,50.0,,,,,1008.0,17100.0
185,1995-06,29.9,,,114.0,,,,,1009.8,17220.0
186,1995-07,27.6,,,118.0,,,,,1009.5,13920.0
187,1995-08,26.4,,,249.0,,,,,1010.8,12600.0
188,1995-09,27.8,,,136.0,,,,,1011.1,14880.0
189,1995-10,28.8,,,13.0,,,,,1009.4,16320.0
190,1995-11,27.8,,,0.0,,,,,1010.5,17400.0
191,1995-12,26.6,,,0.0,,,,,1011.4,17580.0
192,1996-01,26.9,18.3,36.1,0.0,,,,,1009.4,18420.0
193,1996-02,29.5,,,0.0,,,,,1008.1,16140.0
194,1996-03,32.1,,,0.0,,,,,1007.1,14880.0
195,1996-04,32.9,,,23.0,,,,,1006.8,15120.0
196,1996-05,32.2,,,46.0,,,,,1008.0,17640.0
197,1996-06,29.8,,,40.0,,,,,1010.4,15540.0
198,1996-07,28.4,,,129.0,,,,,1011.5,14520.0
199,1996-08,26.7,,,193.0,,,,,1011.4,13560.0
200,1996-09,,,,,,,,,,
201,1996-10,28.9,,,23.0,,,,,1010.0,16980.0
202,1996-11,26.7,,,0.0,,,,,1010.5,17460.0
203,1996-12,26.2,,35.3,0.0,,,,,1010.6,18000.0
204,1997-01,26.8,,,0.0,,,,,1010.7,17100.0
205,1997-02,25.8,,,0.0,,,,,1012.4,13740.0
206,1997-03,29.9,,,49.0,,,,,1008.6,13740.0
207,1997-04,31.3,,,58.0,,,,,1008.3,14880.0
208,1997-05,31.3,,,52.0,,,,,1009.5,16260.0
209,1997-06,29.2,24.6,34.7,66.0,,,,,1010.3,14700.0
210,1997-07,28.3,23.7,33.5,111.0,,,,,1011.6,15480.0
211,1997-08,27.3,23.2,32.5,154.0,,,,,1011.2,12960.0
212,1997-09,28.3,23.6,33.7,48.0,,,,,1010.9,13800.0
213,1997-10,30.2,24.7,36.5,49.0,,,,,1009.7,15780.0
214,1997-11,29.3,,,0.0,,,,,,
215,1997-12,25.9,17.3,34.3,0.0,,,,,1011.9,17580.0
216,1998-01,25.1,13.9,33.3,0.0,,,,,1011.8,15780.0
217,1998-02,29.5,21.1,37.6,0.0,,,,,1011.4,15720.0
218,1998-03,30.5,22.5,38.2,0.0,,,,,1009.3,15780.0
219,1998-04,34.6,28.7,40.8,15.0,,,,,1006.3,13620.0
220,1998-05,32.4,27.4,37.9,66.0,,,,,1008.8,14340.0
221,1998-06,29.8,,,51.0,,,,,,
222,1998-07,28.1,24.1,33.0,104.0,,,,,1010.9,12480.0
223,1998-08,26.8,23.1,31.0,208.0,,,,,1010.8,11280.0
224,1998-09,27.3,23.1,32.4,196.0,,,,,1010.8,12480.0
225,1998-10,29.4,24.4,35.6,52.0,,,,,1010.4,16620.0
226,1998-11,28.8,20.8,36.8,0.0,,,,,1009.6,18060.0
227,1998-12,26.4,,34.2,0.0,,,,,1011.1,17220.0
228,1999-01,25.8,18.4,33.5,0.0,,,,,1010.4,16980.0
229,1999-02,27.2,,34.7,0.5,,,,,1010.1,15060.0
230,1999-03,32.4,25.0,39.6,1.0,,,,,1006.1,16620.0
231,1999-04,32.9,,,22.0,,,,,,
232,1999-05,31.7,26.2,38.0,54.0,,,,,1008.3,16920.0
233,1999-06,31.0,25.6,36.5,75.0,,,,,1009.2,16080.0
234,1999-07,27.1,23.0,31.8,241.0,,,,,1011.0,12180.0
235,1999-08,25.7,22.4,29.8,236.0,,,,,1011.2,9240.0
236,1999-09,26.1,21.8,31.3,169.0,,,,,1010.7,11220.0
237,1999-10,29.1,23.6,35.2,9.0,,,,,1010.2,15720.0
238,1999-11,,,,,,,,,,
239,1999-12,25.0,16.8,33.2,0.0,,,,,1011.5,17640.0
240,2000-01,27.4,20.0,38.9,0.0,,,,,1009.3,16080.0
241,2000-02,25.3,17.1,33.2,0.0,,,,,1012.5,15780.0
242,2000-03,30.5,,,0.0,,,,,,
243,2000-04,34.3,31.5,40.8,16.0,,,,,1005.7,16020.0
244,2000-05,32.1,26.4,38.2,79.0,,,,,1007.9,15900.0
245,2000-06,29.4,24.3,35.0,139.0,,,,,1010.2,16380.0
246,2000-07,27.0,22.6,31.7,153.0,,,,,1010.4,14040.0
247,2000-08,26.7,22.5,32.0,118.0,,,,,1011.7,13740.0
248,2000-09,28.5,23.6,34.2,24.0,,,,,1010.1,15300.0
249,2000-10,29.4,23.9,34.9,66.0,,,,,1010.1,16020.0
250,2000-11,28.7,20.4,37.1,0.0,,,,,1009.5,17580.0
251,2000-12,25.2,16.7,33.7,0.0,,,,,1012.1,16260.0
252,2001-01,24.7,15.7,32.5,0.0,,,,,1012.2,17520.0
253,2001-02,26.5,17.9,34.9,0.0,,,,,1011.2,15840.0
254,2001-03,31.6,23.0,39.9,0.0,,,,,1008.0,16860.0
255,2001-04,34.4,28.5,40.9,0.0,,,,,1006.7,16020.0
256,2001-05,33.0,28.2,38.8,59.0,,,,,1008.0,
257,2001-06,30.0,24.9,35.6,26.0,,,,,1010.5,15720.0
258,2001-07,27.5,23.2,32.2,184.0,,,,,1011.3,13980.0
259,2001-08,26.9,23.7,31.5,211.0,,,,,1012.6,
260,2001-09,27.4,22.9,32.1,115.0,,,,,1011.0,13320.0
261,2001-10,29.9,23.8,36.4,15.0,,,,,1010.4,16560.0
262,2001-11,28.3,20.5,36.4,0.0,,,,,1010.5,
263,2001-12,26.8,18.4,35.6,0.0,,,,,1010.9,17520.0
264,2002-01,24.7,17.3,32.0,0.0,,,,,1012.9,16500.0
265,2002-02,27.1,18.5,35.2,0.0,,,,,1011.2,15960.0
266,2002-03,32.6,24.9,39.8,0.0,,,,,1007.5,14940.0
267,2002-04,34.0,27.9,40.1,7.0,,,,,1005.6,13260.0
268,2002-05,33.5,27.8,39.4,40.0,,,,,1007.9,15000.0
269,2002-06,31.2,25.6,36.6,38.0,,,,,1010.4,15120.0
270,2002-07,29.0,24.1,33.8,170.0,,,,,1011.5,14640.0
271,2002-08,27.1,23.3,31.8,179.0,,,,,1011.8,13020.0
272,2002-09,27.7,23.6,32.5,183.0,,,,,1011.4,13680.0
273,2002-10,28.9,23.2,34.5,39.0,,,,,1010.3,16680.0
274,2002-11,28.3,20.0,36.0,0.5,,,,,1011.1,17400.0
275,2002-12,25.9,17.9,33.9,0.0,,,,,1013.0,18180.0
276,2003-01,25.6,17.6,33.6,0.0,,,,,1012.6,15900.0
277,2003-02,29.7,21.5,37.6,2.0,,,,,1009.4,15300.0
278,2003-03,31.0,23.1,38.1,4.0,,,,,1009.9,14820.0
279,2003-04,33.8,27.9,40.1,24.0,,,,,1007.1,16140.0
280,2003-05,33.1,27.4,39.0,69.0,,,,,1008.2,16380.0
281,2003-06,28.5,23.6,33.5,164.0,,,,,1010.5,13560.0
282,2003-07,27.4,22.9,32.0,180.0,,,,,1011.7,15780.0
283,2003-08,26.8,22.8,31.5,166.0,,,,,1011.6,13080.0
284,2003-09,27.3,22.9,32.5,162.0,,,,,1011.5,11880.0
285,2003-10,29.8,24.4,36.4,55.0,,,,,1009.2,17280.0
286,2003-11,28.9,20.7,36.9,0.0,,,,,1009.5,16560.0
287,2003-12,25.3,17.0,34.1,0.0,,,,,1011.7,17520.0
288,2004-01,25.9,17.9,33.9,0.0,,,,,1010.7,16680.0
289,2004-02,28.4,20.4,36.2,0.0,,,,,1010.6,13440.0
290,2004-03,30.8,23.5,37.8,0.5,,,,,1008.9,11580.0
291,2004-04,32.7,27.1,38.8,54.0,,,,,1007.3,13200.0
292,2004-05,31.6,26.3,37.5,66.0,,,,,1009.0,16380.0
