,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,113.5,,,,,,
1,1980-02,23.6,,,37.0,,,,,,10080.0
2,1980-03,,,,70.2,,,,,,
3,1980-04,,,,84.6,,,,,,
4,1980-05,,,,105.0,,,,,,
5,1980-06,,,,2.2,,,,,,
6,1980-07,22.6,,,1.0,,,,,,16620.0
7,1980-08,,,,0.0,,,,,,
8,1980-09,,,,60.2,,,,,,
9,1980-10,,,,54.1,,,,,,
10,1980-11,,,,115.7,,,,,,
11,1980-12,,,,231.5,,,,,,
12,1981-01,24.0,,,102.0,,,,,,12360.0
13,1981-02,,,,95.1,,,,,,
14,1981-03,,,,92.9,,,,,,
15,1981-04,,,,64.1,,,,,,
16,1981-05,25.2,,,82.0,,,,,,10620.0
17,1981-06,,,,0.0,,,,,,
18,1981-07,23.0,,,3.0,,,,,,
19,1981-08,,,,62.0,,,,,,
20,1981-09,24.1,,,35.0,,,,,,13320.0
21,1981-10,25.2,,,36.0,,,,,,12900.0
22,1981-11,,,,62.1,,,,,,
23,1981-12,24.6,,,114.0,,,,,,12600.0
24,1982-01,25.0,,,33.0,,,,,,11340.0
25,1982-02,25.1,,,65.0,,,,,,10800.0
26,1982-03,,,,76.7,,,,,,
27,1982-04,25.4,,,148.0,,,,,,10080.0
28,1982-05,23.5,,,75.0,,,,,,
29,1982-06,23.2,,,91.0,,,,,,15300.0
30,1982-07,22.5,,,0.0,,,,,,17760.0
31,1982-08,23.5,,,1.0,,,,,,16080.0
32,1982-09,25.1,,,18.0,,,,,,13980.0
33,1982-10,23.7,,,79.0,,,,,,11280.0
34,1982-11,22.9,,,118.0,,,,,,10560.0
35,1982-12,23.9,,,155.0,,,,,,12840.0
36,1983-01,,,,78.4,,,,,,
37,1983-02,24.4,,,73.0,,,,,,
38,1983-03,24.0,,,147.0,,,,,,10860.0
39,1983-04,23.9,,,157.0,,,,,,10740.0
40,1983-05,24.3,,,17.0,,,,,,15240.0
41,1983-06,,,,2.1,,,,,,
42,1983-07,,,,0.0,,,,,,
43,1983-08,23.9,,,19.0,,,,,,13440.0
44,1983-09,24.5,,,53.0,,,,,,14700.0
45,1983-10,23.8,,,77.0,,,,,,10440.0
46,1983-11,23.1,,,53.0,,,,,,11160.0
47,1983-12,23.0,,,96.0,,,,,,10560.0
48,1984-01,22.9,,,158.0,,,,,,9240.0
49,1984-02,23.1,,,79.0,,,,,,10740.0
50,1984-03,23.0,,,109.0,,,,,,13320.0
51,1984-04,23.6,,,104.0,,,,,,12300.0
52,1984-05,,,,37.1,,,,,,
53,1984-06,22.8,,,0.0,,,,,,17880.0
54,1984-07,22.9,,,7.0,,,,,,13620.0
55,1984-08,,,,1.0,,,,,,14460.0
56,1984-09,24.7,,,19.0,,,,,,13980.0
