,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,21.5,,,104.0,,,,,1011.6,3300.0
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,22.2,,,270.0,,,,,1010.8,8880.0
10,1980-11,,,,,,,,,,
11,1980-12,22.9,,,0.0,,,,,1008.4,12180.0
12,1981-01,23.4,,,8.0,,,,,1008.5,11400.0
13,1981-02,24.5,,,31.0,,,,,1007.2,11400.0
14,1981-03,23.8,,,89.0,,,,,1007.8,8820.0
15,1981-04,23.8,,,254.0,,,,,1007.6,9360.0
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,21.4,,,89.0,,,,,1011.3,4500.0
19,1981-08,,,,,,,,,,
20,1981-09,21.7,,,221.0,,,,,1010.6,4140.0
21,1981-10,,,,,,,,,,
22,1981-11,22.3,,,126.0,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,23.5,,,84.0,,,,,1007.7,9180.0
25,1982-02,23.8,,,34.0,,,,,1007.3,10080.0
26,1982-03,23.7,,,102.0,,,,,1007.3,10680.0
27,1982-04,23.6,,,,,,,,1007.8,
28,1982-05,22.9,,,172.0,,,,,1009.2,9360.0
29,1982-06,22.3,,,270.0,,,,,1011.2,6720.0
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,23.2,,,40.0,,,,,1008.7,10380.0
36,1983-01,22.9,,,0.0,,,,,1009.5,14160.0
37,1983-02,25.6,,,19.0,,,,,1007.5,11760.0
38,1983-03,26.0,,,32.0,,,,,1007.0,12180.0
39,1983-04,,,,180.0,,,,,1007.1,
40,1983-05,,,,,,,,,,
41,1983-06,22.6,,,165.0,,,,,1010.9,6420.0
42,1983-07,,,,,,,,,,
43,1983-08,21.5,,,15.0,,,,,1013.3,3540.0
44,1983-09,22.1,,,275.0,,,,,1011.8,6240.0
45,1983-10,22.0,,,290.0,,,,,1011.3,6480.0
46,1983-11,,,,,,,,,,
47,1983-12,22.4,,,93.0,,,,,1010.9,10560.0
48,1984-01,,,,,,,,,,
49,1984-02,24.4,,,38.0,,,,,1007.4,10800.0
50,1984-03,,,,,,,,,,
51,1984-04,23.5,,,175.0,,,,,1008.4,10440.0
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,21.8,,,186.0,,,,,1011.2,7620.0
55,1984-08,23.1,,,152.0,,,,,,8700.0
56,1984-09,21.8,,,340.0,,,,,1011.0,7320.0
57,1984-10,22.3,,,246.0,,,,,1010.0,9240.0
58,1984-11,22.5,,,103.0,,,,,1010.1,10200.0
59,1984-12,22.7,,,40.0,,,,,1008.8,12720.0
60,1985-01,23.4,,,26.0,,,,,1008.5,10200.0
61,1985-02,24.8,,,8.0,,,,,1008.9,11340.0
62,1985-03,24.0,,,130.0,,,,,1007.8,10080.0
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,22.2,,,167.0,,,,,1012.6,7800.0
66,1985-07,21.6,,,119.0,,,,,1012.5,6480.0
67,1985-08,21.9,,,195.0,,,,,1011.7,6240.0
68,1985-09,23.1,,,320.0,,,,,,7140.0
69,1985-10,21.8,,,432.0,,,,,1010.2,6660.0
70,1985-11,23.2,,,181.0,,,,,1009.6,10500.0
71,1985-12,,,,,,,,,,
72,1986-01,23.6,,,23.0,,,,,1009.6,12420.0
73,1986-02,23.9,,,41.0,,,,,1008.4,9000.0
74,1986-03,23.1,,,117.0,,,,,1009.2,10020.0
75,1986-04,23.8,,,108.0,,,,,1008.3,11400.0
76,1986-05,23.4,,,288.0,,,,,1009.9,12300.0
77,1986-06,22.4,,,201.0,,,,,1011.9,8700.0
78,1986-07,,,,,,,,,,
79,1986-08,21.8,,,177.0,,,,,1012.0,7020.0
