,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,25.6,,,,,,,,1011.0,11400.0
6,1980-07,24.6,,,238.0,,,,,1011.2,9600.0
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,27.3,,,88.0,,,,,1007.4,11640.0
15,1981-04,27.5,,,132.0,,,,,1007.1,14520.0
16,1981-05,25.8,,,212.0,,,,,1009.2,11460.0
17,1981-06,25.9,,,211.0,,,,,1010.8,10800.0
18,1981-07,24.2,,,200.0,,,,,1011.0,8700.0
19,1981-08,24.1,,,186.0,,,,,1010.4,8880.0
20,1981-09,24.3,,,193.0,,,,,1010.3,10140.0
21,1981-10,24.4,,,107.0,,,,,1009.4,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,24.7,,,30.0,,,,,1008.2,
25,1982-02,25.5,,,76.0,,,,,1007.6,12780.0
26,1982-03,26.7,,,52.0,,,,,1007.0,12960.0
27,1982-04,27.7,,,36.0,,,,,1007.3,12480.0
28,1982-05,26.0,,,134.0,,,,,1009.0,11640.0
29,1982-06,25.2,,,213.0,,,,,1011.1,11460.0
30,1982-07,24.7,,,112.0,,,,,1011.0,
31,1982-08,23.9,,,289.0,,,,,1011.0,9180.0
32,1982-09,24.8,,,231.0,,,,,1010.3,9780.0
33,1982-10,24.0,,,121.0,,,,,1009.8,
34,1982-11,24.3,,,52.0,,,,,1009.1,
35,1982-12,25.1,,,13.0,,,,,1008.8,
36,1983-01,23.2,,,0.0,,,,,1010.2,
37,1983-02,28.0,,,3.0,,,,,1007.5,
38,1983-03,29.1,,,56.0,,,,,1006.8,8700.0
39,1983-04,28.1,,,80.0,,,,,1007.1,12000.0
40,1983-05,26.6,,,155.0,,,,,1008.1,
41,1983-06,25.7,,,213.0,,,,,1010.1,11520.0
42,1983-07,25.0,,,374.0,,,,,1010.5,12300.0
43,1983-08,24.6,,,150.0,,,,,1011.6,9240.0
44,1983-09,24.6,,,152.0,,,,,1010.4,
45,1983-10,24.3,,,516.0,,,,,1010.1,
46,1983-11,25.0,,,77.0,,,,,1010.6,11520.0
47,1983-12,23.5,,,52.0,,,,,1009.9,11280.0
48,1984-01,23.3,,,0.0,,,,,1008.7,12300.0
49,1984-02,,,,,,,,,,
50,1984-03,26.3,,,159.0,,,,,1006.7,12000.0
51,1984-04,26.7,,,121.0,,,,,1007.1,12600.0
52,1984-05,25.3,,,174.0,,,,,1008.1,9960.0
53,1984-06,24.9,,,146.0,,,,,1010.0,11520.0
54,1984-07,24.1,,,171.0,,,,,1010.3,10740.0
55,1984-08,24.5,,,195.0,,,,,1010.4,10260.0
56,1984-09,,,,,,,,,,
57,1984-10,24.6,,,194.0,,,,,1009.5,10860.0
58,1984-11,24.9,,,31.0,,,,,1009.6,9960.0
59,1984-12,,,,,,,,,,
60,1985-01,25.5,,,55.0,,,,,1007.8,11460.0
61,1985-02,25.0,,,0.0,,,,,1008.6,11760.0
62,1985-03,,,,,,,,,,
63,1985-04,25.9,,,190.0,,,,,1008.5,10080.0
64,1985-05,26.1,,,53.0,,,,,1009.1,13980.0
65,1985-06,25.1,,,225.0,,,,,1011.6,10620.0
66,1985-07,24.3,,,142.0,,,,,1011.8,10200.0
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,24.4,,,92.0,,,,,1009.6,11820.0
71,1985-12,,,,,,,,,,
72,1986-01,24.8,,,0.0,,,,,1009.1,13980.0
73,1986-02,,,,29.0,,,,,,
74,1986-03,25.8,,,,,,,,,
75,1986-04,27.3,,,81.0,,,,,1007.2,12840.0
76,1986-05,,,,145.0,,,,,,
77,1986-06,26.0,,,,,,,,,
