,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,18.6,,,0.0,,,,,1011.2,17280.0
3,1980-04,15.6,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,11.9,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,12.0,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,19.2,,,0.0,,,,,1013.3,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,,,,,,,,,,
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,17.4,,,0.0,,,,,1013.1,
71,1985-12,19.6,,,0.0,,,,,1012.0,
72,1986-01,20.7,,,0.0,,,,,1011.0,19560.0
73,1986-02,20.0,,,0.0,,,,,1011.3,
74,1986-03,18.3,,,0.0,,,,,1012.1,
75,1986-04,13.7,,,26.0,,,,,1013.5,
76,1986-05,12.1,,,90.0,,,,,1015.3,
77,1986-06,9.3,,,108.0,,,,,1017.3,
78,1986-07,9.2,,,0.5,,,,,1017.3,9660.0
79,1986-08,10.1,,,54.0,,,,,1015.9,
80,1986-09,11.8,,,3.0,,,,,1016.4,8700.0
81,1986-10,16.0,,,3.0,,,,,1014.9,11340.0
82,1986-11,16.6,,,26.0,,,,,1012.4,13140.0
83,1986-12,21.3,,,0.0,,,,,1010.3,20640.0
84,1987-01,21.3,,,0.0,,,,,1009.9,19920.0
85,1987-02,21.0,,,0.5,,,,,1008.8,15540.0
86,1987-03,18.9,,,0.5,,,,,1010.6,
87,1987-04,14.4,,,11.0,,,,,1013.2,11100.0
88,1987-05,10.1,,,46.0,,,,,1015.5,8040.0
89,1987-06,9.5,,,37.0,,,,,1017.6,9480.0
90,1987-07,7.9,,,355.0,,,,,1014.1,5520.0
91,1987-08,9.5,,,182.0,,,,,1016.4,
92,1987-09,11.7,,,16.0,,,,,1017.0,8220.0
93,1987-10,15.2,,,65.0,,,,,1014.2,10440.0
94,1987-11,18.9,,,0.0,,,,,1012.2,16980.0
95,1987-12,20.4,,,0.0,,,,,1011.0,19200.0
96,1988-01,20.4,,,0.0,,,,,1010.9,20940.0
