,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-4.5,-9.5,1.3,1.0,,,,,1026.7,
1,1980-02,-2.9,-7.7,2.7,9.0,,,,,1027.5,
2,1980-03,4.2,-0.7,9.8,15.0,,,,,1023.1,
3,1980-04,10.5,4.8,16.6,23.8,,,,,,
4,1980-05,19.3,12.5,25.8,26.6,,,,,,
5,1980-06,24.2,19.0,29.9,114.0,,,,,1005.2,
6,1980-07,26.3,21.6,31.5,31.0,,,,,1003.5,
7,1980-08,23.7,19.8,28.8,98.0,,,,,1008.3,
8,1980-09,18.2,12.3,25.0,27.0,,,,,1015.0,
9,1980-10,11.4,6.6,17.5,34.0,,,,,1020.5,
10,1980-11,6.0,1.2,12.3,0.5,,,,,1021.7,
11,1980-12,-3.9,-8.3,2.0,3.4,,,,,,
12,1981-01,-4.8,-9.1,0.6,1.0,,,,,1031.5,
13,1981-02,-1.4,-6.2,4.1,2.0,,,,,1025.2,
14,1981-03,7.2,1.5,13.6,3.0,,,,,1020.0,
15,1981-04,16.0,9.3,22.8,11.0,,,,,1014.6,
16,1981-05,20.5,13.6,26.7,14.0,,,,,1008.8,
17,1981-06,25.4,19.6,31.4,19.0,,,,,1005.4,
18,1981-07,27.8,23.6,32.3,171.0,,,,,1004.6,
19,1981-08,24.8,20.2,29.9,103.0,,,,,1005.0,
20,1981-09,20.3,15.5,26.1,48.0,,,,,1015.3,
21,1981-10,11.3,5.7,17.6,15.0,,,,,1020.3,
22,1981-11,2.3,-2.0,7.6,5.0,,,,,1028.5,
23,1981-12,-1.4,-5.8,4.0,1.0,,,,,1030.0,
24,1982-01,-4.3,-8.9,1.5,2.0,,,,,1028.7,
25,1982-02,0.4,-4.7,6.8,4.0,,,,,1027.3,
26,1982-03,7.0,1.3,13.1,0.5,,,,,1020.3,
27,1982-04,15.6,8.8,22.4,38.0,,,,,1016.6,
28,1982-05,21.6,15.3,27.5,13.0,,,,,1006.7,
29,1982-06,23.8,18.4,29.8,140.0,,,,,1007.4,
30,1982-07,25.0,20.6,29.9,207.0,,,,,1004.0,15000.0
31,1982-08,25.8,21.7,30.7,119.0,,,,,1007.5,14040.0
32,1982-09,20.3,14.3,26.6,7.0,,,,,1015.8,17100.0
33,1982-10,14.8,9.9,21.1,9.0,,,,,1019.5,13140.0
34,1982-11,5.1,0.2,10.9,6.0,,,,,1024.9,11520.0
35,1982-12,-1.5,-6.4,4.2,0.0,,,,,1026.3,12480.0
36,1983-01,-2.9,-8.3,3.5,0.5,,,,,1030.8,12120.0
37,1983-02,-2.1,-6.8,3.6,0.5,,,,,1026.9,12720.0
38,1983-03,6.8,1.3,13.1,6.0,,,,,1022.0,14520.0
39,1983-04,14.7,8.5,20.9,79.0,,,,,1010.3,14880.0
40,1983-05,21.2,15.8,26.9,33.0,,,,,1009.1,16980.0
41,1983-06,25.4,19.4,31.4,67.0,,,,,1005.3,17040.0
42,1983-07,27.3,22.4,32.7,27.0,,,,,1001.8,16020.0
43,1983-08,25.0,21.1,29.7,225.0,,,,,1008.1,13140.0
44,1983-09,21.6,16.6,27.4,34.0,,,,,1012.4,14640.0
