,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,22.4,27.9,,,,,,,
1,1980-02,,22.5,27.7,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,23.6,28.8,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,23.3,27.4,,,,,,,
6,1980-07,,,26.6,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,22.5,27.0,,,,,,,
11,1980-12,,23.1,27.9,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,22.2,27.9,,,,,,,
14,1981-03,,23.5,28.4,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,,,,,,,,,,
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,,,,,,,,,,
45,1983-10,,23.1,28.2,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,22.4,28.3,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,22.3,27.4,,,,,,,
72,1986-01,,22.4,27.5,,,,,,,
73,1986-02,,22.0,27.3,,,,,,,
74,1986-03,,,27.8,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,22.0,26.4,,,,,,,
78,1986-07,,21.7,25.7,,,,,,,
79,1986-08,,21.1,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,21.5,,,,,,,,
82,1986-11,,22.3,,,,,,,,
83,1986-12,,22.7,27.7,,,,,,,
84,1987-01,,22.5,27.8,,,,,,,
85,1987-02,,,27.9,,,,,,,
86,1987-03,,23.5,28.5,,,,,,,
87,1987-04,,23.5,28.9,,,,,,,
88,1987-05,,24.1,28.3,,,,,,,
89,1987-06,,23.5,27.6,,,,,,,
90,1987-07,,22.7,27.0,,,,,,,
91,1987-08,,22.3,26.8,,,,,,,
92,1987-09,,22.2,27.1,,,,,,,
93,1987-10,,22.4,27.6,,,,,,,
94,1987-11,,22.4,27.8,,,,,,,
95,1987-12,,22.1,28.0,,,,,,,
96,1988-01,,22.8,28.3,,,,,,,
97,1988-02,,23.2,28.9,,,,,,,
98,1988-03,,23.0,28.9,,,,,,,
99,1988-04,,23.6,28.7,,,,,,,
100,1988-05,,23.9,28.4,,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,22.7,26.6,,,,,,,
103,1988-08,,22.3,26.4,,,,,,,
104,1988-09,,22.3,27.0,,,,,,,
105,1988-10,,22.3,26.9,,,,,,,
106,1988-11,,22.4,27.4,,,,,,,
107,1988-12,,20.7,27.6,,,,,,,
108,1989-01,,22.9,28.3,,,,,,,
109,1989-02,,22.0,28.1,,,,,,,
110,1989-03,,22.6,28.2,,,,,,,
111,1989-04,,22.7,28.7,,,,,,,
112,1989-05,,23.3,28.1,,,,,,,
113,1989-06,,21.8,27.2,,,,,,,
114,1989-07,,22.1,26.9,,,,,,,
115,1989-08,,22.8,26.8,,,,,,,
116,1989-09,,22.4,26.9,,,,,,,
117,1989-10,,22.6,27.4,,,,,,,
118,1989-11,,22.5,28.3,,,,,,,
119,1989-12,,22.8,28.2,,,,,,,
120,1990-01,,,,,,,,,,
121,1990-02,,22.9,28.7,,,,,,,
122,1990-03,,23.2,28.5,,,,,,,
123,1990-04,,24.2,28.7,,,,,,,
124,1990-05,,,,,,,,,,
125,1990-06,,23.3,26.9,,,,,,,
126,1990-07,,22.4,26.7,,,,,,,
127,1990-08,,22.4,26.2,,,,,,,
128,1990-09,,22.7,26.5,,,,,,,
129,1990-10,,23.2,27.7,,,,,,,
130,1990-11,,23.2,28.4,,,,,,,
131,1990-12,,22.8,28.3,,,,,,,
132,1991-01,,22.5,27.8,,,,,,,
133,1991-02,,23.2,28.2,,,,,,,
134,1991-03,,22.6,28.2,,,,,,,
135,1991-04,,23.3,27.8,,,,,,,
136,1991-05,,,,,,,,,,
137,1991-06,,23.1,27.2,,,,,,,
138,1991-07,,22.6,26.5,,,,,,,
139,1991-08,,,,,,,,,,
140,1991-09,,21.9,26.2,,,,,,,
141,1991-10,,22.5,27.2,,,,,,,
142,1991-11,,22.3,27.2,,,,,,,
143,1991-12,,22.3,27.7,,,,,,,
144,1992-01,,22.6,28.2,,,,,,,
145,1992-02,,22.8,28.2,,,,,,,
146,1992-03,,23.3,28.9,,,,,,,
147,1992-04,,23.2,28.6,,,,,,,
148,1992-05,,23.5,28.4,,,,,,,
149,1992-06,,,,,,,,,,
150,1992-07,,22.7,26.6,,,,,,,
151,1992-08,,21.8,26.1,,,,,,,
152,1992-09,,,,,,,,,,
153,1992-10,,,,,,,,,,
154,1992-11,,22.7,27.1,,,,,,,
155,1992-12,,22.5,27.6,,,,,,,
156,1993-01,,22.9,28.1,,,,,,,
157,1993-02,,22.4,,,,,,,,
158,1993-03,,23.2,28.3,,,,,,,
159,1993-04,,23.3,28.0,,,,,,,
160,1993-05,,24.0,28.0,,,,,,,
161,1993-06,,23.4,27.8,,,,,,,
162,1993-07,,22.6,26.6,,,,,,,
163,1993-08,,22.2,26.1,,,,,,,
164,1993-09,,22.2,26.5,,,,,,,
165,1993-10,,,,,,,,,,
166,1993-11,,,,,,,,,,
167,1993-12,,,,,,,,,,
168,1994-01,,,,,,,,,,
169,1994-02,,,,,,,,,,
170,1994-03,,,,,,,,,,
171,1994-04,,,,,,,,,,
172,1994-05,,,,,,,,,,
173,1994-06,,,,,,,,,,
174,1994-07,,,,,,,,,,
175,1994-08,,,,,,,,,,
176,1994-09,,,,,,,,,,
177,1994-10,,,,,,,,,,
178,1994-11,,,,,,,,,,
179,1994-12,,,,,,,,,,
180,1995-01,,,,,,,,,,
181,1995-02,,,,,,,,,,
182,1995-03,,,,,,,,,,
183,1995-04,,23.5,28.4,,,,,,,
184,1995-05,,,,,,,,,,
185,1995-06,,,,,,,,,,
186,1995-07,,,,,,,,,,
187,1995-08,,,26.2,,,,,,,
188,1995-09,,,,,,,,,,
189,1995-10,,,,,,,,,,
190,1995-11,,23.4,27.2,,,,,,,
191,1995-12,,22.3,27.1,,,,,,,
192,1996-01,,23.1,28.0,,,,,,,
193,1996-02,,23.2,28.3,,,,,,,
194,1996-03,,23.7,28.5,,,,,,,
195,1996-04,,23.8,28.6,,,,,,,
196,1996-05,,24.3,27.6,,,,,,,
197,1996-06,,23.6,27.1,,,,,,,
198,1996-07,,23.4,27.0,,,,,,,
199,1996-08,23.7,22.6,26.3,96.0,,,,,1012.1,
