,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.7,25.4,30.0,224.0,,,,,1008.0,
1,1980-02,27.7,25.3,30.2,220.0,,,,,1008.8,
2,1980-03,28.1,26.2,30.9,54.0,,,,,1011.3,
3,1980-04,27.6,25.2,29.9,206.0,,,,,1009.4,
4,1980-05,27.3,25.6,29.1,137.0,,,,,1011.0,
5,1980-06,26.1,24.4,27.7,111.0,,,,,1012.0,
6,1980-07,25.3,23.5,27.0,164.0,,,,,1012.5,
7,1980-08,25.9,24.0,27.8,144.0,,,,,1013.3,
8,1980-09,26.1,24.3,27.8,197.0,,,,,1013.4,
9,1980-10,26.3,24.4,28.2,89.0,,,,,1013.2,
10,1980-11,26.5,24.6,28.4,10.0,,,,,1012.0,
11,1980-12,26.8,24.6,29.1,6.0,,,,,1010.2,
12,1981-01,26.1,24.1,29.1,91.0,,,,,1010.6,
13,1981-02,26.7,24.2,29.1,127.0,,,,,1010.2,
14,1981-03,27.1,24.9,29.4,204.0,,,,,1011.6,
15,1981-04,26.9,24.7,29.1,478.0,,,,,1010.2,
16,1981-05,27.3,25.5,29.2,195.0,,,,,1009.9,
17,1981-06,26.2,24.4,28.0,481.0,,,,,1011.2,
18,1981-07,25.9,24.3,27.7,191.0,,,,,1011.8,
19,1981-08,25.9,24.0,27.8,176.0,,,,,1012.9,
20,1981-09,26.4,24.6,28.2,38.0,,,,,1012.8,
21,1981-10,26.7,24.9,28.6,13.0,,,,,1012.6,
22,1981-11,26.3,24.1,28.5,89.0,,,,,1010.6,
23,1981-12,26.9,24.5,29.3,64.0,,,,,1011.4,
24,1982-01,26.8,24.6,29.0,158.0,,,,,1009.2,
25,1982-02,27.1,25.1,29.2,91.0,,,,,1010.0,
26,1982-03,27.1,24.7,29.4,235.0,,,,,1010.0,
27,1982-04,27.0,25.0,29.0,257.0,,,,,1011.4,
28,1982-05,27.0,25.1,28.8,80.0,,,,,1012.1,
29,1982-06,26.3,24.5,28.1,339.0,,,,,1012.4,
30,1982-07,25.7,24.0,27.5,87.0,,,,,1013.0,
31,1982-08,25.8,23.9,27.7,18.0,,,,,1014.1,
32,1982-09,25.3,23.3,27.3,83.0,,,,,1014.9,12480.0
33,1982-10,26.2,24.2,28.2,8.0,,,,,1014.0,
34,1982-11,26.9,24.8,29.1,30.0,,,,,1012.7,
35,1982-12,27.7,25.5,30.0,79.0,,,,,1011.1,
36,1983-01,27.9,25.5,30.2,248.0,,,,,1011.4,
37,1983-02,28.5,26.3,30.8,153.0,,,,,1011.2,
38,1983-03,28.7,26.5,31.0,354.0,,,,,1010.3,
39,1983-04,28.3,26.1,30.5,395.0,,,,,1009.0,
40,1983-05,27.5,25.6,29.3,363.0,,,,,1010.8,
41,1983-06,26.1,25.1,28.7,273.0,,,,,,
42,1983-07,26.1,24.4,27.8,284.0,,,,,1012.3,
43,1983-08,26.7,24.9,28.5,31.0,,,,,1013.0,
44,1983-09,26.4,24.9,28.6,11.0,,,,,1013.8,
45,1983-10,27.1,25.1,29.1,67.0,,,,,1011.4,
46,1983-11,27.1,25.0,29.1,157.0,,,,,1012.0,
47,1983-12,26.9,24.7,29.1,42.0,,,,,1012.2,
48,1984-01,27.5,25.0,29.8,182.0,,,,,1009.0,
49,1984-02,26.9,24.4,29.4,409.0,,,,,1007.2,
50,1984-03,26.9,24.8,29.5,447.0,,,,,1009.8,
51,1984-04,27.5,25.4,29.5,179.0,,,,,1010.0,
52,1984-05,27.5,,29.5,389.0,,,,,1009.8,
53,1984-06,27.3,25.3,29.2,169.0,,,,,1011.1,
54,1984-07,26.3,24.4,28.4,494.0,,,,,1010.2,
55,1984-08,26.3,24.5,28.0,218.0,,,,,1011.4,
56,1984-09,26.5,24.5,28.2,47.0,,,,,1012.2,
57,1984-10,26.7,24.8,28.6,64.0,,,,,1012.9,
58,1984-11,27.3,25.4,29.3,56.0,,,,,1011.7,
59,1984-12,27.0,24.9,29.1,47.0,,,,,1009.4,
60,1985-01,27.5,25.4,29.9,105.0,,,,,1011.0,
61,1985-02,27.2,24.7,29.6,282.0,,,,,1006.2,
62,1985-03,27.5,25.4,29.7,323.0,,,,,1010.2,
63,1985-04,27.4,25.1,29.6,71.0,,,,,1009.2,
64,1985-05,27.5,25.8,29.2,60.0,,,,,1009.6,
65,1985-06,26.8,24.8,28.8,113.0,,,,,1010.6,
66,1985-07,25.9,24.1,27.9,175.0,,,,,1011.8,
67,1985-08,26.3,24.2,28.3,69.0,,,,,1012.4,
68,1985-09,26.3,24.4,28.1,25.0,,,,,1012.9,
69,1985-10,26.5,24.5,28.4,73.0,,,,,1011.9,
70,1985-11,26.7,24.8,28.7,34.0,,,,,1012.0,
71,1985-12,27.2,24.8,29.4,5.0,,,,,1011.6,
72,1986-01,27.0,24.9,29.1,264.0,,,,,1009.2,
73,1986-02,27.1,24.6,29.6,362.0,,,,,1009.9,
74,1986-03,27.5,25.4,29.7,297.0,,,,,1009.8,
75,1986-04,27.3,25.2,29.1,183.0,,,,,1010.5,
76,1986-05,26.3,24.8,28.6,215.0,,,,,1011.2,
77,1986-06,25.7,23.9,27.5,134.0,,,,,1011.3,
