,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,13.5,6.2,19.9,26.0,,,,,,
1,1980-02,13.3,6.2,20.4,41.0,,,,,,
2,1980-03,14.3,8.3,20.1,28.0,,,,,,
3,1980-04,14.2,7.7,20.1,41.0,,,,,,
4,1980-05,14.2,7.9,19.8,36.0,,,,,,
5,1980-06,14.0,8.7,18.7,74.0,,,,,,
6,1980-07,13.7,7.7,19.1,10.0,,,,,,
7,1980-08,12.8,5.6,17.8,38.0,,,,,,
8,1980-09,13.8,7.5,19.7,43.0,,,,,,
9,1980-10,13.7,7.7,19.2,61.0,,,,,,
10,1980-11,13.3,7.3,18.8,49.0,,,,,,
11,1980-12,12.4,4.7,19.7,104.0,,,,,,
12,1981-01,11.7,3.1,20.3,3.0,,,,,,
13,1981-02,13.9,7.6,19.8,26.0,,,,,,
14,1981-03,13.8,6.6,20.5,13.0,,,,,,
15,1981-04,14.1,9.2,19.2,166.0,,,,,,
16,1981-05,14.0,9.8,18.7,199.0,,,,,,
17,1981-06,14.0,9.4,18.8,76.0,,,,,,
18,1981-07,13.2,7.9,18.1,22.0,,,,,,
19,1981-08,13.1,7.2,18.7,32.0,,,,,,
20,1981-09,13.0,6.9,17.8,39.0,,,,,,
21,1981-10,13.2,7.5,18.7,110.0,,,,,,
22,1981-11,13.6,8.2,19.8,109.0,,,,,,
23,1981-12,13.4,6.0,19.5,24.0,,,,,,
24,1982-01,12.7,5.5,19.8,76.0,,,,,,
25,1982-02,13.9,8.4,19.2,39.0,,,,,,
26,1982-03,13.9,8.5,19.8,84.0,,,,,,
27,1982-04,13.9,10.0,19.1,207.0,,,,,,
28,1982-05,13.8,8.8,18.9,80.0,,,,,,
29,1982-06,13.7,8.1,18.8,15.0,,,,,,
30,1982-07,13.4,7.9,18.1,11.0,,,,,,
31,1982-08,13.2,7.1,18.4,18.0,,,,,,
32,1982-09,13.7,7.9,19.1,12.0,,,,,,
33,1982-10,13.3,7.6,19.1,106.0,,,,,,
34,1982-11,13.4,7.8,18.4,62.0,,,,,,
35,1982-12,13.9,8.2,19.4,43.0,,,,,,
36,1983-01,14.1,6.5,20.7,6.0,,,,,,
37,1983-02,14.7,7.3,21.2,17.0,,,,,,
38,1983-03,14.7,8.1,20.9,115.0,,,,,,
39,1983-04,14.4,9.7,19.5,208.0,,,,,,
40,1983-05,14.8,9.7,19.2,119.0,,,,,,
41,1983-06,13.7,7.4,19.0,53.0,,,,,,
42,1983-07,13.9,8.3,18.7,46.0,,,,,,
43,1983-08,13.5,7.7,18.6,35.0,,,,,,
44,1983-09,13.6,7.1,19.1,29.0,,,,,,
45,1983-10,13.2,7.6,18.9,82.0,,,,,,
46,1983-11,13.6,6.8,19.6,43.0,,,,,,
47,1983-12,12.9,6.8,18.8,133.0,,,,,,
48,1984-01,12.1,6.2,18.8,100.0,,,,,,
49,1984-02,10.0,7.3,18.5,64.0,,,,,,
50,1984-03,13.4,6.8,19.7,65.0,,,,,,
51,1984-04,13.3,7.1,19.4,140.0,,,,,,
52,1984-05,13.8,8.9,19.2,118.0,,,,,,
53,1984-06,13.1,7.9,18.1,87.0,,,,,,
54,1984-07,12.9,7.1,17.8,36.0,,,,,,8340.0
55,1984-08,13.2,7.4,18.2,75.0,,,,,,
