,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.3,,,590.0,,,,,,9180.0
1,1980-02,26.3,,,220.0,,,,,,12840.0
2,1980-03,,,,348.0,,,,,,12420.0
3,1980-04,,,,98.0,,,,,,9180.0
4,1980-05,23.3,,,261.0,,,,,,8280.0
5,1980-06,,,,113.0,,,,,,9660.0
6,1980-07,,,,155.0,,,,,,12000.0
7,1980-08,,,,,,,,,,
8,1980-09,22.9,,,42.0,,,,,,12780.0
9,1980-10,23.6,,,,,,,,,
10,1980-11,24.8,,,130.0,,,,,,12660.0
11,1980-12,25.2,,,,,,,,,
12,1981-01,25.8,,,214.0,,,,,1010.9,10980.0
13,1981-02,26.4,,,258.0,,,,,1008.7,9060.0
14,1981-03,25.8,,,71.0,,,,,1009.8,10740.0
15,1981-04,24.7,,,256.0,,,,,,
16,1981-05,22.8,,,79.0,,,,,1014.9,9540.0
17,1981-06,23.0,,,300.0,,,,,1015.5,7920.0
18,1981-07,22.0,,,216.0,,,,,1015.3,9000.0
19,1981-08,21.9,,,120.0,,,,,1015.9,12660.0
20,1981-09,22.6,,,213.0,,,,,1015.1,8880.0
21,1981-10,23.2,,,131.0,,,,,1014.4,8880.0
22,1981-11,24.6,,,151.0,,,,,1012.8,10260.0
23,1981-12,24.5,,,217.0,,,,,1011.9,7020.0
24,1982-01,26.5,,,70.0,,,,,1012.8,12360.0
25,1982-02,25.9,,,234.0,,,,,1011.6,12720.0
26,1982-03,26.4,,,72.0,,,,,1012.9,15780.0
27,1982-04,25.2,,,213.0,,,,,1011.7,9360.0
28,1982-05,24.0,,,151.0,,,,,1013.7,7440.0
29,1982-06,22.3,,,65.0,,,,,1013.8,8220.0
30,1982-07,21.6,,,107.0,,,,,1014.8,8760.0
31,1982-08,21.0,,,76.0,,,,,1014.1,6960.0
32,1982-09,20.9,,,59.0,,,,,1015.5,10440.0
33,1982-10,22.2,,,23.0,,,,,1014.2,13320.0
34,1982-11,22.8,,,13.0,,,,,1014.0,12120.0
35,1982-12,23.9,,,20.0,,,,,1011.5,12660.0
36,1983-01,25.1,,,38.0,,,,,1009.8,11880.0
37,1983-02,26.7,,,141.0,,,,,1010.7,12960.0
38,1983-03,26.3,,,23.0,,,,,1012.7,14160.0
39,1983-04,25.0,,,83.0,,,,,1013.6,9540.0
40,1983-05,24.6,,,100.0,,,,,1015.1,9060.0
41,1983-06,22.3,,,43.0,,,,,1015.4,8640.0
42,1983-07,21.7,,,89.0,,,,,1015.5,10800.0
43,1983-08,21.0,,,89.0,,,,,1017.9,
44,1983-09,22.7,,,72.0,,,,,1017.8,12000.0
45,1983-10,23.2,,,,,,,,,
46,1983-11,24.4,,,22.0,,,,,1013.9,14160.0
47,1983-12,25.2,,,280.0,,,,,1011.9,11940.0
48,1984-01,25.8,,,188.0,,,,,1011.1,10440.0
49,1984-02,26.7,,,326.0,,,,,1010.4,7860.0
50,1984-03,26.1,,,196.0,,,,,1010.8,10260.0
51,1984-04,25.7,,,237.0,,,,,1013.0,9900.0
52,1984-05,23.3,,,143.0,,,,,1016.0,9720.0
53,1984-06,22.0,,,37.0,,,,,1015.7,8520.0
54,1984-07,21.5,,,19.0,,,,,1016.5,9180.0
55,1984-08,21.5,,,146.0,,,,,1015.2,
56,1984-09,21.4,,,76.0,,,,,1015.6,9240.0
57,1984-10,21.8,,,,,,,,,
58,1984-11,24.3,,,159.0,,,,,1013.4,9900.0
59,1984-12,24.8,,,350.0,,,,,1008.5,7260.0
60,1985-01,26.0,,,356.0,,,,,1009.4,11400.0
61,1985-02,26.7,,,131.0,,,,,1011.9,11400.0
62,1985-03,26.9,,,89.0,,,,,1011.9,13500.0
63,1985-04,24.7,,,327.0,,,,,1013.0,10680.0
64,1985-05,24.0,,,171.0,,,,,1011.8,8640.0
65,1985-06,21.4,,,140.0,,,,,1014.3,
66,1985-07,21.4,,,95.0,,,,,1016.2,9900.0
67,1985-08,22.2,,,105.0,,,,,1017.5,10560.0
68,1985-09,21.3,,,123.0,,,,,1016.1,8880.0
69,1985-10,21.3,,,64.0,,,,,1015.0,10560.0
70,1985-11,24.1,,,144.0,,,,,1011.6,10860.0
71,1985-12,25.2,,,330.0,,,,,1010.4,9240.0
72,1986-01,25.8,,,270.0,,,,,1009.7,9000.0
73,1986-02,26.2,,,177.0,,,,,1008.4,9600.0
74,1986-03,25.9,,,62.0,,,,,1012.9,12000.0
75,1986-04,25.4,,,344.0,,,,,1012.1,6180.0
76,1986-05,22.9,,,219.0,,,,,1014.1,8700.0
77,1986-06,23.0,,,181.0,,,,,1013.9,7620.0
78,1986-07,22.5,,,124.0,,,,,1014.0,8940.0
79,1986-08,21.5,,,130.0,,,,,1013.7,9720.0
80,1986-09,22.4,,,239.0,,,,,1014.6,6960.0
81,1986-10,23.5,,,139.0,,,,,1016.2,10980.0
82,1986-11,24.0,,,265.0,,,,,1011.7,12240.0
83,1986-12,24.8,,,65.0,,,,,1011.3,12420.0
84,1987-01,25.6,,,355.0,,,,,1010.6,6660.0
85,1987-02,26.0,,,158.0,,,,,1009.5,9300.0
86,1987-03,25.7,,,92.0,,,,,1012.5,9960.0
87,1987-04,25.9,,,24.0,,,,,1013.3,11340.0
88,1987-05,23.3,,,213.0,,,,,1013.1,6360.0
89,1987-06,21.6,,,105.0,,,,,1013.9,9960.0
90,1987-07,20.5,,,34.0,,,,,1015.1,8820.0
91,1987-08,20.7,,,94.0,,,,,1016.5,8280.0
92,1987-09,21.4,,,25.0,,,,,1015.7,8520.0
93,1987-10,22.1,,,78.0,,,,,1017.0,12960.0
94,1987-11,24.2,,,52.0,,,,,1012.9,11340.0
95,1987-12,25.6,,,25.0,,,,,1012.8,10740.0
96,1988-01,26.0,,,421.0,,,,,1012.3,8940.0
97,1988-02,26.0,,,224.0,,,,,1010.0,11040.0
98,1988-03,26.8,,,42.0,,,,,1011.3,
99,1988-04,25.8,,,364.0,,,,,1012.0,6120.0
100,1988-05,25.0,,,42.0,,,,,1016.0,9480.0
101,1988-06,25.0,,,280.0,,,,,1016.0,8460.0
102,1988-07,22.3,,,127.0,,,,,1016.5,7980.0
103,1988-08,22.0,,,93.0,,,,,1017.5,12120.0
104,1988-09,23.5,,,135.0,,,,,,
105,1988-10,24.2,,,127.0,,,,,,
106,1988-11,23.9,,,316.0,,,,,1013.9,7020.0
107,1988-12,24.9,,,271.0,,,,,1011.7,7320.0
108,1989-01,25.7,,,221.0,,,,,1012.7,9300.0
109,1989-02,26.6,,,38.0,,,,,1013.0,
110,1989-03,26.4,,,81.0,,,,,1014.0,13800.0
111,1989-04,26.4,,,195.0,,,,,1012.7,9120.0
112,1989-05,24.3,,,187.0,,,,,1014.2,14220.0
113,1989-06,23.4,,,,,,,,,
114,1989-07,22.3,,,,,,,,,
115,1989-08,22.8,,,,,,,,,
116,1989-09,22.9,,,110.0,,,,,1016.5,11340.0
117,1989-10,23.9,,,106.0,,,,,1015.4,10920.0
118,1989-11,23.7,,,385.0,,,,,1012.4,9000.0
119,1989-12,24.7,,,81.0,,,,,1011.6,10320.0
120,1990-01,26.3,,,101.0,,,,,1012.0,14820.0
121,1990-02,25.9,,,392.0,,,,,1009.7,8160.0
