,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-0.9,,,42.0,,,,,1020.0,2760.0
1,1980-02,4.0,,,23.0,,,,,1023.6,5580.0
2,1980-03,6.7,,,61.0,,,,,1012.8,6900.0
3,1980-04,9.3,,,75.0,,,,,1013.3,7440.0
4,1980-05,13.4,,,71.0,,,,,1012.7,7800.0
5,1980-06,18.7,,,66.0,,,,,1012.8,11220.0
6,1980-07,19.9,,,67.0,,,,,1013.2,14160.0
7,1980-08,20.6,,,95.0,,,,,1016.2,13800.0
8,1980-09,16.4,,,80.0,,,,,1021.1,10920.0
9,1980-10,11.4,,,162.0,,,,,1015.0,6540.0
10,1980-11,5.0,,,154.0,,,,,1018.1,3780.0
11,1980-12,,,,,,,,,,
12,1981-01,-0.8,,,33.0,,,,,1020.6,7740.0
13,1981-02,1.7,,,61.0,,,,,1020.8,6660.0
14,1981-03,10.1,,,69.0,,,,,1013.5,8100.0
15,1981-04,12.1,,,21.0,,,,,1019.3,12180.0
16,1981-05,16.0,,,133.0,,,,,1013.5,13260.0
17,1981-06,19.7,,,131.0,,,,,1015.8,14160.0
18,1981-07,21.2,,,30.0,,,,,1015.8,16620.0
19,1981-08,20.8,,,49.0,,,,,,14880.0
20,1981-09,17.3,,,130.0,,,,,1017.1,8400.0
21,1981-10,13.5,,,64.0,,,,,1015.1,6720.0
22,1981-11,6.2,,,44.0,,,,,1021.6,6540.0
23,1981-12,1.9,,,146.0,,,,,1006.6,2040.0
24,1982-01,-1.0,,,18.0,,,,,1021.8,1860.0
25,1982-02,0.6,,,1.0,,,,,1025.1,5700.0
26,1982-03,6.8,,,47.0,,,,,1017.8,8220.0
27,1982-04,9.3,,,49.0,,,,,1016.5,8040.0
28,1982-05,17.0,,,52.0,,,,,1019.7,13260.0
29,1982-06,20.6,,,103.0,,,,,1014.7,13320.0
30,1982-07,22.0,,,54.0,,,,,1016.1,14040.0
31,1982-08,20.6,,,110.0,,,,,1015.8,13920.0
32,1982-09,19.4,,,67.0,,,,,1019.5,11160.0
33,1982-10,12.5,,,126.0,,,,,1019.0,4980.0
34,1982-11,7.0,,,39.0,,,,,1022.2,2700.0
35,1982-12,5.0,,,135.0,,,,,1017.1,1680.0
36,1983-01,4.0,,,29.0,,,,,1025.5,
37,1983-02,0.6,,,96.0,,,,,1019.3,
38,1983-03,8.3,,,84.0,,,,,1017.9,7920.0
39,1983-04,14.0,,,17.0,,,,,1012.3,10440.0
40,1983-05,17.6,,,84.0,,,,,1011.4,13860.0
41,1983-06,19.3,,,93.0,,,,,1017.9,
42,1983-07,23.8,,,26.0,,,,,1016.1,13860.0
43,1983-08,21.5,,,88.0,,,,,1016.1,13680.0
44,1983-09,17.2,,,78.0,,,,,1018.6,13620.0
45,1983-10,12.0,,,89.0,,,,,1023.5,11280.0
46,1983-11,,,,,,,,,,
47,1983-12,2.1,,,40.0,,,,,1022.0,
48,1984-01,1.3,,,174.0,,,,,1017.1,3600.0
49,1984-02,1.2,,,54.0,,,,,1020.9,
50,1984-03,6.1,,,32.0,,,,,1015.6,7500.0
51,1984-04,11.2,,,44.0,,,,,1016.0,7740.0
52,1984-05,14.4,,,141.0,,,,,1009.5,10800.0
53,1984-06,18.3,,,73.0,,,,,1016.1,15240.0
54,1984-07,,,,,,,,,,
55,1984-08,19.9,,,30.0,,,,,1017.0,14580.0
56,1984-09,,,,,,,,,,
57,1984-10,12.8,,,70.0,,,,,1021.2,8460.0
58,1984-11,6.9,,,59.0,,,,,1018.0,5040.0
59,1984-12,1.9,,,30.0,,,,,1025.1,1140.0
60,1985-01,-3.7,,,40.0,,,,,1015.7,3000.0
61,1985-02,-1.4,,,42.0,,,,,1022.4,6720.0
62,1985-03,6.0,,,82.0,,,,,1015.0,4800.0
63,1985-04,11.7,,,62.0,,,,,1013.1,11160.0
64,1985-05,17.5,,,107.0,,,,,1011.8,15360.0
65,1985-06,,,,,,,,,,
66,1985-07,21.9,,,31.0,,,,,1016.1,17520.0
67,1985-08,21.4,,,96.0,,,,,1015.7,16980.0
68,1985-09,17.6,,,38.0,,,,,1021.0,15240.0
69,1985-10,11.4,,,4.0,,,,,1025.4,8220.0
70,1985-11,4.1,,,142.0,,,,,1016.5,2220.0
71,1985-12,6.2,,,49.0,,,,,1019.8,4800.0
72,1986-01,2.0,,,59.0,,,,,1014.0,4920.0
73,1986-02,-2.2,,,90.0,,,,,1015.4,2460.0
74,1986-03,4.4,,,74.0,,,,,1020.2,6060.0
75,1986-04,,,,58.0,,,,,,
76,1986-05,19.0,,,71.0,,,,,1017.6,15840.0
77,1986-06,18.2,,,194.0,,,,,,11160.0
78,1986-07,,,,81.0,,,,,,
79,1986-08,21.9,,,81.0,,,,,1015.4,16920.0
80,1986-09,16.1,,,49.0,,,,,1020.6,13080.0
81,1986-10,,,,96.0,,,,,,
82,1986-11,6.9,,,11.0,,,,,1025.2,5400.0
83,1986-12,0.5,,,31.0,,,,,1020.6,2580.0
84,1987-01,-1.9,,,81.0,,,,,1018.2,3240.0
85,1987-02,2.6,,,79.0,,,,,1016.5,4680.0
86,1987-03,2.6,,,38.0,,,,,1018.0,7020.0
87,1987-04,12.5,,,42.0,,,,,1017.7,12120.0
88,1987-05,14.7,,,90.0,,,,,1012.5,10980.0
89,1987-06,19.3,,,68.0,,,,,1014.8,14220.0
90,1987-07,,,,,,,,,,
