,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,27.4,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,26.5,,,,,,,,,
10,1980-11,24.6,,,,,,,,,
11,1980-12,22.0,,,,,,,,,
12,1981-01,19.0,,,,,,,,,
13,1981-02,21.5,,,,,,,,,
14,1981-03,22.5,,,,,,,,,
15,1981-04,24.6,,,,,,,,,
16,1981-05,26.8,,,,,,,,,
17,1981-06,27.4,,,,,,,,,
18,1981-07,28.0,,32.7,,,,,,,
19,1981-08,27.8,,,,,,,,,
20,1981-09,27.6,,,,,,,,,
21,1981-10,26.6,,30.8,,,,,,,
22,1981-11,23.7,,,,,,,,,
23,1981-12,22.0,,,7.0,,,,,1016.7,
24,1982-01,,,,,,,,,,
25,1982-02,23.8,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,25.2,,,,,,,,,
29,1982-06,26.4,,,,,,,,,
30,1982-07,27.4,,,,,,,,,
31,1982-08,27.9,,,,,,,,,
32,1982-09,26.9,,31.6,,,,,,,
33,1982-10,25.6,,,,,,,,,
34,1982-11,24.4,,,,,,,,,
35,1982-12,23.0,,,19.0,,,,,1017.3,
36,1983-01,21.8,,,189.0,,,,,1015.6,
37,1983-02,21.4,,,,,,,,,
38,1983-03,,,,,,,,,,
39,1983-04,23.4,,,96.0,,,,,1013.3,
40,1983-05,,,,,,,,,,
41,1983-06,26.7,,,187.0,,,,,1013.2,
42,1983-07,,,,,,,,,,
43,1983-08,27.6,,,94.0,,,,,1015.9,
44,1983-09,,,,,,,,,,
45,1983-10,26.1,,,,,,,,,
46,1983-11,24.6,,,,,,,,,
47,1983-12,23.7,,,,,,,,,
48,1984-01,22.1,,,,,,,,,
49,1984-02,22.4,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,24.8,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,26.3,22.5,,,,,,,,
54,1984-07,26.9,,,,,,,,,
55,1984-08,27.5,,,,,,,,,
56,1984-09,26.2,,31.2,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,20.9,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,23.7,19.5,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,,,,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,25.4,,,,,,,,,
77,1986-06,,,,125.0,,,,,,
78,1986-07,27.7,24.3,31.9,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,26.1,,,,,,,,,
82,1986-11,26.0,,,,,,,,,
83,1986-12,24.4,,,,,,,,,
84,1987-01,21.9,,,27.0,,,,,,
85,1987-02,,,,114.0,,,,,,
86,1987-03,23.1,,,235.0,,,,,,
87,1987-04,,,,18.0,,,,,,
88,1987-05,26.2,,,,,,,,,
89,1987-06,,,,126.0,,,,,,
90,1987-07,27.9,,32.4,98.0,,,,,,
91,1987-08,28.3,,,64.0,,,,,,
92,1987-09,27.7,,,,,,,,,
93,1987-10,25.5,,,,,,,,,
94,1987-11,24.5,,,,,,,,,
95,1987-12,23.0,,,80.0,,,,,,
96,1988-01,21.6,,,122.0,,,,,,
97,1988-02,21.4,,,58.0,,,,,,
98,1988-03,22.7,,,23.0,,,,,,
99,1988-04,,,,,,,,,,
100,1988-05,24.8,,,215.0,,,,,1014.2,
