,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.5,,,45.0,,,,,1012.6,14580.0
1,1980-02,26.4,,,52.0,,,,,1012.9,15360.0
2,1980-03,,,,,,,,,,
3,1980-04,27.7,,,0.5,,,,,1011.4,15060.0
4,1980-05,28.3,,,46.0,,,,,1011.0,14160.0
5,1980-06,28.6,,,6.0,,,,,1012.7,15900.0
6,1980-07,28.6,,,7.0,,,,,1012.4,19020.0
7,1980-08,28.7,,,57.0,,,,,1011.7,18480.0
8,1980-09,29.0,,,48.0,,,,,1010.9,16800.0
9,1980-10,28.9,,,30.0,,,,,1011.1,15300.0
10,1980-11,27.8,,,88.0,,,,,1011.4,14040.0
11,1980-12,27.1,,,55.0,,,,,1011.4,15120.0
12,1981-01,26.9,,,46.0,,,,,1012.4,15600.0
13,1981-02,27.2,,,104.0,,,,,1011.4,12480.0
14,1981-03,27.4,,,11.0,,,,,1012.0,
15,1981-04,27.6,,,92.0,,,,,1011.1,11580.0
16,1981-05,28.3,,,88.0,,,,,1010.6,15120.0
17,1981-06,28.1,,,10.0,,,,,1012.2,13740.0
18,1981-07,28.7,,,30.0,,,,,1012.4,
19,1981-08,28.7,,,213.0,,,,,1011.4,14820.0
20,1981-09,28.7,,,21.0,,,,,1011.0,16020.0
21,1981-10,28.7,,,21.0,,,,,1010.9,
22,1981-11,28.5,,,55.0,,,,,1010.5,15120.0
23,1981-12,27.8,,,115.0,,,,,1011.5,
24,1982-01,26.5,,,94.0,,,,,1013.2,
25,1982-02,26.5,,,28.0,,,,,1013.0,
26,1982-03,26.7,,,10.0,,,,,1012.7,
27,1982-04,27.4,,,12.0,,,,,1012.3,
28,1982-05,28.0,,,58.0,,,,,1011.0,
29,1982-06,28.0,,,39.0,,,,,1012.9,
30,1982-07,28.0,,,39.0,,,,,1013.4,
31,1982-08,28.6,,,11.0,,,,,1012.4,
32,1982-09,28.8,,,8.0,,,,,1011.1,
33,1982-10,28.5,,,19.0,,,,,1010.8,
34,1982-11,27.7,,,28.0,,,,,1010.7,
35,1982-12,27.0,,,69.0,,,,,1012.0,
36,1983-01,26.6,,,25.0,,,,,1011.7,15240.0
37,1983-02,26.6,,,1.0,,,,,1011.7,14760.0
38,1983-03,27.4,,,0.0,,,,,1010.9,16920.0
39,1983-04,27.7,,,31.0,,,,,1010.6,11040.0
40,1983-05,28.4,,,36.0,,,,,1010.3,12060.0
41,1983-06,29.0,,,47.0,,,,,1011.4,16920.0
42,1983-07,28.5,,,55.0,,,,,1012.2,17880.0
43,1983-08,28.7,,,17.0,,,,,1013.0,17760.0
44,1983-09,29.1,,,13.0,,,,,1011.7,16020.0
45,1983-10,28.5,,,33.0,,,,,1011.0,15720.0
46,1983-11,28.3,,,8.0,,,,,1011.9,15840.0
47,1983-12,27.2,,,74.0,,,,,1013.1,14820.0
48,1984-01,26.7,,,41.0,,,,,1012.8,15720.0
49,1984-02,26.9,,,24.0,,,,,1011.3,14400.0
50,1984-03,26.9,,,3.0,,,,,1012.2,15720.0
51,1984-04,27.3,,,4.0,,,,,1011.8,14640.0
52,1984-05,28.2,,,2.0,,,,,1012.1,17520.0
53,1984-06,28.2,,,14.0,,,,,1012.2,15540.0
54,1984-07,27.9,,,47.0,,,,,1012.1,16500.0
55,1984-08,28.2,,,21.0,,,,,1012.2,17700.0
56,1984-09,28.3,,,117.0,,,,,1010.9,14580.0
57,1984-10,28.1,,,72.0,,,,,1010.6,15060.0
58,1984-11,27.3,,,216.0,,,,,1010.6,10740.0
59,1984-12,26.6,,,79.0,,,,,1012.0,14220.0
60,1985-01,25.8,,,64.0,,,,,1013.9,15540.0
61,1985-02,26.1,,,40.0,,,,,1013.6,15060.0
62,1985-03,26.4,,,16.0,,,,,1012.6,16320.0
63,1985-04,27.0,,,16.0,,,,,1011.7,15060.0
64,1985-05,27.9,,,14.0,,,,,1011.5,17880.0
65,1985-06,27.9,,,7.0,,,,,1013.4,12480.0
66,1985-07,28.1,,,51.0,,,,,1013.0,17400.0
67,1985-08,28.4,,,44.0,,,,,1012.2,18660.0
68,1985-09,28.5,,,36.0,,,,,1010.8,15240.0
69,1985-10,28.0,,,144.0,,,,,1010.4,14460.0
70,1985-11,27.2,,,203.0,,,,,1010.9,12720.0
71,1985-12,26.3,,,222.0,,,,,1013.3,12960.0
72,1986-01,25.9,,,32.0,,,,,1013.5,16140.0
73,1986-02,26.0,,,22.0,,,,,1013.5,15300.0
74,1986-03,26.8,,,3.0,,,,,1013.3,16980.0
75,1986-04,27.4,,,3.0,,,,,1010.7,12180.0
76,1986-05,27.7,,,26.0,,,,,1010.8,13080.0
77,1986-06,28.3,,,10.0,,,,,1012.6,16920.0
78,1986-07,28.1,,,23.0,,,,,1014.7,20040.0
79,1986-08,28.5,,,20.0,,,,,1012.4,18000.0
80,1986-09,28.4,,,59.0,,,,,1012.3,13440.0
81,1986-10,28.1,,,68.0,,,,,1011.9,14460.0
82,1986-11,27.6,,,27.0,,,,,1011.0,15240.0
83,1986-12,27.2,,,29.0,,,,,1013.2,15960.0
84,1987-01,26.6,,,3.0,,,,,1013.2,16500.0
85,1987-02,26.8,,,0.5,,,,,1012.0,16260.0
86,1987-03,27.2,,,9.0,,,,,1010.7,15960.0
87,1987-04,28.2,,,2.0,,,,,1010.4,15480.0
88,1987-05,28.8,,,36.0,,,,,1010.4,13620.0
89,1987-06,29.2,,,3.0,,,,,1012.2,16740.0
90,1987-07,28.8,,,38.0,,,,,1011.8,15000.0
91,1987-08,29.2,,,37.0,,,,,1011.7,17100.0
