,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-4.2,,,19.0,,,,,1019.3,1560.0
1,1980-02,2.0,,,36.0,,,,,1022.3,5340.0
2,1980-03,3.1,,,35.0,,,,,1012.7,6180.0
3,1980-04,5.8,,,71.0,,,,,1015.5,7320.0
4,1980-05,10.7,,,35.0,,,,,1015.1,14820.0
5,1980-06,15.8,,,72.0,,,,,1012.2,10740.0
6,1980-07,15.4,,,128.0,,,,,1012.8,7560.0
7,1980-08,17.2,,,38.0,,,,,1016.2,11820.0
8,1980-09,13.2,,,47.0,,,,,1020.7,8220.0
9,1980-10,8.3,,12.5,65.0,,,,,1013.8,5580.0
10,1980-11,2.8,,,29.0,,,,,1018.1,3600.0
11,1980-12,0.2,,,19.0,,,,,1018.7,3060.0
12,1981-01,-2.8,,,28.0,,,,,1020.0,3420.0
13,1981-02,0.0,,,14.0,,,,,1020.7,4140.0
14,1981-03,7.3,,,45.0,,,,,1011.2,6720.0
15,1981-04,7.9,,,23.0,,,,,1018.0,11460.0
16,1981-05,14.0,,,75.0,,,,,1012.7,13860.0
17,1981-06,17.3,,,23.0,,,,,1016.0,11640.0
18,1981-07,17.0,,,210.0,,,,,1015.8,8700.0
19,1981-08,17.6,,,37.0,,,,,1017.6,12600.0
20,1981-09,14.5,,,41.0,,,,,1017.4,8820.0
21,1981-10,8.8,,,98.0,,,,,1013.0,4500.0
22,1981-11,4.7,,,29.0,,,,,1021.6,2520.0
23,1981-12,-2.3,,,33.0,,,,,1004.7,1680.0
24,1982-01,-4.9,,,22.0,,,,,1021.9,2160.0
25,1982-02,-1.0,,,5.0,,,,,1024.7,5160.0
26,1982-03,4.8,,,46.0,,,,,1018.2,11040.0
27,1982-04,6.6,,,17.0,,,,,1017.2,12300.0
28,1982-05,14.3,,,24.0,,,,,1019.5,14280.0
29,1982-06,17.9,,,51.0,,,,,1014.3,13260.0
30,1982-07,20.0,,,51.0,,,,,1017.4,13320.0
31,1982-08,18.5,,,67.0,,,,,1015.6,11940.0
32,1982-09,16.8,,,8.0,,,,,1019.7,12420.0
33,1982-10,9.8,,,9.0,,,,,1015.1,5460.0
34,1982-11,4.8,,,20.0,,,,,1019.8,4140.0
35,1982-12,2.2,,,24.0,,,,,1015.6,2160.0
36,1983-01,3.8,,,28.0,,,,,1022.4,1860.0
37,1983-02,-2.3,,,25.0,,,,,1020.0,3780.0
38,1983-03,4.8,,,20.0,,,,,1017.4,6660.0
39,1983-04,10.0,,,57.0,,,,,1010.0,8640.0
40,1983-05,13.8,,,116.0,,,,,1010.7,11160.0
41,1983-06,17.3,,,31.0,,,,,1019.0,13500.0
42,1983-07,22.1,,,18.0,,,,,1017.0,18780.0
43,1983-08,19.0,,,143.0,,,,,1017.1,14100.0
44,1983-09,14.6,,,18.0,,,,,1017.4,11100.0
45,1983-10,9.9,,,6.0,,,,,1021.8,8580.0
46,1983-11,2.5,,,22.0,,,,,1020.0,2100.0
47,1983-12,-0.4,,,5.0,,,,,1020.0,3240.0
48,1984-01,0.5,,,25.0,,,,,1013.1,360.0
49,1984-02,-0.4,,,28.0,,,,,1021.5,4260.0
50,1984-03,2.7,,,27.0,,,,,1017.1,8760.0
51,1984-04,7.7,,,44.0,,,,,1018.7,9960.0
52,1984-05,12.6,,,57.0,,,,,1008.3,10200.0
53,1984-06,15.2,,,42.0,,,,,1015.0,1140.0
54,1984-07,16.8,,21.4,69.0,,,,,1017.5,11760.0
55,1984-08,17.8,,,66.0,,,,,1017.3,13740.0
56,1984-09,12.8,,,61.0,,,,,1011.1,6420.0
57,1984-10,10.4,,,21.0,,,,,1019.0,7680.0
58,1984-11,4.7,,,23.0,,,,,1015.4,3180.0
59,1984-12,0.1,,,9.0,,,,,1025.4,1860.0
60,1985-01,-6.5,,,27.0,,,,,1014.4,2640.0
61,1985-02,-4.0,,,12.0,,,,,1023.2,5580.0
62,1985-03,3.4,,6.4,30.0,,,,,1015.6,3600.0
63,1985-04,8.6,,,26.0,,,,,1012.1,9900.0
64,1985-05,14.8,,19.7,64.0,,,,,1011.6,10980.0
65,1985-06,14.4,,,65.0,,,,,1014.0,10200.0
66,1985-07,18.7,,,97.0,,,,,1017.2,16020.0
67,1985-08,18.0,,,100.0,,,,,1016.2,13980.0
68,1985-09,14.2,,,18.0,,,,,1020.4,10860.0
69,1985-10,8.7,,,11.0,,,,,1025.9,7440.0
70,1985-11,0.9,,,54.0,,,,,1016.2,2940.0
71,1985-12,3.8,,,24.0,,,,,1017.4,1920.0
72,1986-01,0.1,,,30.0,,,,,1010.3,3300.0
73,1986-02,-6.4,,,13.0,,,,,1018.0,6540.0
74,1986-03,3.9,,,27.0,,,,,1017.6,7020.0
75,1986-04,9.4,,,31.0,,,,,1010.6,10440.0
76,1986-05,16.2,,,107.0,,,,,1017.5,13320.0
77,1986-06,17.1,,,21.0,,,,,1016.4,15300.0
78,1986-07,18.2,,,54.0,,,,,1016.8,14400.0
79,1986-08,17.8,,23.4,114.0,,,,,1014.8,12120.0
80,1986-09,12.6,,,16.0,,,,,1021.0,9900.0
81,1986-10,9.4,,,29.0,,,,,1020.6,9540.0
82,1986-11,5.0,,,16.0,,,,,1023.9,4680.0
83,1986-12,1.4,,,40.0,,,,,1018.0,3420.0
84,1987-01,-6.7,,,36.0,,,,,1019.4,3420.0
85,1987-02,-0.8,,,35.0,,,,,1016.4,3780.0
86,1987-03,-0.7,,,21.0,,,,,1019.0,7140.0
87,1987-04,9.8,,,32.0,,,,,1017.9,9900.0
88,1987-05,11.6,,,91.0,,,,,1013.8,10020.0
89,1987-06,15.6,,,80.0,,,,,1014.4,8580.0
90,1987-07,18.6,,,100.0,,,,,1015.6,13980.0
91,1987-08,16.3,,,86.0,,,,,1015.2,10020.0
92,1987-09,15.5,,,73.0,,,,,1017.8,8220.0
93,1987-10,9.6,,,17.0,,,,,1021.0,8100.0
94,1987-11,4.9,,,25.0,,,,,1016.8,1620.0
95,1987-12,1.8,,,42.0,,,,,1022.2,2220.0
96,1988-01,2.6,,,29.0,,,,,1013.9,2580.0
97,1988-02,2.2,,,26.0,,,,,1012.8,4680.0
98,1988-03,2.7,,,42.0,,,,,1010.6,4740.0
99,1988-04,9.3,,,14.0,,,,,1016.6,13080.0
100,1988-05,15.7,,,31.0,,,,,1014.6,14520.0
101,1988-06,16.3,,21.1,100.0,,,,,1013.7,10440.0
102,1988-07,18.6,,,127.0,,,,,1015.5,14040.0
103,1988-08,18.3,,,60.0,,,,,1014.8,13320.0
104,1988-09,14.1,,,58.0,,,,,1018.4,8160.0
105,1988-10,9.9,,,17.0,,,,,1019.9,5340.0
106,1988-11,1.3,,,31.0,,,,,1023.0,3000.0
107,1988-12,2.7,,,39.0,,,,,1020.4,1380.0
108,1989-01,1.2,,,11.0,,,,,1032.6,3960.0
109,1989-02,3.6,,,20.0,,,,,1020.4,3240.0
110,1989-03,7.5,,,26.0,,,,,1016.2,8040.0
111,1989-04,9.2,,,54.0,,,,,1009.6,7620.0
112,1989-05,14.7,,,37.0,,,,,1020.2,16020.0
113,1989-06,16.2,,,67.0,,,,,1016.3,12660.0
114,1989-07,18.8,,,100.0,,,,,1019.2,12540.0
115,1989-08,18.3,,,45.0,,,,,1014.2,12660.0
116,1989-09,15.0,,,90.0,,,,,1018.7,7500.0
117,1989-10,10.6,,,30.0,,,,,1019.1,8880.0
118,1989-11,1.9,,,28.0,,,,,1019.5,4380.0
119,1989-12,1.6,,,18.0,,,,,1017.5,2880.0
120,1990-01,1.5,,,9.0,,,,,1024.2,4020.0
121,1990-02,5.5,,,38.0,,,,,1015.1,8220.0
122,1990-03,7.9,,,17.0,,,,,1025.4,8820.0
123,1990-04,8.1,,,45.0,,,,,1014.6,9840.0
124,1990-05,15.3,,,28.0,,,,,1019.5,17280.0
125,1990-06,17.4,,,53.0,,,,,1013.9,11880.0
126,1990-07,18.7,,,5.0,,,,,1017.9,15420.0
127,1990-08,19.8,,,52.0,,,,,1018.3,14460.0
128,1990-09,12.0,,,48.0,,,,,1016.1,6720.0
129,1990-10,9.6,,15.0,31.0,,,,,1016.2,9540.0
130,1990-11,4.4,,,66.0,,,,,1014.2,1800.0
131,1990-12,0.3,,,19.0,,,,,1019.2,3240.0
132,1991-01,1.3,,,8.0,,,,,1026.7,4620.0
133,1991-02,-2.9,,,11.0,,,,,1020.6,6480.0
134,1991-03,6.2,,,28.0,,,,,1016.9,3420.0
135,1991-04,7.8,,,24.0,,,,,1016.5,8760.0
136,1991-05,10.2,,,37.0,,,,,1017.4,9360.0
137,1991-06,15.6,,,90.0,,,,,1013.6,13020.0
138,1991-07,20.0,,,46.0,,,,,1016.3,15660.0
139,1991-08,18.5,,,56.0,,,,,1018.2,12060.0
140,1991-09,15.3,,,15.0,,,,,1016.8,10440.0
141,1991-10,8.1,,,8.0,,,,,1018.8,10620.0
142,1991-11,3.2,,,52.0,,,,,1016.9,2580.0
143,1991-12,-0.7,,,34.0,,,,,1027.8,3000.0
144,1992-01,1.4,,,22.0,,,,,1029.7,3480.0
145,1992-02,2.7,,,21.0,,,,,1023.8,3240.0
146,1992-03,4.5,,,48.0,,,,,1015.5,7320.0
147,1992-04,8.9,,,21.0,,,,,1013.2,9720.0
148,1992-05,15.4,,,18.0,,,,,1019.7,18060.0
