,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-1.1,-3.2,0.5,44.0,,,,,1017.1,
1,1980-02,-0.9,-2.3,0.9,58.0,,,,,1021.7,
2,1980-03,0.4,-1.0,3.2,16.0,,,,,1014.2,
3,1980-04,5.7,3.3,10.8,24.0,,,,,1015.7,
4,1980-05,11.1,6.8,15.1,28.0,,,,,1017.9,
5,1980-06,15.9,12.6,19.7,104.0,,,,,1009.7,
6,1980-07,17.1,14.0,20.8,77.0,,,,,1010.4,
7,1980-08,16.2,13.0,19.5,91.0,,,,,1012.2,
8,1980-09,14.2,11.1,17.9,58.0,,,,,1016.5,
9,1980-10,8.7,6.0,11.2,103.0,,,,,1006.9,
10,1980-11,4.4,2.1,6.3,80.0,,,,,1013.0,
11,1980-12,2.2,0.7,4.6,60.0,,,,,1007.9,
12,1981-01,0.0,-2.6,1.8,77.0,,,,,1012.2,
13,1981-02,1.2,-0.7,3.1,51.0,,,,,1018.1,
14,1981-03,3.4,0.8,6.0,75.0,,,,,1006.8,
15,1981-04,6.8,3.1,11.0,18.0,,,,,1019.0,
16,1981-05,13.1,9.4,17.9,50.0,,,,,1012.8,
17,1981-06,14.9,11.9,18.5,59.0,,,,,1013.3,
18,1981-07,16.6,13.4,20.6,92.0,,,,,1012.5,
19,1981-08,16.6,13.1,21.1,77.0,,,,,1015.6,
20,1981-09,13.8,11.4,17.6,41.0,,,,,1016.5,
21,1981-10,8.5,6.0,11.3,90.0,,,,,1005.8,
22,1981-11,5.3,3.0,7.6,84.0,,,,,1012.7,
23,1981-12,-1.9,-4.1,0.2,60.0,,,,,1000.7,
24,1982-01,-2.4,-5.2,-0.1,56.0,,,,,1015.6,
25,1982-02,-0.6,-2.0,1.6,13.0,,,,,1023.7,
26,1982-03,4.1,1.8,7.4,46.0,,,,,1013.3,
27,1982-04,7.3,4.0,11.9,26.0,,,,,1013.3,
28,1982-05,11.6,8.4,15.6,68.0,,,,,1017.1,
29,1982-06,15.4,11.8,19.2,117.0,,,,,1012.3,
30,1982-07,18.9,13.8,23.8,21.0,,,,,1017.9,
31,1982-08,17.9,14.1,22.6,75.0,,,,,1011.9,
32,1982-09,14.4,11.0,18.4,24.0,,,,,1016.5,
33,1982-10,10.9,8.8,13.3,92.0,,,,,1012.4,
34,1982-11,6.9,4.7,9.3,45.0,,,,,1011.1,
35,1982-12,3.3,1.3,5.0,59.0,,,,,1007.3,
36,1983-01,4.9,2.9,6.8,46.0,,,,,1009.1,
37,1983-02,0.2,-2.3,2.5,24.0,,,,,1018.2,
38,1983-03,4.4,1.9,6.5,114.0,,,,,1010.6,
39,1983-04,7.1,4.6,10.1,84.0,,,,,1007.9,
40,1983-05,11.8,8.9,14.8,94.0,,,,,1009.9,
