,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,25.9,,,3.0,,,,,1012.3,13140.0
2,1980-03,,,,,,,,,,
3,1980-04,30.7,,,0.0,,,,,1006.5,19980.0
4,1980-05,,,,,,,,,,
5,1980-06,35.2,,,0.0,,,,,1002.6,16680.0
6,1980-07,,,,,,,,,,
7,1980-08,35.1,,,3.0,,,,,1003.3,22620.0
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,25.2,,,1.0,,,,,1014.2,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,29.2,,,6.0,,,,,,16500.0
16,1981-05,,,,,,,,,,
17,1981-06,35.6,,,0.0,,,,,1013.9,17880.0
18,1981-07,,,,,,,,,,
19,1981-08,34.1,,,1.0,,,,,,15060.0
20,1981-09,32.5,,,0.5,,,,,1005.1,15660.0
21,1981-10,29.4,,,2.0,,,,,1010.9,18780.0
22,1981-11,,,,,,,,,,
23,1981-12,25.3,,,4.0,,,,,1015.3,16200.0
24,1982-01,25.4,,,26.0,,,,,1013.9,11820.0
25,1982-02,26.6,,,2.0,,,,,1011.8,12600.0
26,1982-03,27.7,,,117.0,,,,,1011.4,16020.0
27,1982-04,28.4,,,5.0,,,,,1009.4,14400.0
28,1982-05,29.8,,,5.0,,,,,1007.8,17340.0
29,1982-06,32.5,,,0.0,,,,,1003.9,16500.0
30,1982-07,,,,,,,,,,
31,1982-08,30.9,,,0.0,,,,,1003.2,14580.0
32,1982-09,28.7,,,0.0,,,,,1006.4,17160.0
33,1982-10,27.9,,,98.0,,,,,1010.8,15540.0
34,1982-11,27.0,,,28.0,,,,,1011.8,15480.0
35,1982-12,,,,,,,,,,
36,1983-01,24.9,,,6.0,,,,,1015.5,13920.0
37,1983-02,25.0,,,120.0,,,,,1013.5,8940.0
38,1983-03,27.0,,,1.0,,,,,1012.2,12420.0
39,1983-04,28.7,,,51.0,,,,,1009.3,14340.0
40,1983-05,,,,,,,,,,
41,1983-06,32.7,,,0.0,,,,,1004.1,14040.0
42,1983-07,,,,,,,,,,
43,1983-08,36.1,,,5.0,,,,,1002.2,14760.0
44,1983-09,32.6,,,0.0,,,,,1004.2,17160.0
45,1983-10,27.0,,,27.0,,,,,1010.0,11400.0
46,1983-11,,,,,,,,,,
47,1983-12,25.1,,,1.0,,,,,1014.8,17460.0
48,1984-01,24.0,,,1.0,,,,,1014.2,16320.0
49,1984-02,23.7,,,0.5,,,,,1013.6,16260.0
50,1984-03,25.5,,,0.5,,,,,1011.0,17700.0
51,1984-04,28.0,,,0.0,,,,,1008.8,19560.0
52,1984-05,30.3,,,54.0,,,,,1006.4,17280.0
53,1984-06,33.8,,,0.0,,,,,1002.4,16800.0
54,1984-07,34.6,,,0.0,,,,,1001.4,15480.0
55,1984-08,33.6,,,0.0,,,,,1002.9,17400.0
56,1984-09,28.2,,,13.0,,,,,1006.0,15420.0
57,1984-10,28.7,,,0.0,,,,,1011.7,18780.0
58,1984-11,26.0,,,2.0,,,,,1013.3,17640.0
59,1984-12,24.8,,,106.0,,,,,1013.5,15600.0
60,1985-01,24.6,,,8.0,,,,,1013.6,16440.0
61,1985-02,25.1,,,,,,,,1012.2,13500.0
62,1985-03,,,,,,,,,,
63,1985-04,28.9,,,69.0,,,,,1008.4,15600.0
64,1985-05,29.8,,,34.0,,,,,1005.9,17820.0
65,1985-06,30.6,,,0.0,,,,,1003.7,17940.0
66,1985-07,35.3,,,0.0,,,,,1002.4,15840.0
67,1985-08,34.7,,,2.0,,,,,1002.0,14640.0
68,1985-09,32.4,,,0.5,,,,,1005.0,15660.0
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,23.8,,,0.0,,,,,1015.1,18600.0
73,1986-02,25.8,,,41.0,,,,,1012.1,11520.0
74,1986-03,26.9,,,0.0,,,,,1010.8,
75,1986-04,28.5,,,46.0,,,,,1008.5,14040.0
76,1986-05,30.5,,,25.0,,,,,1007.1,19560.0
77,1986-06,35.3,,,0.0,,,,,1002.1,13200.0
78,1986-07,34.9,,,0.0,,,,,1002.9,13200.0
79,1986-08,34.2,,,31.0,,,,,1003.1,
80,1986-09,31.1,,,0.5,,,,,1006.8,16920.0
81,1986-10,,,,0.0,,,,,1011.4,18900.0
82,1986-11,,,,,,,,,,
83,1986-12,25.8,,,29.0,,,,,1014.8,16560.0
84,1987-01,24.8,,,1.0,,,,,1016.3,17160.0
85,1987-02,25.5,,,0.5,,,,,1014.2,14400.0
86,1987-03,27.1,,,,,,,,1010.2,13980.0
87,1987-04,,,,6.0,,,,,,
88,1987-05,,,,,,,,,,
89,1987-06,34.0,,,0.0,,,,,1003.5,16920.0
90,1987-07,34.9,,,0.0,,,,,1002.6,16980.0
91,1987-08,36.0,,,0.0,,,,,1002.6,16800.0
92,1987-09,32.5,,,0.0,,,,,1007.0,17640.0
93,1987-10,,,,,,,,,,
94,1987-11,27.4,,,0.0,,,,,1012.8,18240.0
95,1987-12,,,,,,,,,,
96,1988-01,25.9,,,7.0,,,,,1013.9,13260.0
97,1988-02,27.2,,,32.0,,,,,1011.8,13920.0
98,1988-03,27.5,,,0.0,,,,,1011.0,17100.0
99,1988-04,29.4,,,97.0,,,,,1008.3,16260.0
100,1988-05,31.4,,,0.0,,,,,1006.3,19800.0
101,1988-06,34.0,,,0.0,,,,,1011.5,16620.0
102,1988-07,36.6,,,43.0,,,,,1011.5,19320.0
103,1988-08,35.9,,,0.5,,,,,1004.8,15240.0
104,1988-09,33.9,,,1.0,,,,,1003.7,15240.0
105,1988-10,,,,,,,,,,
106,1988-11,27.0,,,0.0,,,,,1014.2,17340.0
107,1988-12,25.8,,,6.0,,,,,1014.5,16680.0
108,1989-01,25.4,,,11.0,,,,,1014.0,15540.0
109,1989-02,25.8,,,35.0,,,,,1014.1,14220.0
110,1989-03,27.1,,,52.0,,,,,1010.0,13440.0
111,1989-04,,,,,,,,,,
112,1989-05,30.6,,,0.0,,,,,1007.1,19440.0
113,1989-06,,,,,,,,,,
114,1989-07,35.6,,,0.5,,,,,1003.5,14220.0
115,1989-08,,,,,,,,,,
116,1989-09,32.3,,,0.5,,,,,1004.8,15420.0
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
119,1989-12,,,,,,,,,,
120,1990-01,,,,,,,,,,
121,1990-02,27.2,,,165.0,,,,,1011.7,9120.0
122,1990-03,,,,,,,,,,
123,1990-04,29.5,,,121.0,,,,,1008.8,17640.0
124,1990-05,,,,,,,,,,
125,1990-06,33.9,,,0.0,,,,,1002.9,17400.0
126,1990-07,35.2,,,8.0,,,,,1002.7,15960.0
127,1990-08,,,,,,,,,,
128,1990-09,33.2,,,0.0,,,,,1006.0,14880.0
129,1990-10,,,,,,,,,,
130,1990-11,,,,,,,,,,
131,1990-12,,,,,,,,,,
132,1991-01,25.9,,,18.0,,,,,1014.1,13800.0
133,1991-02,,,,,,,,,,
134,1991-03,,,,,,,,,,
135,1991-04,,,,0.5,,,,,,
136,1991-05,,,,,,,,,,
137,1991-06,,,,,,,,,,
138,1991-07,,,,,,,,,,
139,1991-08,36.1,,,0.5,,,,,1007.7,13440.0
140,1991-09,31.6,,,0.0,,,,,1006.0,14580.0
141,1991-10,,,,,,,,,,
142,1991-11,,,,,,,,,,
143,1991-12,25.6,,,59.0,,,,,1014.0,15120.0
144,1992-01,,,,,,,,,,
145,1992-02,,,,,,,,,,
146,1992-03,,,,,,,,,,
147,1992-04,,,,,,,,,,
148,1992-05,,,,,,,,,,
149,1992-06,,,,,,,,,,
150,1992-07,,,,,,,,,,
151,1992-08,34.9,,,74.0,,,,,1009.5,16020.0
152,1992-09,32.3,,,8.0,,,,,1009.5,15360.0
153,1992-10,,,,,,,,,,
154,1992-11,27.5,,,13.0,,,,,1013.1,18060.0
155,1992-12,,,,,,,,,,
156,1993-01,25.8,,,,,,,,1014.7,11880.0
157,1993-02,25.3,,,84.0,,,,,1013.8,11160.0
158,1993-03,,,,1.0,,,,,1012.4,17040.0
159,1993-04,28.1,,,359.0,,,,,1010.5,15060.0
160,1993-05,30.7,,,77.0,,,,,1007.4,17340.0
161,1993-06,,,,,,,,,,
162,1993-07,34.2,,,1.0,,,,,1002.5,15780.0
163,1993-08,33.3,,,0.5,,,,,1005.7,15540.0
164,1993-09,,,,25.0,,,,,1009.9,16740.0
165,1993-10,30.0,,,127.0,,,,,1012.3,17700.0
166,1993-11,,,,118.0,,,,,,
167,1993-12,25.7,,,2.0,,,,,1016.8,17940.0
168,1994-01,24.7,,,0.0,,,,,1016.1,
169,1994-02,25.2,,,0.5,,,,,1015.3,15900.0
170,1994-03,27.2,,,0.5,,,,,1013.5,14940.0
171,1994-04,,,,0.0,,,,,,
172,1994-05,,,,0.0,,,,,,
173,1994-06,34.8,,,0.0,,,,,1003.8,13140.0
174,1994-07,36.3,,,8.0,,,,,1004.8,13560.0
175,1994-08,,,,11.0,,,,,,
176,1994-09,32.2,,,7.0,,,,,1009.2,17100.0
177,1994-10,28.5,,,0.0,,,,,1013.1,18900.0
178,1994-11,,,,67.0,,,,,1014.8,15900.0
179,1994-12,25.9,,,12.0,,,,,1017.7,16800.0
180,1995-01,25.1,,,0.5,,,,,1017.9,17640.0
181,1995-02,26.1,,,43.0,,,,,1015.0,13080.0
182,1995-03,27.5,,,22.0,,,,,1012.1,12060.0
183,1995-04,29.0,,,22.0,,,,,1011.0,15420.0
184,1995-05,,,,,,,,,,
185,1995-06,32.7,,,0.0,,,,,1005.6,19380.0
186,1995-07,36.1,,,22.0,,,,,1003.5,16200.0
187,1995-08,35.6,,,9.0,,,,,1004.5,17640.0
188,1995-09,,,,,,,,,,
189,1995-10,29.9,,,37.0,,,,,1011.5,18360.0
190,1995-11,27.1,,,22.0,,,,,1015.0,18000.0
191,1995-12,26.5,,,36.0,,,,,1016.7,15060.0
192,1996-01,26.2,,,17.0,,,,,1014.9,14160.0
193,1996-02,26.1,22.5,29.7,7.0,,,,,1013.8,15240.0
194,1996-03,,,,,,,,,,
195,1996-04,,,,,,,,,,
196,1996-05,31.9,28.5,36.1,57.0,,,,,1009.0,18240.0
197,1996-06,,,,,,,,,,
198,1996-07,36.2,31.6,41.8,0.5,,,,,1004.0,15060.0
199,1996-08,,,,0.5,,,,,,
200,1996-09,,,,,,,,,,
201,1996-10,29.6,25.9,33.9,8.0,,,,,1012.3,18660.0
202,1996-11,,,,,,,,,,
203,1996-12,25.5,,,2.0,,,,,1016.8,18000.0
204,1997-01,25.4,22.0,28.7,14.0,,,,,1016.2,12960.0
205,1997-02,25.8,21.7,29.7,,,,,,1016.5,17040.0
206,1997-03,27.2,24.6,30.6,40.0,,,,,1013.2,12900.0
207,1997-04,,,,,,,,,,
208,1997-05,31.0,27.5,34.6,0.0,,,,,1010.4,20160.0
209,1997-06,,,,,,,,,,
210,1997-07,37.4,32.8,43.5,0.0,,,,,1004.5,15960.0
211,1997-08,36.3,31.6,42.0,0.5,,,,,1006.0,
212,1997-09,,,,,,,,,,
213,1997-10,29.4,26.3,32.4,160.0,,,,,1013.2,13860.0
214,1997-11,28.2,25.1,31.3,58.0,,,,,1013.7,15600.0
215,1997-12,,,,,,,,,,
216,1998-01,,,,,,,,,,
217,1998-02,27.5,24.4,31.0,0.5,,,,,1015.6,12840.0
218,1998-03,28.6,25.6,32.2,35.0,,,,,1012.0,14160.0
219,1998-04,,,,,,,,,,
220,1998-05,32.2,28.5,36.1,0.5,,,,,1009.0,18240.0
221,1998-06,35.4,30.7,40.8,1.0,,,,,1005.0,16320.0
222,1998-07,,,,,,,,,,
223,1998-08,,,,,,,,,,
224,1998-09,34.1,30.6,39.1,0.5,,,,,1006.8,16200.0
225,1998-10,31.2,27.4,35.1,5.0,,,,,1010.7,15960.0
226,1998-11,27.7,,,4.0,,,,,1014.9,18300.0
227,1998-12,26.0,21.3,30.5,0.0,,,,,1016.8,18600.0
228,1999-01,25.7,22.1,29.7,4.0,,,,,1015.5,15780.0
229,1999-02,26.0,22.5,30.1,4.0,,,,,1015.1,15660.0
230,1999-03,27.3,24.6,30.9,19.0,,,,,1011.6,15120.0
231,1999-04,28.9,,,0.0,,,,,1011.1,18120.0
232,1999-05,,,,,,,,,,
233,1999-06,33.2,,,0.0,,,,,1005.0,14940.0
234,1999-07,36.1,31.8,42.5,0.5,,,,,1004.4,11400.0
235,1999-08,,,,,,,,,,
236,1999-09,32.9,29.4,38.6,9.0,,,,,1006.2,17160.0
237,1999-10,,,,,,,,,,
238,1999-11,,,,,,,,,,
239,1999-12,,,,,,,,,,
240,2000-01,,,,,,,,,,
241,2000-02,,,,,,,,,,
242,2000-03,,,,,,,,,,
243,2000-04,,,,,,,,,,
244,2000-05,,,,,,,,,,
245,2000-06,,,,,,,,,,
246,2000-07,,,,,,,,,,
247,2000-08,,,,,,,,,,
248,2000-09,,,,,,,,,,
249,2000-10,,,,,,,,,,
250,2000-11,,,,,,,,,,
251,2000-12,,,,,,,,,,
252,2001-01,,,,,,,,,,
253,2001-02,,,,,,,,,,
254,2001-03,,,,,,,,,,
255,2001-04,,,,,,,,,,
256,2001-05,,,,,,,,,,
257,2001-06,,,,,,,,,,
258,2001-07,,,,,,,,,,
259,2001-08,,,,,,,,,,
260,2001-09,,,,,,,,,,
261,2001-10,,,,,,,,,,
262,2001-11,,,,,,,,,,
263,2001-12,,,,,,,,,,
264,2002-01,,,,,,,,,,
265,2002-02,,,,,,,,,,
266,2002-03,,,,,,,,,,
267,2002-04,,,,,,,,,,
268,2002-05,,,,,,,,,,
269,2002-06,,,,,,,,,,
270,2002-07,,,,,,,,,,
271,2002-08,,,,,,,,,,
