,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,13.7,,,1.0,,,,,1019.9,
1,1980-02,14.4,,,9.0,,,,,1016.4,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,24.1,,,0.0,,,,,1011.6,
5,1980-06,27.2,,,0.0,,,,,1010.7,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,24.1,,,1.0,,,,,1015.2,
10,1980-11,,,,,,,,,,
11,1980-12,14.8,,,5.0,,,,,1018.5,
12,1981-01,12.9,,,13.0,,,,,1016.8,
13,1981-02,14.7,,,1.0,,,,,1017.8,
14,1981-03,18.3,,,1.0,,,,,1014.8,
15,1981-04,22.3,,,27.0,,,,,1013.6,
16,1981-05,24.0,,,0.0,,,,,1013.0,
17,1981-06,27.5,,,0.0,,,,,1010.7,
18,1981-07,27.7,,,0.0,,,,,1008.6,
19,1981-08,27.4,,,0.0,,,,,1009.6,
20,1981-09,26.2,,,0.0,,,,,1012.6,
21,1981-10,24.8,,,0.0,,,,,1015.2,
22,1981-11,18.1,,,0.5,,,,,1018.5,
23,1981-12,,,,,,,,,,
24,1982-01,14.4,,,5.0,,,,,1018.4,
25,1982-02,,,,5.0,,,,,1016.4,
26,1982-03,,,,0.5,,,,,1017.1,
27,1982-04,,,,,,,,,,
28,1982-05,23.1,,,0.5,,,,,1014.4,
29,1982-06,27.1,,,0.0,,,,,1011.9,
30,1982-07,27.5,,,0.0,,,,,1009.4,
31,1982-08,28.0,,,0.0,,,,,1009.6,
32,1982-09,26.2,,,0.0,,,,,1013.4,
33,1982-10,25.0,,,0.5,,,,,1014.2,
34,1982-11,17.7,,,11.0,,,,,1018.2,
35,1982-12,14.5,,,2.0,,,,,1020.1,
36,1983-01,12.0,,,10.0,,,,,1022.2,
37,1983-02,13.7,,,4.0,,,,,1019.9,
38,1983-03,16.0,,,8.0,,,,,1017.4,
39,1983-04,19.8,,,0.5,,,,,1015.8,
40,1983-05,,,,,,,,,,
41,1983-06,27.5,,,0.0,,,,,1012.3,
