,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,16.8,6.2,,23.0,,,,,,
1,1980-02,18.1,8.2,24.8,37.0,,,,,,
2,1980-03,18.9,10.6,25.2,45.0,,,,,,
3,1980-04,18.6,10.3,,89.0,,,,,,
4,1980-05,19.4,11.2,25.4,54.0,,,,,,
5,1980-06,17.3,10.7,23.0,126.0,,,,,,
6,1980-07,16.1,11.2,20.7,263.0,,,,,,
7,1980-08,,11.4,21.3,214.8,,,,,,
8,1980-09,18.2,11.4,21.9,118.0,,,,,,
9,1980-10,,8.2,22.2,52.0,,,,,,
10,1980-11,,5.7,22.6,0.0,,,,,,
11,1980-12,,3.6,22.9,0.0,,,,,,
12,1981-01,17.2,,24.0,0.0,,,,,,
13,1981-02,17.6,,24.4,76.0,,,,,,
14,1981-03,17.4,12.1,22.7,176.0,,,,,,
15,1981-04,17.6,11.4,,83.0,,,,,,
16,1981-05,19.0,,25.2,4.0,,,,,,
17,1981-06,18.6,,25.5,50.0,,,,,,
18,1981-07,16.1,11.0,20.7,267.0,,,,,,
19,1981-08,16.3,11.1,21.1,321.0,,,,,,
20,1981-09,16.1,11.5,20.9,182.0,,,,,,
21,1981-10,16.3,8.3,22.7,13.0,,,,,,
22,1981-11,16.0,,22.7,0.0,,,,,,
23,1981-12,15.8,5.1,22.7,5.0,,,,,,
24,1982-01,16.9,8.7,,49.0,,,,,,
25,1982-02,17.7,10.7,23.2,82.0,,,,,,
26,1982-03,,9.8,25.0,58.0,,,,,,
27,1982-04,17.7,10.8,23.7,104.0,,,,,,
28,1982-05,18.5,10.6,,116.0,,,,,,
29,1982-06,16.6,9.6,23.7,38.0,,,,,,
30,1982-07,16.2,9.7,21.5,259.0,,,,,,
31,1982-08,15.9,,,258.0,,,,,,
32,1982-09,16.7,9.1,21.9,134.0,,,,,,
33,1982-10,16.1,6.6,21.7,64.0,,,,,,
34,1982-11,16.4,7.5,22.2,43.0,,,,,,
35,1982-12,16.5,7.9,22.5,13.0,,,,,,
36,1983-01,16.1,6.6,23.0,18.0,,,,,,
