,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,25.8,,,326.0,,,,,1008.4,
1,1980-02,27.0,,,181.0,,,,,1007.9,
2,1980-03,26.5,,,384.0,,,,,,
3,1980-04,25.5,,,,,,,,,
4,1980-05,23.7,,,,,,,,,
5,1980-06,22.6,,,180.0,,,,,1013.4,
6,1980-07,22.4,,,,,,,,,
7,1980-08,21.9,,,,,,,,,
8,1980-09,23.4,,,259.0,,,,,1012.5,
9,1980-10,24.3,,,512.5,,,,,,
10,1980-11,24.3,,,433.0,,,,,1011.1,
11,1980-12,26.0,,,103.0,,,,,1009.9,
12,1981-01,26.3,,,378.0,,,,,1007.7,
13,1981-02,26.3,,,297.0,,,,,1005.6,
14,1981-03,26.1,,,148.0,,,,,1008.2,
15,1981-04,25.2,,,443.0,,,,,1009.8,
16,1981-05,23.9,,,212.0,,,,,1012.9,
17,1981-06,23.1,,,80.0,,,,,1013.0,
18,1981-07,21.6,,,30.0,,,,,1014.6,
19,1981-08,22.1,,,195.0,,,,,1013.2,
20,1981-09,22.0,,,86.0,,,,,1014.5,
21,1981-10,23.0,,,129.0,,,,,1013.2,
22,1981-11,24.4,,,373.0,,,,,1011.3,
23,1981-12,26.5,,,104.0,,,,,1009.0,
24,1982-01,27.4,,,686.0,,,,,1006.9,
25,1982-02,26.3,,,119.0,,,,,1007.7,
26,1982-03,25.9,,,437.0,,,,,1009.1,
27,1982-04,25.4,,,342.0,,,,,1010.4,
28,1982-05,23.8,,,160.0,,,,,1011.9,
29,1982-06,23.3,,,259.0,,,,,1011.9,
30,1982-07,22.8,,,134.0,,,,,1012.2,
31,1982-08,22.3,,,279.0,,,,,1013.3,
32,1982-09,21.8,,,118.0,,,,,1014.3,
33,1982-10,23.3,,,58.0,,,,,1013.0,
34,1982-11,24.6,,,214.0,,,,,1010.9,
35,1982-12,24.6,,,142.0,,,,,1011.2,
36,1983-01,25.7,,,223.0,,,,,1008.4,
37,1983-02,26.1,,,359.0,,,,,1009.2,
38,1983-03,26.2,,,296.0,,,,,1009.0,
39,1983-04,25.0,,,108.0,,,,,1012.7,
40,1983-05,23.4,,,128.0,,,,,1014.0,
41,1983-06,23.0,,,65.0,,,,,1013.9,
42,1983-07,22.2,,,100.0,,,,,1014.4,
43,1983-08,22.0,,,257.0,,,,,1015.9,
44,1983-09,22.3,,,50.0,,,,,1015.7,
45,1983-10,25.7,,,143.0,,,,,1013.5,
46,1983-11,24.6,,,204.0,,,,,1012.0,
47,1983-12,25.7,,,326.0,,,,,1009.2,
48,1984-01,25.8,,,136.0,,,,,1008.9,
49,1984-02,26.3,,,286.0,,,,,1007.5,
50,1984-03,26.0,,,275.0,,,,,1008.4,
51,1984-04,25.3,,,476.0,,,,,1010.4,
52,1984-05,24.8,,,459.0,,,,,1012.4,
53,1984-06,24.0,,,,,,,,1013.2,
54,1984-07,23.3,,,91.0,,,,,1014.5,
55,1984-08,22.5,,,148.0,,,,,1012.5,
56,1984-09,23.2,,,22.0,,,,,1013.2,
57,1984-10,25.4,,,55.0,,,,,1013.7,
58,1984-11,24.4,,,355.0,,,,,1012.2,
59,1984-12,25.5,,,262.0,,,,,1006.3,
60,1985-01,25.5,,,494.0,,,,,1007.9,
61,1985-02,26.9,,,279.0,,,,,1007.5,
62,1985-03,26.2,,,453.0,,,,,1008.5,
63,1985-04,25.3,,,391.0,,,,,1011.2,
64,1985-05,23.5,,,535.0,,,,,1010.3,
65,1985-06,22.7,,,153.0,,,,,1013.4,
66,1985-07,22.2,,,201.0,,,,,1014.0,
67,1985-08,22.7,,,133.0,,,,,1015.4,
68,1985-09,22.8,,,245.0,,,,,1014.7,
69,1985-10,24.1,,,323.0,,,,,1013.1,
70,1985-11,25.1,,,101.0,,,,,1010.8,
71,1985-12,25.2,,,112.0,,,,,1008.8,
72,1986-01,26.3,,,241.0,,,,,1007.8,
73,1986-02,26.1,,,207.0,,,,,1007.4,
74,1986-03,25.9,,,552.0,,,,,1009.6,
75,1986-04,24.8,,,900.0,,,,,1009.7,
76,1986-05,23.5,,,130.0,,,,,,
77,1986-06,22.6,,,386.0,,,,,1011.4,
78,1986-07,21.1,,,17.0,,,,,1013.7,
79,1986-08,21.3,,,94.0,,,,,1012.9,
80,1986-09,21.9,,,87.0,,,,,1013.8,
81,1986-10,25.3,,,152.0,,,,,1013.3,
82,1986-11,24.6,,,59.0,,,,,1010.5,
83,1986-12,26.1,,,517.0,,,,,1007.4,
84,1987-01,25.9,,,205.0,,,,,1008.1,
85,1987-02,26.5,,,330.0,,,,,1006.4,
86,1987-03,25.8,,,461.0,,,,,1009.9,
87,1987-04,25.5,,,131.0,,,,,1011.5,
88,1987-05,23.5,,,145.0,,,,,1014.1,
89,1987-06,21.8,,,73.0,,,,,1013.9,
90,1987-07,21.2,,,27.0,,,,,1015.4,
91,1987-08,21.9,,,63.0,,,,,1015.3,
92,1987-09,21.7,,,12.0,,,,,1015.9,
93,1987-10,25.2,,,102.0,,,,,1014.6,
94,1987-11,24.9,,,117.0,,,,,1010.9,
