,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,0.5,4.2,35.1,,,,,,
1,1980-02,,4.8,9.8,50.2,,,,,,
2,1980-03,,4.8,9.5,94.3,,,,,,
3,1980-04,,6.7,13.6,9.8,,,,,,
4,1980-05,,9.8,17.8,51.1,,,,,,
5,1980-06,,12.6,20.0,84.8,,,,,,
6,1980-07,,13.9,20.7,108.0,,,,,,
7,1980-08,,16.1,23.6,26.3,,,,,,
8,1980-09,,13.6,22.0,41.4,,,,,,
9,1980-10,,8.5,14.4,63.6,,,,,,
10,1980-11,,3.9,8.4,47.1,,,,,,
11,1980-12,,2.2,6.4,78.3,,,,,,
12,1981-01,,3.1,7.2,56.5,,,,,,
13,1981-02,,1.5,6.7,38.4,,,,,,
14,1981-03,,8.0,13.5,55.7,,,,,,
15,1981-04,,7.7,14.5,24.8,,,,,,
16,1981-05,,10.6,17.4,109.4,,,,,,
17,1981-06,,13.0,20.0,62.2,,,,,,
18,1981-07,,14.7,22.7,45.2,,,,,,
19,1981-08,,15.1,24.2,22.2,,,,,,
20,1981-09,,12.7,21.4,40.7,,,,,,
21,1981-10,,8.5,14.4,153.1,,,,,,
22,1981-11,,6.1,10.5,30.6,,,,,,
23,1981-12,,2.5,6.7,107.1,,,,,,
24,1982-01,,1.9,7.2,54.8,,,,,,
25,1982-02,,3.5,8.8,21.6,,,,,,
26,1982-03,,4.2,11.7,49.2,,,,,,
27,1982-04,,6.1,14.8,13.7,,,,,,
28,1982-05,,10.6,19.4,104.4,,,,,,
29,1982-06,,15.0,23.4,87.8,,,,,,
30,1982-07,,16.4,25.9,46.7,,,,,,
31,1982-08,,14.5,23.0,34.2,,,,,,
32,1982-09,,14.0,23.7,48.1,,,,,,
33,1982-10,,9.0,14.7,92.4,,,,,,
34,1982-11,,6.7,11.6,65.1,,,,,,
35,1982-12,,3.4,7.7,82.6,,,,,,
36,1983-01,,4.6,9.3,45.5,,,,,,
37,1983-02,,0.7,5.9,57.9,,,,,,
38,1983-03,,5.2,11.6,37.3,,,,,,
39,1983-04,,6.1,14.1,105.3,,,,,,
40,1983-05,,8.8,16.6,69.6,,,,,,
41,1983-06,,14.2,23.6,70.1,,,,,,
42,1983-07,,18.3,28.7,62.8,,,,,,
43,1983-08,,16.0,25.6,21.4,,,,,,
44,1983-09,,12.4,20.9,69.7,,,,,,
45,1983-10,,8.8,16.5,17.9,,,,,,
46,1983-11,,4.9,11.6,27.1,,,,,,
47,1983-12,,3.0,7.8,38.0,,,,,,
48,1984-01,,3.1,7.5,103.6,,,,,,
49,1984-02,,2.3,7.1,32.8,,,,,,
50,1984-03,,2.9,10.2,41.1,,,,,,
51,1984-04,,6.5,15.7,25.2,,,,,,
52,1984-05,,8.2,15.3,112.3,,,,,,
53,1984-06,,13.0,22.1,29.0,,,,,,
54,1984-07,,14.8,25.1,51.0,,,,,,
55,1984-08,,15.2,24.0,43.8,,,,,,
56,1984-09,,12.2,18.5,115.4,,,,,,
57,1984-10,,10.0,15.6,83.7,,,,,,
58,1984-11,,7.8,13.5,70.3,,,,,,
59,1984-12,,3.5,7.9,37.1,,,,,,
60,1985-01,,-2.7,2.2,31.9,,,,,,
61,1985-02,,0.4,7.5,13.6,,,,,,
62,1985-03,,3.4,9.5,66.3,,,,,,
63,1985-04,,7.4,15.3,58.4,,,,,,
64,1985-05,,10.7,18.6,60.0,,,,,,
65,1985-06,,12.3,20.5,46.3,,,,,,
66,1985-07,,15.3,25.2,70.6,,,,,,
67,1985-08,,13.5,22.7,31.7,,,,,,
68,1985-09,,13.3,23.2,30.8,,,,,,
69,1985-10,,8.4,16.6,11.1,,,,,,
70,1985-11,,2.4,7.4,59.1,,,,,,
71,1985-12,,4.7,8.6,21.1,,,,,,
72,1986-01,,2.4,7.1,84.2,,,,,,
73,1986-02,,-3.7,1.4,22.3,,,,,,
74,1986-03,,3.3,10.6,71.8,,,,,,
75,1986-04,,4.6,11.5,96.8,,,,,,
76,1986-05,,10.4,19.5,22.1,,,,,,
77,1986-06,,14.7,24.2,31.9,,,,,,
78,1986-07,,15.2,23.8,13.4,,,,,,
79,1986-08,,13.7,22.7,50.5,,,,,,
80,1986-09,,10.0,18.4,52.5,,,,,,
81,1986-10,,10.8,17.8,54.1,,,,,,
82,1986-11,,6.5,11.8,39.4,,,,,,
83,1986-12,,4.1,8.8,72.5,,,,,,
84,1987-01,,-3.0,0.7,28.2,,,,,,
85,1987-02,,2.1,6.2,35.9,,,,,,
86,1987-03,,2.6,8.4,48.8,,,,,,
87,1987-04,,9.2,17.7,29.1,,,,,,
88,1987-05,,8.7,16.6,63.8,,,,,,
89,1987-06,,12.5,19.8,101.4,,,,,,
90,1987-07,,15.4,23.3,62.0,,,,,,
91,1987-08,,15.2,23.7,117.1,,,,,,
92,1987-09,,14.9,22.3,12.3,,,,,,
93,1987-10,,9.9,16.3,104.4,,,,,,
94,1987-11,,5.6,9.8,61.6,,,,,,
95,1987-12,,3.3,7.1,42.2,,,,,,
96,1988-01,,5.5,10.0,118.0,,,,,,
97,1988-02,,3.3,8.7,60.5,,,,,,
98,1988-03,,5.6,10.1,76.3,,,,,,
99,1988-04,,7.6,15.9,26.2,,,,,,
100,1988-05,,11.7,19.5,67.0,,,,,,
101,1988-06,,13.3,21.5,22.1,,,,,,
102,1988-07,,14.1,22.4,125.8,,,,,,
103,1988-08,,15.0,24.3,27.3,,,,,,
104,1988-09,,12.8,19.5,46.1,,,,,,
105,1988-10,,10.0,16.6,68.2,,,,,,
106,1988-11,,4.2,10.2,36.6,,,,,,
107,1988-12,8.4,6.6,9.8,60.2,,,,,,
108,1989-01,5.2,2.7,7.7,24.8,,,,,,
109,1989-02,,3.8,9.7,47.6,,,,,,
110,1989-03,,6.9,14.8,71.7,,,,,,
111,1989-04,,6.0,12.8,105.8,,,,,,
112,1989-05,,12.1,22.9,14.1,,,,,,
113,1989-06,,13.3,22.6,56.7,,,,,,
114,1989-07,,16.4,26.0,34.3,,,,,,
115,1989-08,20.1,15.7,25.2,34.6,,,,,,
116,1989-09,17.3,13.4,22.1,71.3,,,,,,
117,1989-10,14.1,10.8,18.5,25.8,,,,,,
118,1989-11,7.1,4.4,10.9,32.4,,,,,,
119,1989-12,5.7,3.6,8.2,77.0,,,,,,
120,1990-01,5.9,3.8,8.4,36.7,,,,,,
121,1990-02,9.6,6.4,13.6,78.0,,,,,,
122,1990-03,10.1,6.3,14.3,6.1,,,,,,
123,1990-04,10.2,6.3,14.6,56.2,,,,,,
124,1990-05,17.5,12.2,22.6,7.6,,,,,,
125,1990-06,,12.7,20.7,85.7,,,,,,
126,1990-07,20.8,15.3,25.9,33.9,,,,,,
127,1990-08,22.3,17.2,27.3,9.0,,,,,,
128,1990-09,15.7,11.5,20.6,36.2,,,,,,
129,1990-10,13.9,10.7,18.0,76.8,,,,,,
130,1990-11,7.9,6.0,10.5,30.1,,,,,,
131,1990-12,4.6,2.8,6.7,44.4,,,,,,
132,1991-01,4.8,2.9,7.1,54.3,,,,,,
133,1991-02,2.0,-0.6,5.4,15.2,,,,,,
134,1991-03,10.5,7.5,13.8,62.2,,,,,,
135,1991-04,10.5,6.5,15.1,33.6,,,,,,
136,1991-05,12.7,8.7,17.1,18.0,,,,,,
137,1991-06,15.1,11.5,19.2,46.2,,,,,,
