,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.3,23.2,29.1,437.0,,,,,,
1,1980-02,26.4,22.3,29.5,24.0,,,,,,
2,1980-03,,23.1,28.6,391.0,,,,,,
3,1980-04,26.4,23.4,29.4,649.0,,,,,,
4,1980-05,26.2,23.1,29.7,532.0,,,,,,
5,1980-06,25.9,22.7,30.3,397.0,,,,,1013.8,
6,1980-07,,22.2,30.9,180.0,,,,,,
7,1980-08,,21.8,31.4,166.0,,,,,,
8,1980-09,,22.0,31.6,71.0,,,,,,
9,1980-10,,22.1,31.5,113.0,,,,,,
10,1980-11,,22.1,30.4,331.0,,,,,,
11,1980-12,26.1,22.4,29.6,328.0,,,,,,
12,1981-01,26.3,22.9,29.4,332.0,,,,,,
13,1981-02,25.2,23.0,28.6,559.0,,,,,1011.7,4980.0
14,1981-03,26.6,22.3,30.2,81.0,,,,,,
15,1981-04,,23.3,30.2,456.0,,,,,,
16,1981-05,,22.9,29.5,493.0,,,,,,
17,1981-06,26.0,22.5,30.0,380.0,,,,,,
18,1981-07,25.8,21.7,30.4,390.0,,,,,,
19,1981-08,26.0,22.0,30.8,215.0,,,,,1012.8,14340.0
20,1981-09,26.6,22.1,31.7,72.0,,,,,1013.0,15600.0
21,1981-10,26.5,22.3,31.3,119.0,,,,,1011.7,16140.0
22,1981-11,26.5,22.5,31.3,133.0,,,,,1010.5,14580.0
23,1981-12,26.0,23.2,29.9,392.0,,,,,1011.3,9840.0
24,1982-01,25.8,22.9,29.1,332.0,,,,,1012.0,7860.0
25,1982-02,25.7,23.2,29.1,275.0,,,,,1012.0,5880.0
26,1982-03,25.8,23.4,29.1,639.0,,,,,1011.6,5700.0
27,1982-04,25.9,23.5,29.4,515.0,,,,,1012.2,6120.0
28,1982-05,25.5,23.3,28.9,764.0,,,,,1012.4,6900.0
29,1982-06,25.8,22.9,30.1,301.0,,,,,1013.6,10080.0
30,1982-07,25.8,22.2,30.4,174.0,,,,,1013.5,13380.0
31,1982-08,26.1,22.1,31.0,129.0,,,,,1013.8,14460.0
32,1982-09,26.4,21.9,31.6,68.0,,,,,1012.9,15540.0
33,1982-10,26.5,21.9,31.6,18.0,,,,,1011.9,16200.0
34,1982-11,26.1,22.2,30.7,73.0,,,,,1011.4,13500.0
35,1982-12,26.0,22.8,29.9,196.0,,,,,1011.5,10680.0
36,1983-01,25.9,23.6,28.8,246.0,,,,,1012.2,7440.0
37,1983-02,25.8,23.0,29.3,292.0,,,,,1012.5,9660.0
38,1983-03,26.4,24.1,29.8,356.0,,,,,1011.9,9240.0
39,1983-04,26.4,24.3,29.8,767.0,,,,,1011.2,6840.0
40,1983-05,26.7,24.2,30.6,393.0,,,,,,
41,1983-06,26.4,23.3,30.8,294.0,,,,,1013.1,12300.0
42,1983-07,26.4,23.3,30.9,142.0,,,,,1013.4,
43,1983-08,26.6,22.3,31.6,72.0,,,,,1014.3,16020.0
44,1983-09,26.8,22.1,32.1,62.0,,,,,1013.1,15000.0
45,1983-10,26.7,21.7,32.2,27.0,,,,,1012.2,16200.0
46,1983-11,26.6,22.1,31.6,59.0,,,,,1013.1,15960.0
47,1983-12,25.5,22.7,29.7,501.0,,,,,1012.7,9360.0
48,1984-01,24.9,22.4,29.0,765.0,,,,,1012.2,6780.0
49,1984-02,26.0,23.6,29.3,109.0,,,,,1011.7,6840.0
50,1984-03,25.8,23.1,29.2,257.0,,,,,1012.2,7500.0
51,1984-04,26.2,23.9,29.5,306.0,,,,,1012.7,7560.0
52,1984-05,25.0,22.8,28.5,1020.0,,,,,1012.1,5160.0
53,1984-06,25.3,22.6,29.7,412.0,,,,,1013.1,8220.0
54,1984-07,25.5,22.3,30.3,335.0,,,,,1013.0,12300.0
55,1984-08,26.0,22.3,30.8,170.0,,,,,1013.3,13680.0
56,1984-09,25.9,22.0,30.9,131.0,,,,,1012.4,13140.0
57,1984-10,26.2,22.5,31.2,223.0,,,,,1011.4,12780.0
58,1984-11,25.8,22.4,30.4,202.0,,,,,1011.5,11100.0
59,1984-12,25.7,23.0,29.7,347.0,,,,,1010.6,8460.0
60,1985-01,25.6,23.0,29.0,216.0,,,,,1012.2,7620.0
61,1985-02,25.5,22.9,28.7,258.0,,,,,1013.0,7380.0
62,1985-03,25.8,23.5,29.0,340.0,,,,,1011.8,7500.0
63,1985-04,26.2,23.2,29.9,167.0,,,,,1012.5,10860.0
64,1985-05,26.2,23.5,29.8,578.0,,,,,1012.6,9480.0
65,1985-06,25.3,22.6,29.3,676.0,,,,,1014.4,8400.0
66,1985-07,25.5,21.9,30.7,260.0,,,,,1014.0,13200.0
67,1985-08,25.4,21.9,30.6,233.0,,,,,1013.5,10980.0
68,1985-09,26.4,21.8,31.8,87.0,,,,,1012.2,
69,1985-10,26.3,22.3,31.4,92.0,,,,,1011.4,13680.0
70,1985-11,26.3,22.3,31.5,163.0,,,,,1011.1,12960.0
71,1985-12,25.7,22.9,29.7,456.0,,,,,1012.0,8400.0
72,1986-01,25.7,23.5,28.9,596.0,,,,,1012.8,6120.0
73,1986-02,26.0,23.4,29.8,156.0,,,,,1012.6,7800.0
74,1986-03,26.0,23.1,29.8,232.0,,,,,1013.2,9180.0
75,1986-04,26.8,24.1,30.3,97.0,,,,,1012.3,10200.0
76,1986-05,26.1,23.6,29.7,585.0,,,,,1012.2,7140.0
77,1986-06,25.3,22.9,29.3,495.0,,,,,1013.6,8460.0
78,1986-07,25.7,22.3,30.4,187.0,,,,,1015.4,13620.0
79,1986-08,26.4,22.3,31.3,140.0,,,,,1013.1,14760.0
80,1986-09,27.0,22.0,32.4,10.0,,,,,1013.1,16980.0
81,1986-10,26.5,22.0,31.9,82.0,,,,,1012.3,14400.0
82,1986-11,25.8,22.4,30.9,288.0,,,,,1011.0,11700.0
