,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.1,,,374.0,,,,,1011.0,12540.0
1,1980-02,27.1,,,208.0,,,,,1011.1,12840.0
2,1980-03,27.5,,,215.0,,,,,1009.6,14640.0
3,1980-04,26.9,,,307.0,,,,,1010.5,11520.0
4,1980-05,26.4,,,258.0,,,,,1012.5,13740.0
5,1980-06,25.2,,,11.0,,,,,1013.2,13560.0
6,1980-07,24.8,,,6.0,,,,,1013.9,16260.0
7,1980-08,24.8,,,47.0,,,,,1015.3,17400.0
8,1980-09,24.9,,,41.0,,,,,1014.2,14700.0
9,1980-10,25.6,,,104.0,,,,,1013.4,9900.0
10,1980-11,26.2,,,49.0,,,,,1011.5,12660.0
11,1980-12,27.2,,,111.0,,,,,1010.6,16680.0
12,1981-01,26.9,,,591.0,,,,,1010.1,12000.0
13,1981-02,27.0,,,85.0,,,,,1010.1,11580.0
14,1981-03,26.2,,,941.0,,,,,1010.8,7320.0
15,1981-04,26.3,,,55.0,,,,,1011.6,12720.0
16,1981-05,25.7,,,27.0,,,,,1013.2,14400.0
17,1981-06,24.8,,,52.0,,,,,1014.5,10620.0
18,1981-07,24.7,,,47.0,,,,,1014.1,15240.0
19,1981-08,24.1,,,4.0,,,,,1014.9,15180.0
20,1981-09,25.4,,,7.0,,,,,1014.9,15900.0
21,1981-10,25.9,,,80.0,,,,,1013.1,15180.0
22,1981-11,26.3,,,191.0,,,,,1011.7,13920.0
23,1981-12,26.4,,,170.0,,,,,1011.9,9600.0
24,1982-01,27.4,,,188.0,,,,,1012.9,15060.0
25,1982-02,26.9,,,429.0,,,,,1011.7,11280.0
26,1982-03,27.6,,31.6,5.0,,,,,1011.8,17040.0
27,1982-04,26.7,,,248.0,,,,,1012.2,13200.0
28,1982-05,26.3,,,93.0,,,,,1012.5,13500.0
29,1982-06,25.0,,,63.0,,,,,1012.7,13920.0
30,1982-07,24.7,,,81.0,,,,,1012.5,13020.0
31,1982-08,24.9,,,41.0,,,,,1012.7,15420.0
32,1982-09,24.3,,,188.0,,,,,1013.2,10920.0
33,1982-10,25.6,,,39.0,,,,,1012.1,16800.0
34,1982-11,25.5,,,139.0,,,,,1009.3,11400.0
35,1982-12,26.2,,,567.0,,,,,1008.6,14100.0
36,1983-01,27.3,,,135.0,,,,,1007.8,14220.0
37,1983-02,28.1,,,172.0,,,,,1007.8,11760.0
38,1983-03,27.2,,,127.0,,,,,1008.9,12900.0
39,1983-04,26.1,,,141.0,,,,,1010.4,13620.0
40,1983-05,25.9,,,15.0,,,,,1014.0,15000.0
41,1983-06,24.6,,,25.0,,,,,1014.1,14640.0
42,1983-07,24.2,,,123.0,,,,,1014.2,13740.0
43,1983-08,24.0,,,58.0,,,,,1015.9,14880.0
44,1983-09,25.2,,,3.0,,,,,1016.1,15540.0
45,1983-10,26.5,,,48.0,,,,,1014.1,14100.0
46,1983-11,26.0,,,275.0,,,,,1012.5,11160.0
47,1983-12,26.9,,,515.0,,,,,1012.0,14100.0
48,1984-01,27.1,,,310.0,,,,,1011.8,13740.0
49,1984-02,28.1,,,25.0,,,,,1011.1,15360.0
50,1984-03,27.7,,,185.0,,,,,1010.9,15000.0
51,1984-04,27.8,,32.0,19.0,,,,,1012.7,16380.0
52,1984-05,26.4,,,153.0,,,,,1012.7,14100.0
53,1984-06,24.6,,,25.0,,,,,1013.3,13440.0
54,1984-07,24.0,,,131.0,,,,,1014.3,13980.0
55,1984-08,24.3,,,26.0,,,,,1014.2,16260.0
56,1984-09,25.4,,,172.0,,,,,1014.4,15360.0
57,1984-10,25.8,,,130.0,,,,,1013.4,13380.0
58,1984-11,26.0,,,304.0,,,,,1012.8,11700.0
59,1984-12,26.0,,,526.0,,,,,1008.3,8640.0
60,1985-01,26.6,,,436.0,,,,,1011.3,9900.0
61,1985-02,26.8,,,56.0,,,,,1011.9,14220.0
62,1985-03,27.1,,,131.0,,,,,1010.7,14460.0
63,1985-04,26.8,,,407.0,,,,,1011.6,13080.0
64,1985-05,26.2,,,236.0,,,,,1011.4,13200.0
65,1985-06,25.0,,,111.0,,,,,1012.6,12900.0
66,1985-07,24.3,,,79.0,,,,,1014.2,14460.0
67,1985-08,24.4,,,23.0,,,,,1015.4,15480.0
68,1985-09,25.5,,,38.0,,,,,1013.9,13500.0
69,1985-10,25.6,,,53.0,,,,,1012.7,13200.0
70,1985-11,26.4,,,175.0,,,,,1011.1,13860.0
71,1985-12,26.5,,,445.0,,,,,1011.5,10200.0
72,1986-01,27.0,,,358.0,,,,,1010.8,13140.0
73,1986-02,26.4,,,469.0,,,,,1009.2,9180.0
74,1986-03,27.0,,,162.0,,,,,1012.5,14580.0
75,1986-04,27.3,,,13.0,,,,,1011.8,16320.0
76,1986-05,26.0,,,206.0,,,,,1012.4,11940.0
77,1986-06,25.1,,,43.0,,,,,1013.5,15180.0
78,1986-07,25.2,,,34.0,,,,,1014.1,15060.0
79,1986-08,24.6,,,125.0,,,,,1012.5,15540.0
80,1986-09,25.3,,,8.0,,,,,1013.7,15540.0
81,1986-10,25.9,,,63.0,,,,,1014.8,14700.0
82,1986-11,26.8,,,63.0,,,,,1010.1,13920.0
83,1986-12,26.6,,,250.0,,,,,1010.5,10440.0
84,1987-01,27.5,,,177.0,,,,,1010.2,13680.0
85,1987-02,27.9,,,229.0,,,,,1009.3,12780.0
86,1987-03,28.3,,,69.0,,,,,1011.6,16500.0
87,1987-04,27.2,,,598.0,,,,,1010.9,10260.0
88,1987-05,26.9,,,175.0,,,,,1011.5,13260.0
89,1987-06,25.4,,,57.0,,,,,1011.8,13200.0
90,1987-07,24.5,,,31.0,,,,,1013.0,14040.0
91,1987-08,24.2,,,62.0,,,,,1013.8,14220.0
92,1987-09,25.5,,,40.0,,,,,1014.0,13080.0
93,1987-10,25.5,,,28.0,,,,,1013.2,10140.0
94,1987-11,26.5,,,108.0,,,,,1011.9,14340.0
95,1987-12,26.7,,,341.0,,,,,1010.4,10800.0
96,1988-01,27.2,,,218.0,,,,,1012.0,12240.0
97,1988-02,27.4,,,267.0,,,,,1010.2,12300.0
98,1988-03,27.2,,,560.0,,,,,1011.2,11220.0
