,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,27.5,,,276.0,,,,,1008.8,9600.0
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,24.1,,,2.0,,,,,1014.1,6240.0
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,27.0,,,279.0,,,,,1010.0,
13,1981-02,28.0,,,290.0,,,,,1009.0,
14,1981-03,27.4,,,225.0,,,,,1009.6,9060.0
15,1981-04,27.6,,,301.0,,,,,1009.0,8880.0
16,1981-05,26.8,,,27.0,,,,,1010.7,8760.0
17,1981-06,25.5,,,8.0,,,,,1013.0,8280.0
18,1981-07,24.4,,,0.0,,,,,1013.9,7680.0
19,1981-08,24.5,,,4.0,,,,,1013.4,5040.0
20,1981-09,25.5,,,83.0,,,,,1012.6,6300.0
21,1981-10,26.0,,,331.0,,,,,1011.0,
22,1981-11,26.0,,,288.0,,,,,1010.0,
23,1981-12,27.0,,,142.0,,,,,1010.0,
24,1982-01,27.1,,,438.0,,,,,1009.5,10500.0
25,1982-02,27.6,,,177.0,,,,,1009.0,11580.0
26,1982-03,27.3,,,366.0,,,,,1008.9,11340.0
27,1982-04,27.4,,,179.0,,,,,1009.5,10980.0
28,1982-05,26.5,,,25.0,,,,,1011.0,6900.0
29,1982-06,24.8,,,0.5,,,,,1013.8,5760.0
30,1982-07,23.9,,,2.0,,,,,1013.9,3180.0
31,1982-08,24.2,,,6.0,,,,,1013.9,5100.0
32,1982-09,25.1,,,43.0,,,,,1012.7,4080.0
33,1982-10,25.5,,,387.0,,,,,1011.8,4440.0
34,1982-11,26.1,,,344.0,,,,,1010.4,7920.0
35,1982-12,26.9,,,162.0,,,,,1010.3,8160.0
36,1983-01,27.9,,,,,,,,,
37,1983-02,28.2,,,156.0,,,,,1009.7,7860.0
38,1983-03,28.4,,,285.0,,,,,1009.4,8220.0
39,1983-04,27.8,,,276.0,,,,,1009.0,10560.0
40,1983-05,26.7,,,,,,,,,
41,1983-06,24.7,,,12.0,,,,,1012.9,7440.0
42,1983-07,24.1,,,,,,,,,
43,1983-08,23.7,,,,,,,,,
44,1983-09,25.1,,,,,,,,,
45,1983-10,25.9,,,172.0,,,,,1012.1,6360.0
46,1983-11,26.1,,,396.0,,,,,1012.3,7680.0
47,1983-12,26.4,,,498.0,,,,,1011.6,11460.0
48,1984-01,27.2,,,236.0,,,,,1010.0,12780.0
49,1984-02,27.9,,,171.0,,,,,1008.9,12240.0
50,1984-03,27.4,,,179.0,,,,,1008.7,11940.0
51,1984-04,27.6,,,341.0,,,,,1008.9,6120.0
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,25.5,,,225.0,,,,,1012.6,5160.0
56,1984-09,25.8,,,463.0,,,,,1011.7,7260.0
57,1984-10,26.1,,,,,,,,,
58,1984-11,26.3,,,408.0,,,,,1010.7,8940.0
59,1984-12,27.0,,,,,,,,,
60,1985-01,27.0,,,244.0,,,,,1009.4,10800.0
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,26.7,,,124.0,,,,,1010.7,10680.0
65,1985-06,25.3,,,3.0,,,,,1013.8,7740.0
66,1985-07,,,,,,,,,,
67,1985-08,25.2,,,1.0,,,,,1013.3,7980.0
68,1985-09,25.8,,,69.0,,,,,1012.0,7080.0
69,1985-10,25.7,,,757.0,,,,,1010.0,7080.0
70,1985-11,26.1,,,515.0,,,,,1010.5,8880.0
71,1985-12,26.4,,,442.0,,,,,1009.7,8820.0
72,1986-01,26.9,,,126.0,,,,,1010.5,11400.0
73,1986-02,26.7,,,247.0,,,,,1009.5,9300.0
74,1986-03,26.1,,,563.0,,,,,1009.9,11700.0
75,1986-04,27.0,,,338.0,,,,,1009.0,11460.0
76,1986-05,27.1,,,108.0,,,,,1010.3,11940.0
77,1986-06,25.3,,,21.0,,,,,1013.0,10980.0
78,1986-07,24.2,,,9.0,,,,,1015.4,7080.0
79,1986-08,24.5,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,25.6,,,183.0,,,,,1012.6,8400.0
82,1986-11,25.6,,,581.0,,,,,1011.0,9000.0
83,1986-12,26.2,,,315.0,,,,,1011.4,8520.0
84,1987-01,27.3,,,120.0,,,,,1011.3,13560.0
85,1987-02,27.3,,,246.0,,,,,1010.9,
86,1987-03,27.8,,,220.0,,,,,,
87,1987-04,,,,421.0,,,,,,
88,1987-05,27.4,,,71.0,,,,,1010.2,12300.0
89,1987-06,26.5,,,0.5,,,,,1013.5,8820.0
90,1987-07,25.3,,,1.0,,,,,1012.7,7620.0
91,1987-08,25.1,,,0.5,,,,,1012.8,4800.0
92,1987-09,25.7,,,80.0,,,,,1012.6,5280.0
93,1987-10,26.1,,,170.0,,,,,1011.4,7260.0
94,1987-11,26.6,,,588.0,,,,,1010.8,9240.0
95,1987-12,27.0,,,139.0,,,,,1010.8,11580.0
96,1988-01,27.3,,,224.0,,,,,1010.2,11520.0
97,1988-02,,,,,,,,,,
98,1988-03,27.6,,,,,,,,,
99,1988-04,27.2,,,303.0,,,,,1009.1,10920.0
100,1988-05,,,,,,,,,,
101,1988-06,26.1,,,,,,,,,
