,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,0.0,,,,,1011.5,16800.0
3,1980-04,26.5,,,,,,,,1010.8,16320.0
4,1980-05,,,,,,,,,,
5,1980-06,27.1,,,24.0,,,,,1013.0,13320.0
6,1980-07,27.1,,,102.0,,,,,1013.5,11400.0
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,0.5,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,26.7,,,,,,,,1011.4,16200.0
15,1981-04,,,,0.0,,,,,,
16,1981-05,26.7,,,5.0,,,,,1011.7,12900.0
17,1981-06,28.2,,,49.0,,,,,1012.5,11640.0
18,1981-07,,,,126.0,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,39.0,,,,,,
21,1981-10,27.5,,,29.0,,,,,1011.9,8460.0
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,24.7,,,0.0,,,,,1012.4,
25,1982-02,,,,,,,,,,
26,1982-03,26.1,,,0.0,,,,,1011.3,16140.0
27,1982-04,25.9,,,0.0,,,,,1011.5,
28,1982-05,25.8,,,2.0,,,,,1012.3,15240.0
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,26.8,,,312.0,,,,,1013.4,
32,1982-09,26.8,,,141.0,,,,,1014.2,
33,1982-10,,,,,,,,,,
34,1982-11,25.3,,,0.0,,,,,1011.3,13020.0
35,1982-12,21.6,,,0.0,,,,,1013.2,11160.0
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,27.4,,,0.0,,,,,1010.8,
39,1983-04,,,,,,,,,,
40,1983-05,23.6,,,0.0,,,,,1010.7,12780.0
41,1983-06,28.0,,,19.0,,,,,1013.2,
42,1983-07,28.7,,,115.0,,,,,1012.9,
43,1983-08,30.2,,,184.0,,,,,1014.1,13200.0
44,1983-09,27.4,,,,,,,,1012.7,
45,1983-10,29.9,,,10.0,,,,,1012.3,14340.0
46,1983-11,26.6,,,0.0,,,,,1012.3,15240.0
47,1983-12,25.2,,,0.0,,,,,1013.0,
48,1984-01,24.5,,,0.0,,,,,1012.2,12480.0
49,1984-02,26.2,,,0.0,,,,,1010.3,
50,1984-03,24.9,,,0.0,,,,,1010.0,15540.0
51,1984-04,25.7,,,0.0,,,,,1009.3,
52,1984-05,27.0,,,0.0,,,,,1009.1,10740.0
53,1984-06,,,,,,,,,,
54,1984-07,27.8,,,187.0,,,,,1010.9,
55,1984-08,26.6,,,131.0,,,,,1011.3,
56,1984-09,25.7,,,124.0,,,,,1011.3,10380.0
57,1984-10,25.7,,,0.0,,,,,1011.3,10380.0
58,1984-11,26.1,,,0.0,,,,,1011.6,12420.0
59,1984-12,23.4,,,0.0,,,,,1011.1,10680.0
60,1985-01,22.4,,,1.0,,,,,1011.8,1080.0
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,26.2,,,0.0,,,,,1009.1,10740.0
64,1985-05,24.0,,,0.0,,,,,1011.0,16080.0
65,1985-06,26.6,,,,,,,,1013.4,
66,1985-07,26.6,,,389.0,,,,,1012.8,9360.0
67,1985-08,26.3,,,327.0,,,,,1012.0,
68,1985-09,25.7,,,197.0,,,,,1011.5,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,23.6,,,,,,,,1012.4,11760.0
72,1986-01,22.3,,,0.0,,,,,1013.4,
73,1986-02,24.7,,,,,,,,1011.4,15660.0
74,1986-03,25.8,,,0.0,,,,,1011.5,16980.0
75,1986-04,,,,,,,,,,
76,1986-05,27.7,,,0.0,,,,,1011.3,13800.0
77,1986-06,26.4,,,34.0,,,,,1012.5,12180.0
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,27.0,,,218.0,,,,,1011.3,11100.0
81,1986-10,,,,,,,,,,
